model,seed,class_id,class_name,precision,recall,f1,support
CNN_LSTM,43,0,class_0,0.9189189189189161,0.9562499999999969,0.9372128637054696,320
CNN_LSTM,43,1,class_1,0.9936507936507905,0.9781249999999969,0.9858267716530402,320
CNN_LSTM,43,2,class_2,0.9813084112149502,0.9843749999999969,0.9828393135720398,320
CNN_LSTM,43,3,class_3,0.7344173441734397,0.8468749999999973,0.7866473149487019,320
CNN_LSTM,43,4,class_4,0.9781931464174424,0.9812499999999968,0.9797191887670474,320
CNN_LSTM,43,5,class_5,0.9667673716012055,0.9999999999999968,0.9831029185862866,320
CNN_LSTM,43,6,class_6,0.8377358490566006,0.6937499999999978,0.7589743589738607,320
CNN_LSTM,43,7,class_7,0.9787985865724346,0.8656249999999972,0.9187396351570442,320
CNN_LSTM,43,8,class_8,0.9029411764705855,0.959374999999997,0.9303030303025278,320
CNN_LSTM,43,9,class_9,0.9750778816199346,0.9781249999999969,0.9765990639620554,320
CNN_LSTM,43,10,class_10,0.9753846153846123,0.9906249999999969,0.9829457364336054,320
CNN_LSTM,43,11,class_11,0.971518987341769,0.959374999999997,0.9654088050309435,320
