model,seed,true_label,pred_label,count
EfficientNet_B0,43,0,0,310
EfficientNet_B0,43,0,1,0
EfficientNet_B0,43,0,2,2
EfficientNet_B0,43,0,3,1
EfficientNet_B0,43,0,4,2
EfficientNet_B0,43,0,5,0
EfficientNet_B0,43,0,6,4
EfficientNet_B0,43,0,7,0
EfficientNet_B0,43,0,8,1
EfficientNet_B0,43,0,9,0
EfficientNet_B0,43,0,10,0
EfficientNet_B0,43,0,11,0
EfficientNet_B0,43,1,0,0
EfficientNet_B0,43,1,1,307
EfficientNet_B0,43,1,2,0
EfficientNet_B0,43,1,3,0
EfficientNet_B0,43,1,4,0
EfficientNet_B0,43,1,5,12
EfficientNet_B0,43,1,6,0
EfficientNet_B0,43,1,7,0
EfficientNet_B0,43,1,8,0
EfficientNet_B0,43,1,9,1
EfficientNet_B0,43,1,10,0
EfficientNet_B0,43,1,11,0
EfficientNet_B0,43,2,0,0
EfficientNet_B0,43,2,1,0
EfficientNet_B0,43,2,2,317
EfficientNet_B0,43,2,3,0
EfficientNet_B0,43,2,4,0
EfficientNet_B0,43,2,5,0
EfficientNet_B0,43,2,6,1
EfficientNet_B0,43,2,7,0
EfficientNet_B0,43,2,8,0
EfficientNet_B0,43,2,9,0
EfficientNet_B0,43,2,10,1
EfficientNet_B0,43,2,11,1
EfficientNet_B0,43,3,0,14
EfficientNet_B0,43,3,1,0
EfficientNet_B0,43,3,2,0
EfficientNet_B0,43,3,3,267
EfficientNet_B0,43,3,4,2
EfficientNet_B0,43,3,5,0
EfficientNet_B0,43,3,6,35
EfficientNet_B0,43,3,7,0
EfficientNet_B0,43,3,8,0
EfficientNet_B0,43,3,9,1
EfficientNet_B0,43,3,10,0
EfficientNet_B0,43,3,11,1
EfficientNet_B0,43,4,0,1
EfficientNet_B0,43,4,1,0
EfficientNet_B0,43,4,2,0
EfficientNet_B0,43,4,3,0
EfficientNet_B0,43,4,4,318
EfficientNet_B0,43,4,5,0
EfficientNet_B0,43,4,6,0
EfficientNet_B0,43,4,7,0
EfficientNet_B0,43,4,8,0
EfficientNet_B0,43,4,9,1
EfficientNet_B0,43,4,10,0
EfficientNet_B0,43,4,11,0
EfficientNet_B0,43,5,0,1
EfficientNet_B0,43,5,1,0
EfficientNet_B0,43,5,2,0
EfficientNet_B0,43,5,3,0
EfficientNet_B0,43,5,4,0
EfficientNet_B0,43,5,5,318
EfficientNet_B0,43,5,6,0
EfficientNet_B0,43,5,7,0
EfficientNet_B0,43,5,8,0
EfficientNet_B0,43,5,9,1
EfficientNet_B0,43,5,10,0
EfficientNet_B0,43,5,11,0
EfficientNet_B0,43,6,0,3
EfficientNet_B0,43,6,1,0
EfficientNet_B0,43,6,2,0
EfficientNet_B0,43,6,3,139
EfficientNet_B0,43,6,4,0
EfficientNet_B0,43,6,5,0
EfficientNet_B0,43,6,6,178
EfficientNet_B0,43,6,7,0
EfficientNet_B0,43,6,8,0
EfficientNet_B0,43,6,9,0
EfficientNet_B0,43,6,10,0
EfficientNet_B0,43,6,11,0
EfficientNet_B0,43,7,0,10
EfficientNet_B0,43,7,1,0
EfficientNet_B0,43,7,2,0
EfficientNet_B0,43,7,3,0
EfficientNet_B0,43,7,4,0
EfficientNet_B0,43,7,5,1
EfficientNet_B0,43,7,6,0
EfficientNet_B0,43,7,7,286
EfficientNet_B0,43,7,8,5
EfficientNet_B0,43,7,9,0
EfficientNet_B0,43,7,10,18
EfficientNet_B0,43,7,11,0
EfficientNet_B0,43,8,0,0
EfficientNet_B0,43,8,1,0
EfficientNet_B0,43,8,2,2
EfficientNet_B0,43,8,3,0
EfficientNet_B0,43,8,4,0
EfficientNet_B0,43,8,5,0
EfficientNet_B0,43,8,6,0
EfficientNet_B0,43,8,7,4
EfficientNet_B0,43,8,8,302
EfficientNet_B0,43,8,9,1
EfficientNet_B0,43,8,10,7
EfficientNet_B0,43,8,11,4
EfficientNet_B0,43,9,0,0
EfficientNet_B0,43,9,1,0
EfficientNet_B0,43,9,2,0
EfficientNet_B0,43,9,3,0
EfficientNet_B0,43,9,4,0
EfficientNet_B0,43,9,5,0
EfficientNet_B0,43,9,6,0
EfficientNet_B0,43,9,7,1
EfficientNet_B0,43,9,8,4
EfficientNet_B0,43,9,9,314
EfficientNet_B0,43,9,10,0
EfficientNet_B0,43,9,11,1
EfficientNet_B0,43,10,0,3
EfficientNet_B0,43,10,1,0
EfficientNet_B0,43,10,2,0
EfficientNet_B0,43,10,3,0
EfficientNet_B0,43,10,4,0
EfficientNet_B0,43,10,5,1
EfficientNet_B0,43,10,6,0
EfficientNet_B0,43,10,7,28
EfficientNet_B0,43,10,8,15
EfficientNet_B0,43,10,9,0
EfficientNet_B0,43,10,10,273
EfficientNet_B0,43,10,11,0
EfficientNet_B0,43,11,0,0
EfficientNet_B0,43,11,1,0
EfficientNet_B0,43,11,2,0
EfficientNet_B0,43,11,3,6
EfficientNet_B0,43,11,4,0
EfficientNet_B0,43,11,5,0
EfficientNet_B0,43,11,6,13
EfficientNet_B0,43,11,7,1
EfficientNet_B0,43,11,8,4
EfficientNet_B0,43,11,9,3
EfficientNet_B0,43,11,10,0
EfficientNet_B0,43,11,11,293
