model,seed,class_id,class_name,precision,recall,f1,support
EfficientNet_B0,44,0,class_0,0.9749999999999969,0.9749999999999969,0.9749999999994968,320
EfficientNet_B0,44,1,class_1,0.9936507936507905,0.9781249999999969,0.9858267716530402,320
EfficientNet_B0,44,2,class_2,0.9548192771084308,0.9906249999999969,0.9723926380363069,320
EfficientNet_B0,44,3,class_3,0.6829268292682907,0.7874999999999975,0.7314949201736658,320
EfficientNet_B0,44,4,class_4,0.9871794871794839,0.9624999999999969,0.9746835443032942,320
EfficientNet_B0,44,5,class_5,0.975609756097558,0.9999999999999968,0.9876543209871512,320
EfficientNet_B0,44,6,class_6,0.7410071942446016,0.6437499999999979,0.6889632107018412,320
EfficientNet_B0,44,7,class_7,0.9556962025316424,0.943749999999997,0.9496855345906918,320
EfficientNet_B0,44,8,class_8,0.9371257485029911,0.9781249999999969,0.9571865443420049,320
EfficientNet_B0,44,9,class_9,0.9907120743034025,0.9999999999999968,0.9953343701394657,320
EfficientNet_B0,44,10,class_10,0.965624999999997,0.965624999999997,0.9656249999994969,320
EfficientNet_B0,44,11,class_11,0.9795221843003379,0.8968749999999971,0.9363784665574097,320
