model,seed,class_id,class_name,precision,recall,f1,support
GRU,43,0,class_0,0.8230088495575196,0.8718749999999972,0.8467374810313643,320
GRU,43,1,class_1,0.9244604316546728,0.8031249999999974,0.8595317725747504,320
GRU,43,2,class_2,0.9002932551319621,0.959374999999997,0.9288956127075157,320
GRU,43,3,class_3,0.7315436241610713,0.6812499999999978,0.7055016181224756,320
GRU,43,4,class_4,0.8554572271386405,0.9062499999999971,0.8801213960541259,320
GRU,43,5,class_5,0.7979274611398942,0.9624999999999969,0.8725212464584252,320
GRU,43,6,class_6,0.7064516129032234,0.6843749999999978,0.6952380952375932,320
GRU,43,7,class_7,0.9779411764705845,0.8312499999999974,0.8986486486481489,320
GRU,43,8,class_8,0.8999999999999971,0.8999999999999971,0.8999999999994971,320
GRU,43,9,class_9,0.94370860927152,0.8906249999999971,0.9163987138258638,320
GRU,43,10,class_10,0.9413580246913551,0.953124999999997,0.9472049689435963,320
GRU,43,11,class_11,0.9063444108761302,0.937499999999997,0.9216589861746125,320
