model,seed,true_label,pred_label,count
GRU,44,0,0,301
GRU,44,0,1,0
GRU,44,0,2,4
GRU,44,0,3,0
GRU,44,0,4,0
GRU,44,0,5,0
GRU,44,0,6,2
GRU,44,0,7,1
GRU,44,0,8,8
GRU,44,0,9,2
GRU,44,0,10,0
GRU,44,0,11,2
GRU,44,1,0,0
GRU,44,1,1,286
GRU,44,1,2,0
GRU,44,1,3,0
GRU,44,1,4,8
GRU,44,1,5,23
GRU,44,1,6,1
GRU,44,1,7,0
GRU,44,1,8,0
GRU,44,1,9,0
GRU,44,1,10,2
GRU,44,1,11,0
GRU,44,2,0,9
GRU,44,2,1,0
GRU,44,2,2,304
GRU,44,2,3,2
GRU,44,2,4,0
GRU,44,2,5,3
GRU,44,2,6,0
GRU,44,2,7,1
GRU,44,2,8,0
GRU,44,2,9,0
GRU,44,2,10,1
GRU,44,2,11,0
GRU,44,3,0,2
GRU,44,3,1,1
GRU,44,3,2,0
GRU,44,3,3,257
GRU,44,3,4,4
GRU,44,3,5,0
GRU,44,3,6,50
GRU,44,3,7,1
GRU,44,3,8,0
GRU,44,3,9,1
GRU,44,3,10,0
GRU,44,3,11,4
GRU,44,4,0,16
GRU,44,4,1,36
GRU,44,4,2,0
GRU,44,4,3,0
GRU,44,4,4,253
GRU,44,4,5,5
GRU,44,4,6,0
GRU,44,4,7,0
GRU,44,4,8,1
GRU,44,4,9,7
GRU,44,4,10,0
GRU,44,4,11,2
GRU,44,5,0,0
GRU,44,5,1,9
GRU,44,5,2,0
GRU,44,5,3,0
GRU,44,5,4,1
GRU,44,5,5,306
GRU,44,5,6,0
GRU,44,5,7,0
GRU,44,5,8,0
GRU,44,5,9,1
GRU,44,5,10,3
GRU,44,5,11,0
GRU,44,6,0,9
GRU,44,6,1,3
GRU,44,6,2,0
GRU,44,6,3,81
GRU,44,6,4,18
GRU,44,6,5,0
GRU,44,6,6,198
GRU,44,6,7,0
GRU,44,6,8,0
GRU,44,6,9,2
GRU,44,6,10,0
GRU,44,6,11,9
GRU,44,7,0,4
GRU,44,7,1,1
GRU,44,7,2,9
GRU,44,7,3,3
GRU,44,7,4,0
GRU,44,7,5,0
GRU,44,7,6,3
GRU,44,7,7,286
GRU,44,7,8,3
GRU,44,7,9,3
GRU,44,7,10,4
GRU,44,7,11,4
GRU,44,8,0,1
GRU,44,8,1,0
GRU,44,8,2,0
GRU,44,8,3,0
GRU,44,8,4,0
GRU,44,8,5,0
GRU,44,8,6,0
GRU,44,8,7,10
GRU,44,8,8,302
GRU,44,8,9,2
GRU,44,8,10,3
GRU,44,8,11,2
GRU,44,9,0,3
GRU,44,9,1,2
GRU,44,9,2,0
GRU,44,9,3,4
GRU,44,9,4,14
GRU,44,9,5,0
GRU,44,9,6,2
GRU,44,9,7,0
GRU,44,9,8,0
GRU,44,9,9,293
GRU,44,9,10,2
GRU,44,9,11,0
GRU,44,10,0,4
GRU,44,10,1,2
GRU,44,10,2,0
GRU,44,10,3,0
GRU,44,10,4,0
GRU,44,10,5,0
GRU,44,10,6,1
GRU,44,10,7,3
GRU,44,10,8,0
GRU,44,10,9,3
GRU,44,10,10,307
GRU,44,10,11,0
GRU,44,11,0,1
GRU,44,11,1,1
GRU,44,11,2,0
GRU,44,11,3,4
GRU,44,11,4,7
GRU,44,11,5,0
GRU,44,11,6,5
GRU,44,11,7,0
GRU,44,11,8,9
GRU,44,11,9,7
GRU,44,11,10,2
GRU,44,11,11,284
