model,seed,class_id,class_name,precision,recall,f1,support
LSTM,42,0,class_0,0.8869565217391278,0.9562499999999969,0.920300751879197,320
LSTM,42,1,class_1,0.8656716417910422,0.9062499999999971,0.8854961832056044,320
LSTM,42,2,class_2,0.9585987261146466,0.940624999999997,0.9495268138796232,320
LSTM,42,3,class_3,0.6895604395604377,0.7843749999999975,0.7339181286544706,320
LSTM,42,4,class_4,0.8864353312302811,0.8781249999999972,0.882260596545808,320
LSTM,42,5,class_5,0.9213836477987392,0.915624999999997,0.9184952978051396,320
LSTM,42,6,class_6,0.7243816254416935,0.640624999999998,0.6799336650077914,320
LSTM,42,7,class_7,0.9145907473309576,0.8031249999999974,0.8552412645585673,320
LSTM,42,8,class_8,0.9417475728155309,0.909374999999997,0.9252782193953635,320
LSTM,42,9,class_9,0.9649681528662389,0.946874999999997,0.9558359621446074,320
LSTM,42,10,class_10,0.9561128526645737,0.953124999999997,0.9546165884189023,320
LSTM,42,11,class_11,0.8856304985337217,0.943749999999997,0.9137670196666685,320
