model,seed,true_label,pred_label,count
LSTM,43,0,0,283
LSTM,43,0,1,0
LSTM,43,0,2,14
LSTM,43,0,3,0
LSTM,43,0,4,1
LSTM,43,0,5,3
LSTM,43,0,6,10
LSTM,43,0,7,0
LSTM,43,0,8,4
LSTM,43,0,9,2
LSTM,43,0,10,0
LSTM,43,0,11,3
LSTM,43,1,0,0
LSTM,43,1,1,256
LSTM,43,1,2,0
LSTM,43,1,3,0
LSTM,43,1,4,14
LSTM,43,1,5,45
LSTM,43,1,6,2
LSTM,43,1,7,0
LSTM,43,1,8,0
LSTM,43,1,9,0
LSTM,43,1,10,1
LSTM,43,1,11,2
LSTM,43,2,0,12
LSTM,43,2,1,0
LSTM,43,2,2,305
LSTM,43,2,3,0
LSTM,43,2,4,0
LSTM,43,2,5,0
LSTM,43,2,6,0
LSTM,43,2,7,0
LSTM,43,2,8,3
LSTM,43,2,9,0
LSTM,43,2,10,0
LSTM,43,2,11,0
LSTM,43,3,0,5
LSTM,43,3,1,2
LSTM,43,3,2,1
LSTM,43,3,3,219
LSTM,43,3,4,14
LSTM,43,3,5,0
LSTM,43,3,6,70
LSTM,43,3,7,1
LSTM,43,3,8,0
LSTM,43,3,9,2
LSTM,43,3,10,0
LSTM,43,3,11,6
LSTM,43,4,0,7
LSTM,43,4,1,12
LSTM,43,4,2,0
LSTM,43,4,3,2
LSTM,43,4,4,286
LSTM,43,4,5,5
LSTM,43,4,6,0
LSTM,43,4,7,1
LSTM,43,4,8,0
LSTM,43,4,9,7
LSTM,43,4,10,0
LSTM,43,4,11,0
LSTM,43,5,0,1
LSTM,43,5,1,7
LSTM,43,5,2,0
LSTM,43,5,3,0
LSTM,43,5,4,0
LSTM,43,5,5,304
LSTM,43,5,6,0
LSTM,43,5,7,0
LSTM,43,5,8,0
LSTM,43,5,9,0
LSTM,43,5,10,8
LSTM,43,5,11,0
LSTM,43,6,0,1
LSTM,43,6,1,0
LSTM,43,6,2,0
LSTM,43,6,3,101
LSTM,43,6,4,4
LSTM,43,6,5,0
LSTM,43,6,6,207
LSTM,43,6,7,0
LSTM,43,6,8,0
LSTM,43,6,9,1
LSTM,43,6,10,0
LSTM,43,6,11,6
LSTM,43,7,0,13
LSTM,43,7,1,1
LSTM,43,7,2,16
LSTM,43,7,3,0
LSTM,43,7,4,1
LSTM,43,7,5,8
LSTM,43,7,6,0
LSTM,43,7,7,260
LSTM,43,7,8,10
LSTM,43,7,9,2
LSTM,43,7,10,6
LSTM,43,7,11,3
LSTM,43,8,0,12
LSTM,43,8,1,0
LSTM,43,8,2,3
LSTM,43,8,3,0
LSTM,43,8,4,0
LSTM,43,8,5,2
LSTM,43,8,6,0
LSTM,43,8,7,0
LSTM,43,8,8,296
LSTM,43,8,9,1
LSTM,43,8,10,1
LSTM,43,8,11,5
LSTM,43,9,0,2
LSTM,43,9,1,1
LSTM,43,9,2,0
LSTM,43,9,3,0
LSTM,43,9,4,4
LSTM,43,9,5,1
LSTM,43,9,6,1
LSTM,43,9,7,1
LSTM,43,9,8,3
LSTM,43,9,9,292
LSTM,43,9,10,9
LSTM,43,9,11,6
LSTM,43,10,0,1
LSTM,43,10,1,3
LSTM,43,10,2,0
LSTM,43,10,3,1
LSTM,43,10,4,0
LSTM,43,10,5,2
LSTM,43,10,6,0
LSTM,43,10,7,7
LSTM,43,10,8,2
LSTM,43,10,9,2
LSTM,43,10,10,302
LSTM,43,10,11,0
LSTM,43,11,0,1
LSTM,43,11,1,0
LSTM,43,11,2,0
LSTM,43,11,3,5
LSTM,43,11,4,3
LSTM,43,11,5,0
LSTM,43,11,6,22
LSTM,43,11,7,0
LSTM,43,11,8,2
LSTM,43,11,9,8
LSTM,43,11,10,0
LSTM,43,11,11,279
