model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
LSTM,44,1,1.137572226183755,0.5907738095238095,0.8067210075032817,0.7398982429389088,0.7398809523809524,0.7389121692335557,1.0129889728540244,0.6705729166666666,0.6617925485727685,0.0006,64.97949312441051
LSTM,44,2,0.48191837685448785,0.8300595238095239,0.8942755221654383,0.6287343842365468,0.8032738095238096,0.8021897380951174,0.8297116578828233,0.7395833333333334,0.7377732560929097,0.0006,61.742872916162014
LSTM,44,3,0.30963635793044453,0.8910714285714286,0.9318494219212624,0.5363779484749622,0.8363095238095238,0.8362842856715965,0.6828456001923768,0.7846354166666667,0.7837126490910533,0.0006,63.531271032989025
LSTM,44,4,0.22194037127352897,0.9246428571428571,0.941724877378762,0.6102522413458376,0.8360119047619048,0.8354391327338879,0.8161376815045515,0.76484375,0.7653319978353403,0.0006,63.955753434449434
LSTM,44,5,0.1624122161879426,0.9463095238095238,0.9662325533511408,0.5453322617868512,0.862202380952381,0.8631407295722848,0.6617183226082488,0.8033854166666666,0.8021248410547016,0.0006,63.32961158454418
LSTM,44,6,0.12545198766958146,0.9601785714285714,0.9690125335025832,0.6166332634733235,0.8514880952380952,0.8516369732412475,0.9304208052105726,0.7799479166666666,0.7808262658373494,0.0003,64.63132332451642
LSTM,44,7,0.06576042723797616,0.9795833333333334,0.9919041016565644,0.5661190722180046,0.8800595238095238,0.8801032728894992,0.7315762458234152,0.8197916666666667,0.8191167720567013,0.0003,64.27969281747937
LSTM,44,8,0.032880921122573674,0.9908333333333333,0.9960715418378907,0.6809742326161238,0.8764880952380952,0.8776213061934574,0.829983188553761,0.8177083333333334,0.8174380390922983,0.0003,59.24242064729333
LSTM,44,9,0.028951360299473716,0.9905952380952381,0.9889140756760777,0.7039603957809163,0.86875,0.8680358131193778,0.9274840303125075,0.8049479166666667,0.8047362300770717,0.00015,61.60030510649085
LSTM,44,10,0.013587582040400732,0.9960714285714286,0.9993450887453409,0.7087850326455536,0.8809523809523809,0.881173892756271,0.8836058173243316,0.8255208333333334,0.8252849397819034,0.00015,55.15389317460358
LSTM,44,11,0.004205545832713445,0.9992857142857143,0.9995833120135716,0.715634225580146,0.8904761904761904,0.8909326818756974,0.9795370095195192,0.8278645833333333,0.8272451883243965,0.00015,51.38316471874714
LSTM,44,12,0.0034899342698710306,0.9993452380952381,0.9992261901113393,0.8535198586684165,0.8821428571428571,0.8825601577854488,1.073190644299849,0.8223958333333333,0.8228569684400865,7.5e-05,58.721832010895014
