model,seed,true_label,pred_label,count
LeNet,44,0,0,296
LeNet,44,0,1,0
LeNet,44,0,2,10
LeNet,44,0,3,1
LeNet,44,0,4,1
LeNet,44,0,5,8
LeNet,44,0,6,1
LeNet,44,0,7,0
LeNet,44,0,8,1
LeNet,44,0,9,1
LeNet,44,0,10,0
LeNet,44,0,11,1
LeNet,44,1,0,0
LeNet,44,1,1,298
LeNet,44,1,2,0
LeNet,44,1,3,0
LeNet,44,1,4,6
LeNet,44,1,5,14
LeNet,44,1,6,0
LeNet,44,1,7,1
LeNet,44,1,8,0
LeNet,44,1,9,0
LeNet,44,1,10,0
LeNet,44,1,11,1
LeNet,44,2,0,53
LeNet,44,2,1,2
LeNet,44,2,2,249
LeNet,44,2,3,0
LeNet,44,2,4,0
LeNet,44,2,5,6
LeNet,44,2,6,0
LeNet,44,2,7,0
LeNet,44,2,8,7
LeNet,44,2,9,1
LeNet,44,2,10,0
LeNet,44,2,11,2
LeNet,44,3,0,0
LeNet,44,3,1,0
LeNet,44,3,2,0
LeNet,44,3,3,276
LeNet,44,3,4,2
LeNet,44,3,5,0
LeNet,44,3,6,42
LeNet,44,3,7,0
LeNet,44,3,8,0
LeNet,44,3,9,0
LeNet,44,3,10,0
LeNet,44,3,11,0
LeNet,44,4,0,12
LeNet,44,4,1,14
LeNet,44,4,2,1
LeNet,44,4,3,0
LeNet,44,4,4,292
LeNet,44,4,5,0
LeNet,44,4,6,0
LeNet,44,4,7,0
LeNet,44,4,8,0
LeNet,44,4,9,1
LeNet,44,4,10,0
LeNet,44,4,11,0
LeNet,44,5,0,0
LeNet,44,5,1,6
LeNet,44,5,2,0
LeNet,44,5,3,0
LeNet,44,5,4,0
LeNet,44,5,5,304
LeNet,44,5,6,0
LeNet,44,5,7,3
LeNet,44,5,8,2
LeNet,44,5,9,1
LeNet,44,5,10,4
LeNet,44,5,11,0
LeNet,44,6,0,2
LeNet,44,6,1,0
LeNet,44,6,2,0
LeNet,44,6,3,151
LeNet,44,6,4,7
LeNet,44,6,5,0
LeNet,44,6,6,157
LeNet,44,6,7,1
LeNet,44,6,8,0
LeNet,44,6,9,1
LeNet,44,6,10,0
LeNet,44,6,11,1
LeNet,44,7,0,2
LeNet,44,7,1,0
LeNet,44,7,2,8
LeNet,44,7,3,0
LeNet,44,7,4,2
LeNet,44,7,5,0
LeNet,44,7,6,0
LeNet,44,7,7,249
LeNet,44,7,8,25
LeNet,44,7,9,5
LeNet,44,7,10,24
LeNet,44,7,11,5
LeNet,44,8,0,0
LeNet,44,8,1,0
LeNet,44,8,2,0
LeNet,44,8,3,0
LeNet,44,8,4,0
LeNet,44,8,5,1
LeNet,44,8,6,0
LeNet,44,8,7,15
LeNet,44,8,8,279
LeNet,44,8,9,4
LeNet,44,8,10,11
LeNet,44,8,11,10
LeNet,44,9,0,2
LeNet,44,9,1,1
LeNet,44,9,2,0
LeNet,44,9,3,2
LeNet,44,9,4,1
LeNet,44,9,5,1
LeNet,44,9,6,1
LeNet,44,9,7,9
LeNet,44,9,8,4
LeNet,44,9,9,286
LeNet,44,9,10,1
LeNet,44,9,11,12
LeNet,44,10,0,0
LeNet,44,10,1,0
LeNet,44,10,2,0
LeNet,44,10,3,1
LeNet,44,10,4,0
LeNet,44,10,5,5
LeNet,44,10,6,0
LeNet,44,10,7,44
LeNet,44,10,8,12
LeNet,44,10,9,1
LeNet,44,10,10,251
LeNet,44,10,11,6
LeNet,44,11,0,1
LeNet,44,11,1,0
LeNet,44,11,2,0
LeNet,44,11,3,12
LeNet,44,11,4,0
LeNet,44,11,5,0
LeNet,44,11,6,13
LeNet,44,11,7,0
LeNet,44,11,8,6
LeNet,44,11,9,9
LeNet,44,11,10,0
LeNet,44,11,11,279
