model,seed,true_label,pred_label,count
MobileNet_V2,42,0,0,319
MobileNet_V2,42,0,1,0
MobileNet_V2,42,0,2,0
MobileNet_V2,42,0,3,0
MobileNet_V2,42,0,4,1
MobileNet_V2,42,0,5,0
MobileNet_V2,42,0,6,0
MobileNet_V2,42,0,7,0
MobileNet_V2,42,0,8,0
MobileNet_V2,42,0,9,0
MobileNet_V2,42,0,10,0
MobileNet_V2,42,0,11,0
MobileNet_V2,42,1,0,0
MobileNet_V2,42,1,1,318
MobileNet_V2,42,1,2,0
MobileNet_V2,42,1,3,0
MobileNet_V2,42,1,4,0
MobileNet_V2,42,1,5,0
MobileNet_V2,42,1,6,0
MobileNet_V2,42,1,7,0
MobileNet_V2,42,1,8,0
MobileNet_V2,42,1,9,0
MobileNet_V2,42,1,10,2
MobileNet_V2,42,1,11,0
MobileNet_V2,42,2,0,0
MobileNet_V2,42,2,1,0
MobileNet_V2,42,2,2,320
MobileNet_V2,42,2,3,0
MobileNet_V2,42,2,4,0
MobileNet_V2,42,2,5,0
MobileNet_V2,42,2,6,0
MobileNet_V2,42,2,7,0
MobileNet_V2,42,2,8,0
MobileNet_V2,42,2,9,0
MobileNet_V2,42,2,10,0
MobileNet_V2,42,2,11,0
MobileNet_V2,42,3,0,0
MobileNet_V2,42,3,1,0
MobileNet_V2,42,3,2,0
MobileNet_V2,42,3,3,274
MobileNet_V2,42,3,4,0
MobileNet_V2,42,3,5,0
MobileNet_V2,42,3,6,46
MobileNet_V2,42,3,7,0
MobileNet_V2,42,3,8,0
MobileNet_V2,42,3,9,0
MobileNet_V2,42,3,10,0
MobileNet_V2,42,3,11,0
MobileNet_V2,42,4,0,0
MobileNet_V2,42,4,1,0
MobileNet_V2,42,4,2,0
MobileNet_V2,42,4,3,0
MobileNet_V2,42,4,4,320
MobileNet_V2,42,4,5,0
MobileNet_V2,42,4,6,0
MobileNet_V2,42,4,7,0
MobileNet_V2,42,4,8,0
MobileNet_V2,42,4,9,0
MobileNet_V2,42,4,10,0
MobileNet_V2,42,4,11,0
MobileNet_V2,42,5,0,0
MobileNet_V2,42,5,1,0
MobileNet_V2,42,5,2,0
MobileNet_V2,42,5,3,0
MobileNet_V2,42,5,4,0
MobileNet_V2,42,5,5,318
MobileNet_V2,42,5,6,0
MobileNet_V2,42,5,7,1
MobileNet_V2,42,5,8,0
MobileNet_V2,42,5,9,0
MobileNet_V2,42,5,10,1
MobileNet_V2,42,5,11,0
MobileNet_V2,42,6,0,1
MobileNet_V2,42,6,1,0
MobileNet_V2,42,6,2,0
MobileNet_V2,42,6,3,146
MobileNet_V2,42,6,4,0
MobileNet_V2,42,6,5,0
MobileNet_V2,42,6,6,173
MobileNet_V2,42,6,7,0
MobileNet_V2,42,6,8,0
MobileNet_V2,42,6,9,0
MobileNet_V2,42,6,10,0
MobileNet_V2,42,6,11,0
MobileNet_V2,42,7,0,0
MobileNet_V2,42,7,1,0
MobileNet_V2,42,7,2,12
MobileNet_V2,42,7,3,0
MobileNet_V2,42,7,4,0
MobileNet_V2,42,7,5,0
MobileNet_V2,42,7,6,0
MobileNet_V2,42,7,7,205
MobileNet_V2,42,7,8,16
MobileNet_V2,42,7,9,0
MobileNet_V2,42,7,10,47
MobileNet_V2,42,7,11,40
MobileNet_V2,42,8,0,1
MobileNet_V2,42,8,1,0
MobileNet_V2,42,8,2,0
MobileNet_V2,42,8,3,0
MobileNet_V2,42,8,4,0
MobileNet_V2,42,8,5,0
MobileNet_V2,42,8,6,0
MobileNet_V2,42,8,7,2
MobileNet_V2,42,8,8,308
MobileNet_V2,42,8,9,0
MobileNet_V2,42,8,10,8
MobileNet_V2,42,8,11,1
MobileNet_V2,42,9,0,0
MobileNet_V2,42,9,1,0
MobileNet_V2,42,9,2,0
MobileNet_V2,42,9,3,3
MobileNet_V2,42,9,4,0
MobileNet_V2,42,9,5,1
MobileNet_V2,42,9,6,0
MobileNet_V2,42,9,7,0
MobileNet_V2,42,9,8,1
MobileNet_V2,42,9,9,302
MobileNet_V2,42,9,10,2
MobileNet_V2,42,9,11,11
MobileNet_V2,42,10,0,0
MobileNet_V2,42,10,1,0
MobileNet_V2,42,10,2,0
MobileNet_V2,42,10,3,0
MobileNet_V2,42,10,4,0
MobileNet_V2,42,10,5,1
MobileNet_V2,42,10,6,0
MobileNet_V2,42,10,7,7
MobileNet_V2,42,10,8,22
MobileNet_V2,42,10,9,0
MobileNet_V2,42,10,10,290
MobileNet_V2,42,10,11,0
MobileNet_V2,42,11,0,0
MobileNet_V2,42,11,1,0
MobileNet_V2,42,11,2,0
MobileNet_V2,42,11,3,1
MobileNet_V2,42,11,4,0
MobileNet_V2,42,11,5,0
MobileNet_V2,42,11,6,1
MobileNet_V2,42,11,7,0
MobileNet_V2,42,11,8,10
MobileNet_V2,42,11,9,1
MobileNet_V2,42,11,10,0
MobileNet_V2,42,11,11,307
