model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
ResNet18,42,1,0.7038763012772514,0.7574404761904762,0.9147730257289101,0.4626518500807877,0.8410714285714286,0.8384170125411522,0.49147679381383874,0.8515625,0.8483188095060589,0.0003,76.2840916197747
ResNet18,42,2,0.34013506178345,0.884702380952381,0.9461546432344569,0.42043772432190873,0.8675595238095238,0.8679013820653454,0.5039702022787423,0.8502604166666666,0.8467269715334922,0.0003,67.29561293497682
ResNet18,42,3,0.24079356128970783,0.9210119047619048,0.9601404218531462,0.4378272606477237,0.8741071428571429,0.8743766263640779,0.43537367633365986,0.87578125,0.875435683972465,0.0003,74.57033479772508
ResNet18,42,4,0.18459954714491253,0.939047619047619,0.9624470866347061,0.4721892162761313,0.8669642857142857,0.8675186091292395,0.5344894239691257,0.8671875,0.8641329404064514,0.0003,75.79831455461681
ResNet18,42,5,0.1534067604868185,0.950654761904762,0.9512958361472706,0.3840741332530992,0.8809523809523809,0.8813082012471124,0.41288201790018014,0.8708333333333333,0.8672920219538733,0.0003,77.92126278206706
ResNet18,42,6,0.11729959680920556,0.9617857142857142,0.9782240615633048,0.40432837361812246,0.8848214285714285,0.8844619366889842,0.4130604188800343,0.8807291666666667,0.8797245778054776,0.0003,78.53421252779663
ResNet18,42,7,0.10068199727506864,0.9686309523809524,0.9715459364123588,0.46781959953423535,0.8830357142857143,0.8844588591160877,0.579330189899188,0.8729166666666667,0.8687406086030806,0.0003,79.54397238977253
ResNet18,42,8,0.08487212138516562,0.9732738095238095,0.9845438405246574,0.3833200080339008,0.9089285714285714,0.90852774833883,0.5627434386315209,0.88125,0.8757898400841985,0.0003,78.3978235013783
ResNet18,42,9,0.0672448829525993,0.979047619047619,0.9904785294724827,0.3339546949952256,0.9035714285714286,0.9033186346638646,0.42412442327639516,0.8934895833333333,0.8919461143705294,0.0003,76.45901164785028
ResNet18,42,10,0.05852403148299172,0.9819642857142857,0.9927390669202056,0.31034667835913515,0.9169642857142857,0.9166270481855925,0.46921887225564946,0.8963541666666667,0.893724984207747,0.0003,77.55829610675573
ResNet18,42,11,0.05608600252440998,0.9823809523809524,0.986869859742129,0.34192619591911716,0.9160714285714285,0.9163957886245808,0.5449859596734768,0.8817708333333333,0.8772685752156937,0.0003,80.22065829113126
ResNet18,42,12,0.05296255651684034,0.9844642857142857,0.9939275382849958,0.4256245078094942,0.899702380952381,0.8983798871895027,0.5950781177505211,0.87265625,0.870580601091654,0.0003,81.8201403785497
ResNet18,42,13,0.046521633324168976,0.986904761904762,0.9963071159876908,0.3733844475740932,0.9148809523809524,0.9151308098519424,0.5520945688412274,0.8903645833333333,0.888740853717023,0.00015,78.70198886469007
ResNet18,42,14,0.016955720434586208,0.9951785714285715,0.9991070357586728,0.3756529257447104,0.9175595238095238,0.9176890051913017,0.6007804827712865,0.8895833333333333,0.8880468149276878,0.00015,77.6588232126087
ResNet18,42,15,0.011724790107636225,0.9964880952380952,0.9996427932301436,0.3832027757079502,0.9166666666666666,0.9169130468824748,0.5863596887144514,0.8916666666666667,0.8901068556948394,0.00015,79.50378320552409
ResNet18,42,16,0.012001178626503264,0.9957142857142857,0.9995831839227788,0.4238987149872124,0.9130952380952381,0.9132287487472303,0.5855303585929489,0.8947916666666667,0.8929209833828127,7.5e-05,79.50710911862552
