model,seed,class_id,class_name,precision,recall,f1,support
ResNet18,44,0,class_0,0.9486404833836829,0.9812499999999968,0.9646697388627844,320
ResNet18,44,1,class_1,0.9841772151898702,0.9718749999999969,0.9779874213831447,320
ResNet18,44,2,class_2,0.951951951951949,0.9906249999999969,0.9709035222047039,320
ResNet18,44,3,class_3,0.6516853932584254,0.9062499999999971,0.7581699346400341,320
ResNet18,44,4,class_4,0.9652996845425836,0.9562499999999969,0.9607535321816004,320
ResNet18,44,5,class_5,0.9875389408099657,0.9906249999999969,0.9890795631820241,320
ResNet18,44,6,class_6,0.8159203980099462,0.5124999999999984,0.6295585412663184,320
ResNet18,44,7,class_7,0.9254658385093139,0.931249999999997,0.9283489096568179,320
ResNet18,44,8,class_8,0.9395770392749215,0.9718749999999969,0.9554531490010332,320
ResNet18,44,9,class_9,0.9755351681957156,0.9968749999999968,0.9860896445126345,320
ResNet18,44,10,class_10,0.9699999999999966,0.909374999999997,0.9387096774188521,320
ResNet18,44,11,class_11,0.9797297297297264,0.9062499999999971,0.9415584415579391,320
