model,seed,true_label,pred_label,count
TCN,42,0,0,313
TCN,42,0,1,0
TCN,42,0,2,1
TCN,42,0,3,1
TCN,42,0,4,2
TCN,42,0,5,0
TCN,42,0,6,3
TCN,42,0,7,0
TCN,42,0,8,0
TCN,42,0,9,0
TCN,42,0,10,0
TCN,42,0,11,0
TCN,42,1,0,4
TCN,42,1,1,290
TCN,42,1,2,0
TCN,42,1,3,0
TCN,42,1,4,10
TCN,42,1,5,11
TCN,42,1,6,0
TCN,42,1,7,0
TCN,42,1,8,0
TCN,42,1,9,3
TCN,42,1,10,2
TCN,42,1,11,0
TCN,42,2,0,5
TCN,42,2,1,0
TCN,42,2,2,302
TCN,42,2,3,0
TCN,42,2,4,0
TCN,42,2,5,0
TCN,42,2,6,0
TCN,42,2,7,0
TCN,42,2,8,13
TCN,42,2,9,0
TCN,42,2,10,0
TCN,42,2,11,0
TCN,42,3,0,0
TCN,42,3,1,0
TCN,42,3,2,0
TCN,42,3,3,250
TCN,42,3,4,7
TCN,42,3,5,0
TCN,42,3,6,63
TCN,42,3,7,0
TCN,42,3,8,0
TCN,42,3,9,0
TCN,42,3,10,0
TCN,42,3,11,0
TCN,42,4,0,4
TCN,42,4,1,4
TCN,42,4,2,0
TCN,42,4,3,14
TCN,42,4,4,295
TCN,42,4,5,1
TCN,42,4,6,0
TCN,42,4,7,0
TCN,42,4,8,0
TCN,42,4,9,2
TCN,42,4,10,0
TCN,42,4,11,0
TCN,42,5,0,0
TCN,42,5,1,6
TCN,42,5,2,0
TCN,42,5,3,0
TCN,42,5,4,1
TCN,42,5,5,313
TCN,42,5,6,0
TCN,42,5,7,0
TCN,42,5,8,0
TCN,42,5,9,0
TCN,42,5,10,0
TCN,42,5,11,0
TCN,42,6,0,6
TCN,42,6,1,0
TCN,42,6,2,0
TCN,42,6,3,134
TCN,42,6,4,2
TCN,42,6,5,0
TCN,42,6,6,175
TCN,42,6,7,0
TCN,42,6,8,0
TCN,42,6,9,0
TCN,42,6,10,0
TCN,42,6,11,3
TCN,42,7,0,0
TCN,42,7,1,1
TCN,42,7,2,5
TCN,42,7,3,0
TCN,42,7,4,0
TCN,42,7,5,0
TCN,42,7,6,0
TCN,42,7,7,254
TCN,42,7,8,0
TCN,42,7,9,0
TCN,42,7,10,15
TCN,42,7,11,45
TCN,42,8,0,27
TCN,42,8,1,0
TCN,42,8,2,9
TCN,42,8,3,0
TCN,42,8,4,1
TCN,42,8,5,2
TCN,42,8,6,1
TCN,42,8,7,13
TCN,42,8,8,263
TCN,42,8,9,0
TCN,42,8,10,1
TCN,42,8,11,3
TCN,42,9,0,3
TCN,42,9,1,1
TCN,42,9,2,0
TCN,42,9,3,3
TCN,42,9,4,35
TCN,42,9,5,0
TCN,42,9,6,0
TCN,42,9,7,0
TCN,42,9,8,11
TCN,42,9,9,247
TCN,42,9,10,14
TCN,42,9,11,6
TCN,42,10,0,0
TCN,42,10,1,1
TCN,42,10,2,1
TCN,42,10,3,0
TCN,42,10,4,0
TCN,42,10,5,2
TCN,42,10,6,0
TCN,42,10,7,12
TCN,42,10,8,4
TCN,42,10,9,4
TCN,42,10,10,296
TCN,42,10,11,0
TCN,42,11,0,0
TCN,42,11,1,0
TCN,42,11,2,0
TCN,42,11,3,21
TCN,42,11,4,1
TCN,42,11,5,1
TCN,42,11,6,24
TCN,42,11,7,0
TCN,42,11,8,16
TCN,42,11,9,6
TCN,42,11,10,1
TCN,42,11,11,250
