model,seed,class_id,class_name,precision,recall,f1,support
TCN,44,0,class_0,0.8296089385474836,0.928124999999997,0.8761061946897644,320
TCN,44,1,class_1,0.8924050632911363,0.8812499999999972,0.8867924528296859,320
TCN,44,2,class_2,0.9542483660130687,0.9124999999999971,0.9329073482423086,320
TCN,44,3,class_3,0.5951859956236311,0.8499999999999973,0.7001287001282138,320
TCN,44,4,class_4,0.8364779874213809,0.8312499999999974,0.8338557993725381,320
TCN,44,5,class_5,0.8803418803418778,0.965624999999997,0.9210134128161898,320
TCN,44,6,class_6,0.7207207207207175,0.4999999999999984,0.5904059040585546,320
TCN,44,7,class_7,0.8882352941176443,0.943749999999997,0.9151515151510127,320
TCN,44,8,class_8,0.8619631901840463,0.8781249999999972,0.8699690402471753,320
TCN,44,9,class_9,0.9569536423841027,0.9031249999999971,0.929260450160269,320
TCN,44,10,class_10,0.9779411764705845,0.8312499999999974,0.8986486486481489,320
TCN,44,11,class_11,0.9227941176470553,0.7843749999999975,0.8479729729724732,320
