model,seed,true_label,pred_label,count
Transformer,44,0,0,304
Transformer,44,0,1,0
Transformer,44,0,2,7
Transformer,44,0,3,0
Transformer,44,0,4,3
Transformer,44,0,5,2
Transformer,44,0,6,1
Transformer,44,0,7,0
Transformer,44,0,8,2
Transformer,44,0,9,0
Transformer,44,0,10,1
Transformer,44,0,11,0
Transformer,44,1,0,0
Transformer,44,1,1,279
Transformer,44,1,2,0
Transformer,44,1,3,0
Transformer,44,1,4,7
Transformer,44,1,5,31
Transformer,44,1,6,0
Transformer,44,1,7,0
Transformer,44,1,8,0
Transformer,44,1,9,2
Transformer,44,1,10,0
Transformer,44,1,11,1
Transformer,44,2,0,15
Transformer,44,2,1,2
Transformer,44,2,2,294
Transformer,44,2,3,0
Transformer,44,2,4,0
Transformer,44,2,5,1
Transformer,44,2,6,0
Transformer,44,2,7,5
Transformer,44,2,8,2
Transformer,44,2,9,0
Transformer,44,2,10,1
Transformer,44,2,11,0
Transformer,44,3,0,4
Transformer,44,3,1,1
Transformer,44,3,2,0
Transformer,44,3,3,252
Transformer,44,3,4,9
Transformer,44,3,5,0
Transformer,44,3,6,50
Transformer,44,3,7,0
Transformer,44,3,8,0
Transformer,44,3,9,1
Transformer,44,3,10,0
Transformer,44,3,11,3
Transformer,44,4,0,24
Transformer,44,4,1,40
Transformer,44,4,2,0
Transformer,44,4,3,2
Transformer,44,4,4,233
Transformer,44,4,5,11
Transformer,44,4,6,0
Transformer,44,4,7,0
Transformer,44,4,8,0
Transformer,44,4,9,8
Transformer,44,4,10,1
Transformer,44,4,11,1
Transformer,44,5,0,0
Transformer,44,5,1,24
Transformer,44,5,2,0
Transformer,44,5,3,0
Transformer,44,5,4,3
Transformer,44,5,5,292
Transformer,44,5,6,0
Transformer,44,5,7,0
Transformer,44,5,8,0
Transformer,44,5,9,0
Transformer,44,5,10,1
Transformer,44,5,11,0
Transformer,44,6,0,18
Transformer,44,6,1,6
Transformer,44,6,2,0
Transformer,44,6,3,101
Transformer,44,6,4,16
Transformer,44,6,5,0
Transformer,44,6,6,170
Transformer,44,6,7,0
Transformer,44,6,8,0
Transformer,44,6,9,5
Transformer,44,6,10,0
Transformer,44,6,11,4
Transformer,44,7,0,6
Transformer,44,7,1,0
Transformer,44,7,2,28
Transformer,44,7,3,3
Transformer,44,7,4,0
Transformer,44,7,5,3
Transformer,44,7,6,1
Transformer,44,7,7,250
Transformer,44,7,8,4
Transformer,44,7,9,4
Transformer,44,7,10,19
Transformer,44,7,11,2
Transformer,44,8,0,4
Transformer,44,8,1,0
Transformer,44,8,2,0
Transformer,44,8,3,0
Transformer,44,8,4,0
Transformer,44,8,5,2
Transformer,44,8,6,0
Transformer,44,8,7,1
Transformer,44,8,8,306
Transformer,44,8,9,1
Transformer,44,8,10,4
Transformer,44,8,11,2
Transformer,44,9,0,11
Transformer,44,9,1,3
Transformer,44,9,2,0
Transformer,44,9,3,15
Transformer,44,9,4,84
Transformer,44,9,5,0
Transformer,44,9,6,0
Transformer,44,9,7,0
Transformer,44,9,8,3
Transformer,44,9,9,204
Transformer,44,9,10,0
Transformer,44,9,11,0
Transformer,44,10,0,18
Transformer,44,10,1,1
Transformer,44,10,2,1
Transformer,44,10,3,2
Transformer,44,10,4,3
Transformer,44,10,5,4
Transformer,44,10,6,1
Transformer,44,10,7,40
Transformer,44,10,8,6
Transformer,44,10,9,6
Transformer,44,10,10,235
Transformer,44,10,11,3
Transformer,44,11,0,1
Transformer,44,11,1,0
Transformer,44,11,2,0
Transformer,44,11,3,8
Transformer,44,11,4,8
Transformer,44,11,5,0
Transformer,44,11,6,2
Transformer,44,11,7,1
Transformer,44,11,8,13
Transformer,44,11,9,1
Transformer,44,11,10,0
Transformer,44,11,11,286
