model,seed,class_id,class_name,precision,recall,f1,support
Transformer,44,0,class_0,0.7506172839506153,0.949999999999997,0.838620689654677,320
Transformer,44,1,class_1,0.7837078651685371,0.8718749999999972,0.8254437869817474,320
Transformer,44,2,class_2,0.8909090909090881,0.9187499999999971,0.9046153846148819,320
Transformer,44,3,class_3,0.6579634464751941,0.7874999999999975,0.7169274537690611,320
Transformer,44,4,class_4,0.6366120218579218,0.7281249999999977,0.6793002915446897,320
Transformer,44,5,class_5,0.8439306358381478,0.9124999999999971,0.8768768768763749,320
Transformer,44,6,class_6,0.7555555555555522,0.5312499999999983,0.6238532110086871,320
Transformer,44,7,class_7,0.8417508417508388,0.7812499999999976,0.8103727714743764,320
Transformer,44,8,class_8,0.9107142857142829,0.9562499999999969,0.93292682926779,320
Transformer,44,9,class_9,0.8793103448275824,0.637499999999998,0.7391304347821187,320
Transformer,44,10,class_10,0.8969465648854926,0.7343749999999977,0.8075601374565468,320
Transformer,44,11,class_11,0.9470198675496657,0.8937499999999972,0.9196141479094652,320
