model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.9216145833333332,0.920994704037203,0.9234052666075078,0.9216145833333304,2935.2819106522948,0.6937842932529747,11961804.0,11.961804,14.0,0.451342917183876,0.9345238095238096,0.9353798396651368,2.395636308938265,417.4256318744791,0.6064978457288817,1648.8104731818337
EfficientNet_B0,cnn,0.9268229166666668,0.9266854434569886,0.9282395455989604,0.9268229166666638,2629.0961094293743,0.470457918709144,4045096.0,4.045096,15.0,0.6084224053350193,0.9273809523809524,0.928305899165532,6.272247098386288,159.4324943379986,0.2143363759387284,4665.563629226736
GRU,temporal,0.8794270833333333,0.8781959966555736,0.8792107061377868,0.8794270833333306,1785.060748130083,0.4123973078094423,1057036.0,1.057036,17.0,1.0232022310419655,0.8979166666666667,0.8984685887374253,1.4443548023700714,692.350659518755,0.0488336128182709,20477.69850085418
LSTM,temporal,0.83984375,0.8390624019866246,0.8414214438408848,0.8398437499999973,1847.9839154481888,0.2240093075670302,1320204.0,1.320204,17.0,0.923866782813477,0.8913690476190477,0.8915096041151486,1.4984887093305588,667.3390288317516,0.0508371443720534,19670.65641377227
LeNet_LSTM,temporal,0.91015625,0.910166491019039,0.9123249794015303,0.9101562499999972,1918.1426292993128,0.4359313054010272,803548.0,0.803548,10.0,0.3137600442547452,0.9297619047619048,0.930806915165136,2.041271161288023,489.8908185079191,0.3069289721315726,3258.0827839586464
LeNet,cnn,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,962.9707735534756,0.0513365841470658,73726.0,0.073726,14.0,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.5599348992109299,1785.9219016518127,0.0109019037336111,91727.09871918523
MobileNet_V2,cnn,0.93203125,0.9313260574327734,0.9338773188716024,0.932031249999997,2078.603156596422,0.3523934574332088,2261420.0,2.26142,14.0,0.5347389440575192,0.9252976190476192,0.9256730462295842,3.974189441651106,251.62363663885705,0.133183867437765,7508.416891912876
ResNet18,cnn,0.91875,0.916773506322324,0.924626820238008,0.9187499999999972,2301.315577307716,0.4877655766904354,11424140.0,11.42414,8.0,0.3144136053597971,0.9413690476190476,0.9413682703540824,1.955937147140503,511.2638723907655,0.0673149706562981,14855.536446801352
TCN,temporal,0.85078125,0.8501843699430278,0.8597396977302276,0.8507812499999973,2194.196867087856,0.2654362935572862,7281420.0,7.28142,25.0,3.769170389029091,0.8776785714285714,0.8810853031001077,0.6900513172149658,1449.1675837037471,0.0465109187643975,21500.32780615517
Transformer,attention,0.80859375,0.8062701679450347,0.8162531503735765,0.8085937499999974,1939.405235465616,0.1075992011465132,1080076.0,1.080076,28.0,2.147812470840299,0.8485119047619047,0.8487427746669987,0.7686038687825203,1301.0603258919507,0.0278924545273184,35851.989971717194
