model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.9239583333333332,0.9235345491239744,0.9284854139864536,0.9239583333333304,2922.4034606181085,0.7605118909850717,11961804.0,11.961804,11.0,0.3053235870311688,0.9279761904761904,0.9276529901770671,2.9875455051660538,334.7229350216769,0.5907127668615431,1692.8701326585508
EfficientNet_B0,cnn,0.9098958333333332,0.9082839956842428,0.9148933176820196,0.9098958333333304,2654.801144139841,0.5048524588346481,4045096.0,4.045096,18.0,0.2654323113618991,0.9413690476190476,0.9413862264660922,6.235506646335125,160.37189224836172,0.2134717284934595,4684.461062161862
GRU,temporal,0.8848958333333333,0.8842172457204933,0.8881588271702577,0.8848958333333306,1882.367002369836,0.230023986659944,1057036.0,1.057036,15.0,0.8790958033413314,0.8755952380952381,0.8756332206153931,1.6583235375583172,603.0186374079815,0.0561157375341281,17820.3128737607
LSTM,temporal,0.8815104166666666,0.8812225409301453,0.8830031464905828,0.8815104166666637,1887.8607681952417,0.4258819040842354,1320204.0,1.320204,16.0,0.924005551972605,0.8651785714285715,0.8657551680895805,1.5079612284898758,663.1470233498208,0.0511196011211723,19561.96797446896
LeNet_LSTM,temporal,0.9033854166666668,0.9021192072159008,0.9086964714050794,0.9033854166666638,1872.562917323783,0.4160110373049974,803548.0,0.803548,14.0,0.4096533223230013,0.9211309523809524,0.9214728101842165,1.9894107803702357,502.6613959606155,0.3068839141633361,3258.5611491769464
LeNet,cnn,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,971.690440831706,0.0694608665071427,73726.0,0.073726,18.0,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.5629898421466351,1776.230981694235,0.0113300018711015,88261.23873382689
MobileNet_V2,cnn,0.8994791666666667,0.8965805588152193,0.906458954230454,0.8994791666666636,2134.56079890579,0.3603370918426662,2261420.0,2.26142,30.0,0.3979566060681312,0.9446428571428572,0.9443841145156138,3.981242999434471,251.1778357015757,0.1343276974512264,7444.481063654754
ResNet18,cnn,0.90078125,0.8981515119589948,0.9063025340780554,0.9007812499999972,2341.803880687803,0.4960922291502356,11424140.0,11.42414,18.0,0.4222143685994119,0.9258928571428572,0.9256725137009046,1.983638945966959,504.1240000016902,0.0675589015008881,14801.89845873757
TCN,temporal,0.8458333333333333,0.8458045609845021,0.8521666477265736,0.8458333333333307,2312.87062400952,0.5415932508185506,7281420.0,7.28142,23.0,3.63682152096094,0.844047619047619,0.8439358525197912,0.7332064583897591,1363.872328942878,0.0465396617073565,21487.04918157858
Transformer,attention,0.8169270833333333,0.8087017757061664,0.8253439479714433,0.8169270833333306,1974.0506235491484,0.2522473921999335,1080076.0,1.080076,10.0,1.886896540366673,0.81875,0.8184377265030314,0.7948205061256886,1258.1456974159464,0.0280693761305883,35626.014463152205
