group,metric,active_length_mean,active_length_std,active_length_median,active_length_q1,active_length_q3,max_abs_delta_mean,max_abs_delta_std,max_abs_delta_median,max_abs_delta_q1,max_abs_delta_q3,mean_abs_delta_mean,mean_abs_delta_std,mean_abs_delta_median,mean_abs_delta_q1,mean_abs_delta_q3,active_area_mean_mean,active_area_mean_std,active_area_mean_median,active_area_mean_q1,active_area_mean_q3,active_area_max_mean,active_area_max_std,active_area_max_median,active_area_max_q1,active_area_max_q3,motion_energy_mean,motion_energy_std,motion_energy_median,motion_energy_q1,motion_energy_q3
correct_class_3,active_length,78.27542372881356,6.500031765772158,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
correct_class_3,max_abs_delta,,,,,,213.27881033945891,69.6700248975809,210.69825744628906,157.06538009643555,266.69351959228516,,,,,,,,,,,,,,,,,,,,
correct_class_3,mean_abs_delta,,,,,,,,,,,3.5334266785342816,1.514297855779657,3.188271641731262,2.383592903614044,4.6999558210372925,,,,,,,,,,,,,,,
correct_class_3,active_area_mean,,,,,,,,,,,,,,,,595.2496820061893,235.69225181357882,723.1374816894531,528.6562652587891,759.1718597412109,,,,,,,,,,
correct_class_3,active_area_max,,,,,,,,,,,,,,,,,,,,,798.8686440677966,239.89354037097533,907.0,856.5,924.25,,,,,
correct_class_3,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.4655883077658334,0.1760412984670013,0.4945981204509735,0.3292956277728081,0.5596880614757538
correct_class_6,active_length,77.59911894273128,7.410707761888074,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
correct_class_6,max_abs_delta,,,,,,193.87208859615913,103.20791309148849,182.0,148.66143035888672,219.37738037109375,,,,,,,,,,,,,,,,,,,,
correct_class_6,mean_abs_delta,,,,,,,,,,,2.841031936559383,1.3096118573079008,2.62730073928833,2.1458022594451904,3.884152412414551,,,,,,,,,,,,,,,
correct_class_6,active_area_mean,,,,,,,,,,,,,,,,538.557874368676,244.68713111374402,587.7249755859375,282.09375,755.7562561035156,,,,,,,,,,
correct_class_6,active_area_max,,,,,,,,,,,,,,,,,,,,,747.8370044052864,261.41006126098387,885.0,630.0,920.0,,,,,
correct_class_6,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.3979933146173996,0.17717670315347997,0.39274299144744873,0.28338809311389923,0.5368739068508148
class_3_to_6_error,active_length,72.52777777777777,12.284783069380117,80.0,65.75,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
class_3_to_6_error,max_abs_delta,,,,,,162.444192621443,59.356982852509276,155.6370849609375,124.05025482177734,192.25,,,,,,,,,,,,,,,,,,,,
class_3_to_6_error,mean_abs_delta,,,,,,,,,,,2.199443033999867,1.2865029556674705,2.1048924922943115,0.9758685529232025,2.5693953037261963,,,,,,,,,,,,,,,
class_3_to_6_error,active_area_mean,,,,,,,,,,,,,,,,415.9947915607029,259.962300813521,515.7000122070312,103.48749923706055,579.3625030517578,,,,,,,,,,
class_3_to_6_error,active_area_max,,,,,,,,,,,,,,,,,,,,,623.2222222222222,327.141331258042,856.0,195.75,896.0,,,,,
class_3_to_6_error,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.3028942917266654,0.17547129024085473,0.29523319005966187,0.10164094157516956,0.3783709406852722
class_6_to_3_error,active_length,75.92134831460675,10.672051832561495,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
class_6_to_3_error,max_abs_delta,,,,,,201.35916994930653,96.6285922650299,187.9398651123047,144.18667602539062,254.0,,,,,,,,,,,,,,,,,,,,
class_6_to_3_error,mean_abs_delta,,,,,,,,,,,3.3103908749108903,1.5459440352762284,3.3824095726013184,2.436953067779541,4.856101036071777,,,,,,,,,,,,,,,
class_6_to_3_error,active_area_mean,,,,,,,,,,,,,,,,625.7807609900999,264.22088739997923,757.1375122070312,713.9500122070312,778.0499877929688,,,,,,,,,,
class_6_to_3_error,active_area_max,,,,,,,,,,,,,,,,,,,,,778.1910112359551,284.54765507571796,912.0,888.0,927.0,,,,,
class_6_to_3_error,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.4708266958092036,0.19712911006845013,0.5569419860839844,0.44872352480888367,0.6079887747764587
all_correct_3_6,active_length,77.9438444924406,6.969625546058789,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
all_correct_3_6,max_abs_delta,,,,,,203.76406771369423,88.26472007531827,191.73699951171875,153.0680923461914,248.68209075927734,,,,,,,,,,,,,,,,,,,,
all_correct_3_6,mean_abs_delta,,,,,,,,,,,3.1939588460757458,1.4592860561334857,2.8256754875183105,2.206973671913147,4.4183807373046875,,,,,,,,,,,,,,,
all_correct_3_6,active_area_mean,,,,,,,,,,,,,,,,567.4547784776461,241.81088724890915,688.8250122070312,496.2749938964844,756.9249877929688,,,,,,,,,,
all_correct_3_6,active_area_max,,,,,,,,,,,,,,,,,,,,,773.8488120950324,251.96833518724887,899.0,797.0,923.0,,,,,
all_correct_3_6,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.4324477819673572,0.17980267731047558,0.4481564164161682,0.30451494455337524,0.5507890582084656
all_confused_3_6,active_length,74.40372670807453,11.54541606328589,80.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
all_confused_3_6,max_abs_delta,,,,,,183.956198721939,84.3296061174578,175.0,137.0,237.48898315429688,,,,,,,,,,,,,,,,,,,,
all_confused_3_6,mean_abs_delta,,,,,,,,,,,2.8135694802177618,1.5383186138168983,2.5942070484161377,1.757806420326233,4.2972564697265625,,,,,,,,,,,,,,,
all_confused_3_6,active_area_mean,,,,,,,,,,,,,,,,531.9634330465186,282.3017161230388,715.0875244140625,206.6125030517578,763.1875,,,,,,,,,,
all_confused_3_6,active_area_max,,,,,,,,,,,,,,,,,,,,,708.888198757764,313.93594302079845,898.0,429.0,920.0,,,,,
all_confused_3_6,motion_energy,,,,,,,,,,,,,,,,,,,,,,,,,,0.39572649025676415,0.2054818429267053,0.468781054019928,0.2629522979259491,0.5819646120071411
