case_type,metric,frame_index,value_mean
correct_class_3,mean_abs_pressure,1,0.0011167627526447177
correct_class_3,mean_abs_pressure,2,0.007537360768765211
correct_class_3,mean_abs_pressure,3,0.013325775973498821
correct_class_3,mean_abs_pressure,4,0.01778390072286129
correct_class_3,mean_abs_pressure,5,0.01901477761566639
correct_class_3,mean_abs_pressure,6,0.015624772757291794
correct_class_3,mean_abs_pressure,7,0.00949394516646862
correct_class_3,mean_abs_pressure,8,0.02581363171339035
correct_class_3,mean_abs_pressure,9,0.04422096535563469
correct_class_3,mean_abs_pressure,10,0.05845100060105324
correct_class_3,mean_abs_pressure,11,0.06291758269071579
correct_class_3,mean_abs_pressure,12,0.05407478287816048
correct_class_3,mean_abs_pressure,13,0.038531385362148285
correct_class_3,mean_abs_pressure,14,0.07633067667484283
correct_class_3,mean_abs_pressure,15,0.14989911019802094
correct_class_3,mean_abs_pressure,16,0.2915555238723755
correct_class_3,mean_abs_pressure,17,0.5317742228507996
correct_class_3,mean_abs_pressure,18,0.7554852962493896
correct_class_3,mean_abs_pressure,19,1.0015867948532104
correct_class_3,mean_abs_pressure,20,1.51125168800354
correct_class_3,mean_abs_pressure,21,2.248785972595215
correct_class_3,mean_abs_pressure,22,3.0235869884490967
correct_class_3,mean_abs_pressure,23,3.670504331588745
correct_class_3,mean_abs_pressure,24,4.209871768951416
correct_class_3,mean_abs_pressure,25,4.733982086181641
correct_class_3,mean_abs_pressure,26,5.281175136566162
correct_class_3,mean_abs_pressure,27,5.821506500244141
correct_class_3,mean_abs_pressure,28,6.360211372375488
correct_class_3,mean_abs_pressure,29,6.910248756408691
correct_class_3,mean_abs_pressure,30,7.503774166107178
correct_class_3,mean_abs_pressure,31,8.150334358215332
correct_class_3,mean_abs_pressure,32,8.691905975341797
correct_class_3,mean_abs_pressure,33,9.151226043701172
correct_class_3,mean_abs_pressure,34,9.526290893554688
correct_class_3,mean_abs_pressure,35,9.812925338745117
correct_class_3,mean_abs_pressure,36,10.03381633758545
correct_class_3,mean_abs_pressure,37,10.222860336303711
correct_class_3,mean_abs_pressure,38,10.393834114074707
correct_class_3,mean_abs_pressure,39,10.513787269592285
correct_class_3,mean_abs_pressure,40,10.563741683959961
correct_class_3,mean_abs_pressure,41,10.50600814819336
correct_class_3,mean_abs_pressure,42,10.38692569732666
correct_class_3,mean_abs_pressure,43,10.22635269165039
correct_class_3,mean_abs_pressure,44,10.034531593322754
correct_class_3,mean_abs_pressure,45,9.796643257141113
correct_class_3,mean_abs_pressure,46,9.478022575378418
correct_class_3,mean_abs_pressure,47,9.076502799987793
correct_class_3,mean_abs_pressure,48,8.60250473022461
correct_class_3,mean_abs_pressure,49,8.07596206665039
correct_class_3,mean_abs_pressure,50,7.4760422706604
correct_class_3,mean_abs_pressure,51,6.801219940185547
correct_class_3,mean_abs_pressure,52,6.060512542724609
correct_class_3,mean_abs_pressure,53,5.234006404876709
correct_class_3,mean_abs_pressure,54,4.359894275665283
correct_class_3,mean_abs_pressure,55,3.5638210773468018
correct_class_3,mean_abs_pressure,56,2.813194751739502
correct_class_3,mean_abs_pressure,57,2.132620334625244
correct_class_3,mean_abs_pressure,58,1.6236567497253418
correct_class_3,mean_abs_pressure,59,1.191684365272522
correct_class_3,mean_abs_pressure,60,0.8510760068893433
correct_class_3,mean_abs_pressure,61,0.607431173324585
correct_class_3,mean_abs_pressure,62,0.4557051956653595
correct_class_3,mean_abs_pressure,63,0.35144391655921936
correct_class_3,mean_abs_pressure,64,0.2763519883155823
correct_class_3,mean_abs_pressure,65,0.22005034983158112
correct_class_3,mean_abs_pressure,66,0.1737571656703949
correct_class_3,mean_abs_pressure,67,0.13916516304016113
correct_class_3,mean_abs_pressure,68,0.11718303710222244
correct_class_3,mean_abs_pressure,69,0.10133086889982224
correct_class_3,mean_abs_pressure,70,0.08697451651096344
correct_class_3,mean_abs_pressure,71,0.07195017486810684
correct_class_3,mean_abs_pressure,72,0.05827367678284645
correct_class_3,mean_abs_pressure,73,0.047729361802339554
correct_class_3,mean_abs_pressure,74,0.03951828181743622
correct_class_3,mean_abs_pressure,75,0.03306063637137413
correct_class_3,mean_abs_pressure,76,0.02737041376531124
correct_class_3,mean_abs_pressure,77,0.022124074399471283
correct_class_3,mean_abs_pressure,78,0.017662305384874344
correct_class_3,mean_abs_pressure,79,0.014241931028664112
correct_class_3,mean_abs_pressure,80,0.011467638425529003
correct_class_3,max_abs_pressure,1,0.046829886734485626
correct_class_3,max_abs_pressure,2,0.07242085039615631
correct_class_3,max_abs_pressure,3,0.10917539894580841
correct_class_3,max_abs_pressure,4,0.147238090634346
correct_class_3,max_abs_pressure,5,0.18677836656570435
correct_class_3,max_abs_pressure,6,0.22056028246879578
correct_class_3,max_abs_pressure,7,0.250253826379776
correct_class_3,max_abs_pressure,8,0.3489060401916504
correct_class_3,max_abs_pressure,9,0.46950802206993103
correct_class_3,max_abs_pressure,10,0.5862160325050354
correct_class_3,max_abs_pressure,11,0.6939755082130432
correct_class_3,max_abs_pressure,12,0.8005296587944031
correct_class_3,max_abs_pressure,13,0.9608412384986877
correct_class_3,max_abs_pressure,14,1.3737730979919434
correct_class_3,max_abs_pressure,15,2.8642594814300537
correct_class_3,max_abs_pressure,16,6.4994306564331055
correct_class_3,max_abs_pressure,17,9.565892219543457
correct_class_3,max_abs_pressure,18,12.573831558227539
correct_class_3,max_abs_pressure,19,17.702537536621094
correct_class_3,max_abs_pressure,20,29.738901138305664
correct_class_3,max_abs_pressure,21,40.4164924621582
correct_class_3,max_abs_pressure,22,50.67063903808594
correct_class_3,max_abs_pressure,23,60.54246139526367
correct_class_3,max_abs_pressure,24,69.6029281616211
correct_class_3,max_abs_pressure,25,78.36908721923828
correct_class_3,max_abs_pressure,26,87.37174224853516
correct_class_3,max_abs_pressure,27,97.76094818115234
correct_class_3,max_abs_pressure,28,108.40995025634766
correct_class_3,max_abs_pressure,29,121.09288024902344
correct_class_3,max_abs_pressure,30,136.91690063476562
correct_class_3,max_abs_pressure,31,148.97097778320312
correct_class_3,max_abs_pressure,32,159.14315795898438
correct_class_3,max_abs_pressure,33,168.24545288085938
correct_class_3,max_abs_pressure,34,175.67250061035156
correct_class_3,max_abs_pressure,35,183.03843688964844
correct_class_3,max_abs_pressure,36,189.42112731933594
correct_class_3,max_abs_pressure,37,193.84194946289062
correct_class_3,max_abs_pressure,38,198.1490478515625
correct_class_3,max_abs_pressure,39,200.3782501220703
correct_class_3,max_abs_pressure,40,201.14407348632812
correct_class_3,max_abs_pressure,41,202.4110107421875
correct_class_3,max_abs_pressure,42,201.7686004638672
correct_class_3,max_abs_pressure,43,199.72396850585938
correct_class_3,max_abs_pressure,44,196.00503540039062
correct_class_3,max_abs_pressure,45,191.36781311035156
correct_class_3,max_abs_pressure,46,185.48025512695312
correct_class_3,max_abs_pressure,47,179.08749389648438
correct_class_3,max_abs_pressure,48,170.47171020507812
correct_class_3,max_abs_pressure,49,159.9910125732422
correct_class_3,max_abs_pressure,50,149.44805908203125
correct_class_3,max_abs_pressure,51,137.74098205566406
correct_class_3,max_abs_pressure,52,122.09848022460938
correct_class_3,max_abs_pressure,53,106.42903137207031
correct_class_3,max_abs_pressure,54,92.43010711669922
correct_class_3,max_abs_pressure,55,76.40713500976562
correct_class_3,max_abs_pressure,56,61.42885971069336
correct_class_3,max_abs_pressure,57,49.118404388427734
correct_class_3,max_abs_pressure,58,39.23811340332031
correct_class_3,max_abs_pressure,59,30.09956169128418
correct_class_3,max_abs_pressure,60,23.09326934814453
correct_class_3,max_abs_pressure,61,16.50469207763672
correct_class_3,max_abs_pressure,62,12.2889404296875
correct_class_3,max_abs_pressure,63,9.4107084274292
correct_class_3,max_abs_pressure,64,6.950812816619873
correct_class_3,max_abs_pressure,65,5.214750289916992
correct_class_3,max_abs_pressure,66,4.114565372467041
correct_class_3,max_abs_pressure,67,3.293523073196411
correct_class_3,max_abs_pressure,68,2.691464900970459
correct_class_3,max_abs_pressure,69,2.2772374153137207
correct_class_3,max_abs_pressure,70,1.8926647901535034
correct_class_3,max_abs_pressure,71,1.5749127864837646
correct_class_3,max_abs_pressure,72,1.3158713579177856
correct_class_3,max_abs_pressure,73,1.0838909149169922
correct_class_3,max_abs_pressure,74,0.88184654712677
correct_class_3,max_abs_pressure,75,0.7240148782730103
correct_class_3,max_abs_pressure,76,0.5937718152999878
correct_class_3,max_abs_pressure,77,0.48722586035728455
correct_class_3,max_abs_pressure,78,0.3947851359844208
correct_class_3,max_abs_pressure,79,0.32897669076919556
correct_class_3,max_abs_pressure,80,0.2592761218547821
correct_class_3,active_area,1,74.62287902832031
correct_class_3,active_area,2,406.8432312011719
correct_class_3,active_area,3,483.1483154296875
correct_class_3,active_area,4,503.3559265136719
correct_class_3,active_area,5,468.68218994140625
correct_class_3,active_area,6,353.77117919921875
correct_class_3,active_area,7,178.39830017089844
correct_class_3,active_area,8,391.4957580566406
correct_class_3,active_area,9,482.9067687988281
correct_class_3,active_area,10,510.9025573730469
correct_class_3,active_area,11,486.8855895996094
correct_class_3,active_area,12,391.13983154296875
correct_class_3,active_area,13,231.45762634277344
correct_class_3,active_area,14,388.71185302734375
correct_class_3,active_area,15,503.9830627441406
correct_class_3,active_area,16,541.4703369140625
correct_class_3,active_area,17,537.5551147460938
correct_class_3,active_area,18,492.4533996582031
correct_class_3,active_area,19,467.69915771484375
correct_class_3,active_area,20,607.3771362304688
correct_class_3,active_area,21,688.8728637695312
correct_class_3,active_area,22,722.9661254882812
correct_class_3,active_area,23,729.9237060546875
correct_class_3,active_area,24,725.2923583984375
correct_class_3,active_area,25,721.4110107421875
correct_class_3,active_area,26,733.4957885742188
