true_label,pred_label,true_class,pred_class,count
6,3,class_6,class_3,89
3,6,class_3,class_6,72
7,8,class_7,class_8,18
1,5,class_1,class_5,17
11,6,class_11,class_6,13
0,6,class_0,class_6,11
9,10,class_9,class_10,10
7,0,class_7,class_0,9
3,11,class_3,class_11,6
10,7,class_10,class_7,5
7,5,class_7,class_5,5
0,2,class_0,class_2,5
7,2,class_7,class_2,4
7,11,class_7,class_11,4
11,3,class_11,class_3,3
3,1,class_3,class_1,3
8,0,class_8,class_0,3
6,9,class_6,class_9,2
8,10,class_8,class_10,2
8,7,class_8,class_7,2
4,1,class_4,class_1,2
11,1,class_11,class_1,2
11,4,class_11,class_4,2
7,10,class_7,class_10,2
8,2,class_8,class_2,2
3,4,class_3,class_4,2
4,0,class_4,class_0,2
2,0,class_2,class_0,2
11,9,class_11,class_9,2
9,4,class_9,class_4,1
6,4,class_6,class_4,1
8,5,class_8,class_5,1
1,4,class_1,class_4,1
2,6,class_2,class_6,1
6,0,class_6,class_0,1
3,0,class_3,class_0,1
0,8,class_0,class_8,1
2,8,class_2,class_8,1
0,9,class_0,class_9,1
8,9,class_8,class_9,1
9,1,class_9,class_1,1
9,0,class_9,class_0,1
0,1,class_0,class_1,0
0,3,class_0,class_3,0
0,4,class_0,class_4,0
3,2,class_3,class_2,0
2,9,class_2,class_9,0
2,11,class_2,class_11,0
2,7,class_2,class_7,0
2,3,class_2,class_3,0
3,7,class_3,class_7,0
2,10,class_2,class_10,0
1,9,class_1,class_9,0
1,8,class_1,class_8,0
1,7,class_1,class_7,0
1,6,class_1,class_6,0
1,2,class_1,class_2,0
2,1,class_2,class_1,0
1,11,class_1,class_11,0
1,10,class_1,class_10,0
2,5,class_2,class_5,0
2,4,class_2,class_4,0
1,3,class_1,class_3,0
0,11,class_0,class_11,0
1,0,class_1,class_0,0
0,10,class_0,class_10,0
0,7,class_0,class_7,0
0,5,class_0,class_5,0
6,1,class_6,class_1,0
5,11,class_5,class_11,0
5,10,class_5,class_10,0
5,9,class_5,class_9,0
5,7,class_5,class_7,0
5,8,class_5,class_8,0
5,6,class_5,class_6,0
5,4,class_5,class_4,0
5,0,class_5,class_0,0
5,3,class_5,class_3,0
5,2,class_5,class_2,0
5,1,class_5,class_1,0
4,10,class_4,class_10,0
4,11,class_4,class_11,0
4,9,class_4,class_9,0
4,8,class_4,class_8,0
3,5,class_3,class_5,0
4,7,class_4,class_7,0
4,6,class_4,class_6,0
4,5,class_4,class_5,0
4,3,class_4,class_3,0
4,2,class_4,class_2,0
3,9,class_3,class_9,0
3,10,class_3,class_10,0
3,8,class_3,class_8,0
7,6,class_7,class_6,0
7,3,class_7,class_3,0
7,4,class_7,class_4,0
6,11,class_6,class_11,0
6,7,class_6,class_7,0
6,8,class_6,class_8,0
7,1,class_7,class_1,0
8,11,class_8,class_11,0
8,6,class_8,class_6,0
8,4,class_8,class_4,0
8,3,class_8,class_3,0
8,1,class_8,class_1,0
7,9,class_7,class_9,0
6,5,class_6,class_5,0
6,2,class_6,class_2,0
6,10,class_6,class_10,0
9,11,class_9,class_11,0
9,8,class_9,class_8,0
9,2,class_9,class_2,0
9,5,class_9,class_5,0
9,6,class_9,class_6,0
9,7,class_9,class_7,0
9,3,class_9,class_3,0
10,5,class_10,class_5,0
10,4,class_10,class_4,0
10,3,class_10,class_3,0
10,2,class_10,class_2,0
10,1,class_10,class_1,0
10,0,class_10,class_0,0
10,8,class_10,class_8,0
10,6,class_10,class_6,0
11,2,class_11,class_2,0
11,0,class_11,class_0,0
10,11,class_10,class_11,0
10,9,class_10,class_9,0
11,5,class_11,class_5,0
11,7,class_11,class_7,0
11,8,class_11,class_8,0
11,10,class_11,class_10,0
