model,seed,true_label,pred_label,count
LeNet_LSTM_MeanMax,43,0,0,305
LeNet_LSTM_MeanMax,43,0,1,0
LeNet_LSTM_MeanMax,43,0,2,2
LeNet_LSTM_MeanMax,43,0,3,0
LeNet_LSTM_MeanMax,43,0,4,2
LeNet_LSTM_MeanMax,43,0,5,0
LeNet_LSTM_MeanMax,43,0,6,9
LeNet_LSTM_MeanMax,43,0,7,0
LeNet_LSTM_MeanMax,43,0,8,1
LeNet_LSTM_MeanMax,43,0,9,0
LeNet_LSTM_MeanMax,43,0,10,0
LeNet_LSTM_MeanMax,43,0,11,1
LeNet_LSTM_MeanMax,43,1,0,0
LeNet_LSTM_MeanMax,43,1,1,306
LeNet_LSTM_MeanMax,43,1,2,0
LeNet_LSTM_MeanMax,43,1,3,0
LeNet_LSTM_MeanMax,43,1,4,1
LeNet_LSTM_MeanMax,43,1,5,13
LeNet_LSTM_MeanMax,43,1,6,0
LeNet_LSTM_MeanMax,43,1,7,0
LeNet_LSTM_MeanMax,43,1,8,0
LeNet_LSTM_MeanMax,43,1,9,0
LeNet_LSTM_MeanMax,43,1,10,0
LeNet_LSTM_MeanMax,43,1,11,0
LeNet_LSTM_MeanMax,43,2,0,3
LeNet_LSTM_MeanMax,43,2,1,0
LeNet_LSTM_MeanMax,43,2,2,312
LeNet_LSTM_MeanMax,43,2,3,0
LeNet_LSTM_MeanMax,43,2,4,0
LeNet_LSTM_MeanMax,43,2,5,1
LeNet_LSTM_MeanMax,43,2,6,0
LeNet_LSTM_MeanMax,43,2,7,0
LeNet_LSTM_MeanMax,43,2,8,4
LeNet_LSTM_MeanMax,43,2,9,0
LeNet_LSTM_MeanMax,43,2,10,0
LeNet_LSTM_MeanMax,43,2,11,0
LeNet_LSTM_MeanMax,43,3,0,1
LeNet_LSTM_MeanMax,43,3,1,0
LeNet_LSTM_MeanMax,43,3,2,0
LeNet_LSTM_MeanMax,43,3,3,249
LeNet_LSTM_MeanMax,43,3,4,2
LeNet_LSTM_MeanMax,43,3,5,0
LeNet_LSTM_MeanMax,43,3,6,67
LeNet_LSTM_MeanMax,43,3,7,0
LeNet_LSTM_MeanMax,43,3,8,0
LeNet_LSTM_MeanMax,43,3,9,1
LeNet_LSTM_MeanMax,43,3,10,0
LeNet_LSTM_MeanMax,43,3,11,0
LeNet_LSTM_MeanMax,43,4,0,1
LeNet_LSTM_MeanMax,43,4,1,0
LeNet_LSTM_MeanMax,43,4,2,0
LeNet_LSTM_MeanMax,43,4,3,0
LeNet_LSTM_MeanMax,43,4,4,316
LeNet_LSTM_MeanMax,43,4,5,0
LeNet_LSTM_MeanMax,43,4,6,3
LeNet_LSTM_MeanMax,43,4,7,0
LeNet_LSTM_MeanMax,43,4,8,0
LeNet_LSTM_MeanMax,43,4,9,0
LeNet_LSTM_MeanMax,43,4,10,0
LeNet_LSTM_MeanMax,43,4,11,0
LeNet_LSTM_MeanMax,43,5,0,0
LeNet_LSTM_MeanMax,43,5,1,0
LeNet_LSTM_MeanMax,43,5,2,0
LeNet_LSTM_MeanMax,43,5,3,0
LeNet_LSTM_MeanMax,43,5,4,0
LeNet_LSTM_MeanMax,43,5,5,320
LeNet_LSTM_MeanMax,43,5,6,0
LeNet_LSTM_MeanMax,43,5,7,0
LeNet_LSTM_MeanMax,43,5,8,0
LeNet_LSTM_MeanMax,43,5,9,0
LeNet_LSTM_MeanMax,43,5,10,0
LeNet_LSTM_MeanMax,43,5,11,0
LeNet_LSTM_MeanMax,43,6,0,0
LeNet_LSTM_MeanMax,43,6,1,0
LeNet_LSTM_MeanMax,43,6,2,0
LeNet_LSTM_MeanMax,43,6,3,140
LeNet_LSTM_MeanMax,43,6,4,1
LeNet_LSTM_MeanMax,43,6,5,0
LeNet_LSTM_MeanMax,43,6,6,179
LeNet_LSTM_MeanMax,43,6,7,0
LeNet_LSTM_MeanMax,43,6,8,0
LeNet_LSTM_MeanMax,43,6,9,0
LeNet_LSTM_MeanMax,43,6,10,0
LeNet_LSTM_MeanMax,43,6,11,0
LeNet_LSTM_MeanMax,43,7,0,7
LeNet_LSTM_MeanMax,43,7,1,0
LeNet_LSTM_MeanMax,43,7,2,12
LeNet_LSTM_MeanMax,43,7,3,0
LeNet_LSTM_MeanMax,43,7,4,0
LeNet_LSTM_MeanMax,43,7,5,6
LeNet_LSTM_MeanMax,43,7,6,0
LeNet_LSTM_MeanMax,43,7,7,281
LeNet_LSTM_MeanMax,43,7,8,11
LeNet_LSTM_MeanMax,43,7,9,1
LeNet_LSTM_MeanMax,43,7,10,2
LeNet_LSTM_MeanMax,43,7,11,0
LeNet_LSTM_MeanMax,43,8,0,4
LeNet_LSTM_MeanMax,43,8,1,0
LeNet_LSTM_MeanMax,43,8,2,5
LeNet_LSTM_MeanMax,43,8,3,0
LeNet_LSTM_MeanMax,43,8,4,0
LeNet_LSTM_MeanMax,43,8,5,2
LeNet_LSTM_MeanMax,43,8,6,0
LeNet_LSTM_MeanMax,43,8,7,3
LeNet_LSTM_MeanMax,43,8,8,305
LeNet_LSTM_MeanMax,43,8,9,1
LeNet_LSTM_MeanMax,43,8,10,0
LeNet_LSTM_MeanMax,43,8,11,0
LeNet_LSTM_MeanMax,43,9,0,1
LeNet_LSTM_MeanMax,43,9,1,0
LeNet_LSTM_MeanMax,43,9,2,0
LeNet_LSTM_MeanMax,43,9,3,0
LeNet_LSTM_MeanMax,43,9,4,1
LeNet_LSTM_MeanMax,43,9,5,0
LeNet_LSTM_MeanMax,43,9,6,0
LeNet_LSTM_MeanMax,43,9,7,0
LeNet_LSTM_MeanMax,43,9,8,4
LeNet_LSTM_MeanMax,43,9,9,313
LeNet_LSTM_MeanMax,43,9,10,1
LeNet_LSTM_MeanMax,43,9,11,0
LeNet_LSTM_MeanMax,43,10,0,0
LeNet_LSTM_MeanMax,43,10,1,0
LeNet_LSTM_MeanMax,43,10,2,0
LeNet_LSTM_MeanMax,43,10,3,0
LeNet_LSTM_MeanMax,43,10,4,0
LeNet_LSTM_MeanMax,43,10,5,0
LeNet_LSTM_MeanMax,43,10,6,0
LeNet_LSTM_MeanMax,43,10,7,5
LeNet_LSTM_MeanMax,43,10,8,0
LeNet_LSTM_MeanMax,43,10,9,0
LeNet_LSTM_MeanMax,43,10,10,315
LeNet_LSTM_MeanMax,43,10,11,0
LeNet_LSTM_MeanMax,43,11,0,0
LeNet_LSTM_MeanMax,43,11,1,1
LeNet_LSTM_MeanMax,43,11,2,0
LeNet_LSTM_MeanMax,43,11,3,4
LeNet_LSTM_MeanMax,43,11,4,2
LeNet_LSTM_MeanMax,43,11,5,0
LeNet_LSTM_MeanMax,43,11,6,23
LeNet_LSTM_MeanMax,43,11,7,0
LeNet_LSTM_MeanMax,43,11,8,1
LeNet_LSTM_MeanMax,43,11,9,2
LeNet_LSTM_MeanMax,43,11,10,0
LeNet_LSTM_MeanMax,43,11,11,287
