model,display_name,seed,training_time_min,test_accuracy_pct
LeNet,LeNet-style CNN,42,16.854967719564833,84.66145833333333
ResNet18,ResNet18,42,23.53507484691217,90.02604166666667
MobileNet_V2,MobileNet_V2,42,31.631578681400665,89.296875
EfficientNet_B0,EfficientNet_B0,42,26.65947377172609,90.13020833333331
LSTM,LSTM baseline,42,15.422637332665424,86.015625
GRU,GRU baseline,42,15.325241132515174,84.375
CNN_LSTM,CNN-LSTM baseline,42,29.663432161603122,89.81770833333333
LeNet_LSTM,LeNet-LSTM baseline,42,15.92314213126277,89.89583333333333
TCN,TCN baseline,42,20.539800055262944,83.15104166666667
Transformer,Transformer baseline,42,21.050963357525568,72.52604166666666
LeNet,LeNet-style CNN,43,11.09231031887854,87.1875
ResNet18,ResNet18,43,16.982306328446914,90.28645833333331
MobileNet_V2,MobileNet_V2,43,25.567213183393083,91.640625
EfficientNet_B0,EfficientNet_B0,43,19.866436011809853,90.9375
LSTM,LSTM baseline,43,9.568937535273532,84.58333333333333
GRU,GRU baseline,43,9.587187219566355,84.19270833333333
CNN_LSTM,CNN-LSTM baseline,43,23.7927265588815,91.640625
LeNet_LSTM,LeNet-LSTM baseline,43,10.339764375146478,90.96354166666669
TCN,TCN baseline,43,16.425578606252866,85.26041666666667
Transformer,Transformer baseline,43,16.330045619700105,72.68229166666667
LeNet,LeNet-style CNN,44,12.178838270219664,83.75
ResNet18,ResNet18,44,18.865241113180915,93.07291666666669
MobileNet_V2,MobileNet_V2,44,26.8198929895026,92.36979166666669
EfficientNet_B0,EfficientNet_B0,44,21.499272812499353,92.578125
LSTM,LSTM baseline,44,11.50514926093941,83.4375
GRU,GRU baseline,44,9.667748272791505,84.34895833333333
CNN_LSTM,CNN-LSTM baseline,44,23.10298453348999,89.6875
LeNet_LSTM,LeNet-LSTM baseline,44,10.362259106586377,90.41666666666669
TCN,TCN baseline,44,14.733610173159589,83.93229166666667
Transformer,Transformer baseline,44,14.491815931536257,71.27604166666667
LeNet,LeNet-style CNN,45,11.334960584435612,83.41145833333333
ResNet18,ResNet18,45,17.4064255200016,90.72916666666669
MobileNet_V2,MobileNet_V2,45,25.564028834955145,89.66145833333333
EfficientNet_B0,EfficientNet_B0,45,19.95772538073361,90.26041666666667
LSTM,LSTM baseline,45,9.80006999342392,84.375
GRU,GRU baseline,45,9.683763786250104,86.53645833333333
CNN_LSTM,CNN-LSTM baseline,45,23.080323453775296,88.88020833333333
LeNet_LSTM,LeNet-LSTM baseline,45,10.40179301885267,89.71354166666666
TCN,TCN baseline,45,14.377772375258306,84.58333333333333
Transformer,Transformer baseline,45,14.498260389423619,74.71354166666667
LeNet,LeNet-style CNN,46,11.24143056726704,84.89583333333334
ResNet18,ResNet18,46,16.85896039474755,91.14583333333334
MobileNet_V2,MobileNet_V2,46,25.57438761315619,91.22395833333331
EfficientNet_B0,EfficientNet_B0,46,20.310403447877615,91.328125
LSTM,LSTM baseline,46,9.841076812241226,82.68229166666666
GRU,GRU baseline,46,9.800158444854121,83.48958333333333
CNN_LSTM,CNN-LSTM baseline,46,23.396512291735657,88.046875
LeNet_LSTM,LeNet-LSTM baseline,46,10.41534856709962,89.89583333333333
TCN,TCN baseline,46,14.78662275277699,84.03645833333333
Transformer,Transformer baseline,46,14.619975232891738,69.453125
LeNet,LeNet-style CNN,47,11.445339339474836,85.65104166666667
ResNet18,ResNet18,47,17.425019448654105,95.078125
MobileNet_V2,MobileNet_V2,47,24.921841464967777,94.01041666666666
EfficientNet_B0,EfficientNet_B0,47,21.936326282533507,94.42708333333331
LSTM,LSTM baseline,47,10.097535207029432,86.171875
GRU,GRU baseline,47,9.904628551596154,85.72916666666667
CNN_LSTM,CNN-LSTM baseline,47,23.271112548621993,91.25
LeNet_LSTM,LeNet-LSTM baseline,47,10.49137179699416,90.75520833333334
TCN,TCN baseline,47,14.742657015348474,83.90625
Transformer,Transformer baseline,47,14.4710630186523,75.83333333333333
LeNet,LeNet-style CNN,48,11.546964088579019,85.9375
ResNet18,ResNet18,48,17.03562891104569,90.91145833333331
MobileNet_V2,MobileNet_V2,48,24.947923273034394,91.74479166666669
EfficientNet_B0,EfficientNet_B0,48,20.18138914993033,91.640625
LSTM,LSTM baseline,48,9.75071699861437,79.32291666666667
GRU,GRU baseline,48,9.771398706454784,79.609375
CNN_LSTM,CNN-LSTM baseline,48,23.165488349522153,86.640625
LeNet_LSTM,LeNet-LSTM baseline,48,10.399706765078008,87.65625
TCN,TCN baseline,48,14.602229504814993,79.32291666666667
Transformer,Transformer baseline,48,14.283444961253554,67.52604166666667
LeNet,LeNet-style CNN,49,11.2524723270908,89.32291666666666
ResNet18,ResNet18,49,17.129361858436216,93.77604166666667
MobileNet_V2,MobileNet_V2,49,24.481393292856712,93.07291666666669
EfficientNet_B0,EfficientNet_B0,49,19.882252149873725,93.15104166666669
LSTM,LSTM baseline,49,9.750547420978545,82.734375
GRU,GRU baseline,49,9.623624866362661,84.24479166666666
CNN_LSTM,CNN-LSTM baseline,49,23.55372484968975,89.34895833333333
LeNet_LSTM,LeNet-LSTM baseline,49,10.464737658575178,89.375
TCN,TCN baseline,49,14.660866182049116,83.046875
Transformer,Transformer baseline,49,14.41608219894891,70.078125
LeNet,LeNet-style CNN,50,11.406426313519479,87.31770833333333
ResNet18,ResNet18,50,17.353129640749344,91.875
MobileNet_V2,MobileNet_V2,50,25.31895103721569,91.19791666666669
EfficientNet_B0,EfficientNet_B0,50,20.1258746925431,91.66666666666666
LSTM,LSTM baseline,50,9.890519490279257,83.515625
GRU,GRU baseline,50,9.656846092641354,85.078125
CNN_LSTM,CNN-LSTM baseline,50,23.166354496094087,89.609375
LeNet_LSTM,LeNet-LSTM baseline,50,10.453983480886867,89.89583333333333
TCN,TCN baseline,50,14.51913799572115,81.14583333333333
Transformer,Transformer baseline,50,14.44826206387952,70.49479166666667
LeNet,LeNet-style CNN,51,11.320948631626864,90.05208333333333
ResNet18,ResNet18,51,17.319844699775178,94.0625
MobileNet_V2,MobileNet_V2,51,26.713618176958214,91.58854166666669
EfficientNet_B0,EfficientNet_B0,51,19.928371318771195,93.07291666666669
LSTM,LSTM baseline,51,9.717823365951578,84.08854166666667
GRU,GRU baseline,51,9.800908355104427,84.21875
CNN_LSTM,CNN-LSTM baseline,51,27.153153546340764,91.875
LeNet_LSTM,LeNet-LSTM baseline,51,10.352861289090166,90.9375
TCN,TCN baseline,51,15.764360735875867,84.08854166666667
Transformer,Transformer baseline,51,15.198782296447707,74.03645833333333
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,42,27.859859127551317,92.65625
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,43,27.900033248650534,93.22916666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,44,27.90430295281112,92.44791666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,45,28.410306064815575,92.91666666666669
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,46,27.991263873688876,93.22916666666666
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,47,28.469325945805757,95.98958333333331
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,48,28.35431660041213,92.00520833333331
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,49,28.432078945854062,92.734375
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,50,28.18610529269402,94.6875
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,51,28.15723344857494,95.05208333333334
