model,display_name,seed,inference_ms,test_accuracy_pct
LeNet,LeNet-style CNN,42,0.014006724813953,84.66145833333333
ResNet18,ResNet18,42,0.1582489814609289,90.02604166666667
MobileNet_V2,MobileNet_V2,42,0.6426766864024103,89.296875
EfficientNet_B0,EfficientNet_B0,42,0.2805494121275842,90.13020833333331
LSTM,LSTM baseline,42,0.0278399820672348,86.015625
GRU,GRU baseline,42,0.0119117874419316,84.375
CNN_LSTM,CNN-LSTM baseline,42,0.5695784115232527,89.81770833333333
LeNet_LSTM,LeNet-LSTM baseline,42,0.1793815739802085,89.89583333333333
TCN,TCN baseline,42,0.1070077007170766,83.15104166666667
Transformer,Transformer baseline,42,0.0593204458709806,72.52604166666666
LeNet,LeNet-style CNN,43,0.0134864589199423,87.1875
ResNet18,ResNet18,43,0.1800142403226345,90.28645833333331
MobileNet_V2,MobileNet_V2,43,0.3604613651987165,91.640625
EfficientNet_B0,EfficientNet_B0,43,0.3285636426880955,90.9375
LSTM,LSTM baseline,43,0.0347793451510369,84.58333333333333
GRU,GRU baseline,43,0.0118835683679208,84.19270833333333
CNN_LSTM,CNN-LSTM baseline,43,0.55871490330901,91.640625
LeNet_LSTM,LeNet-LSTM baseline,43,0.1728540431940928,90.96354166666669
TCN,TCN baseline,43,0.0925578293390572,85.26041666666667
Transformer,Transformer baseline,43,0.0482088245917111,72.68229166666667
LeNet,LeNet-style CNN,44,0.013756362022832,83.75
ResNet18,ResNet18,44,0.2451608073897659,93.07291666666669
MobileNet_V2,MobileNet_V2,44,0.3423684218432754,92.36979166666669
EfficientNet_B0,EfficientNet_B0,44,0.2792239043628797,92.578125
LSTM,LSTM baseline,44,0.0189938116818666,83.4375
GRU,GRU baseline,44,0.0167650257935747,84.34895833333333
CNN_LSTM,CNN-LSTM baseline,44,0.5858021031599492,89.6875
LeNet_LSTM,LeNet-LSTM baseline,44,0.1746610185364261,90.41666666666669
TCN,TCN baseline,44,0.1518548873718828,83.93229166666667
Transformer,Transformer baseline,44,0.0566821254324168,71.27604166666667
LeNet,LeNet-style CNN,45,0.0134513480588793,83.41145833333333
ResNet18,ResNet18,45,0.2062937885057181,90.72916666666669
MobileNet_V2,MobileNet_V2,45,0.3621320065576583,89.66145833333333
EfficientNet_B0,EfficientNet_B0,45,0.230511647532694,90.26041666666667
LSTM,LSTM baseline,45,0.0398057105485349,84.375
GRU,GRU baseline,45,0.0191335828276351,86.53645833333333
CNN_LSTM,CNN-LSTM baseline,45,0.5632117565255612,88.88020833333333
LeNet_LSTM,LeNet-LSTM baseline,45,0.1663706454564817,89.71354166666666
TCN,TCN baseline,45,0.0959094031713903,84.58333333333333
Transformer,Transformer baseline,45,0.0391744950320571,74.71354166666667
LeNet,LeNet-style CNN,46,0.013706344179809,84.89583333333334
ResNet18,ResNet18,46,0.2977546770125627,91.14583333333334
MobileNet_V2,MobileNet_V2,46,0.377186801051721,91.22395833333331
EfficientNet_B0,EfficientNet_B0,46,0.2514218998840078,91.328125
LSTM,LSTM baseline,46,0.0191089638974517,82.68229166666666
GRU,GRU baseline,46,0.0181832030648365,83.48958333333333
CNN_LSTM,CNN-LSTM baseline,46,0.5586997198406607,88.046875
LeNet_LSTM,LeNet-LSTM baseline,46,0.1693934493232518,89.89583333333333
TCN,TCN baseline,46,0.1374326471704989,84.03645833333333
Transformer,Transformer baseline,46,0.0462368829175829,69.453125
LeNet,LeNet-style CNN,47,0.013772101374343,85.65104166666667
ResNet18,ResNet18,47,0.1896462927106768,95.078125
MobileNet_V2,MobileNet_V2,47,0.3763379761949181,94.01041666666666
EfficientNet_B0,EfficientNet_B0,47,0.3126177965896204,94.42708333333331
LSTM,LSTM baseline,47,0.0332677620463073,86.171875
GRU,GRU baseline,47,0.0124922429677098,85.72916666666667
CNN_LSTM,CNN-LSTM baseline,47,0.5666616460075602,91.25
LeNet_LSTM,LeNet-LSTM baseline,47,0.1743749948218464,90.75520833333334
TCN,TCN baseline,47,0.0966309511568397,83.90625
Transformer,Transformer baseline,47,0.0485568190924823,75.83333333333333
LeNet,LeNet-style CNN,48,0.0134115573018789,85.9375
ResNet18,ResNet18,48,0.1858716597780585,90.91145833333331
MobileNet_V2,MobileNet_V2,48,0.5382117757108063,91.74479166666669
EfficientNet_B0,EfficientNet_B0,48,0.2904829918406904,91.640625
LSTM,LSTM baseline,48,0.019266121671535,79.32291666666667
GRU,GRU baseline,48,0.0118907744763419,79.609375
CNN_LSTM,CNN-LSTM baseline,48,0.5793532938696444,86.640625
LeNet_LSTM,LeNet-LSTM baseline,48,0.1715457590762525,87.65625
