model,display_name,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_training_min,mean_inference_ms,mean_params_m,rank_macro_f1,rank_accuracy,mean_accuracy_pct,mean_macro_f1_pct
LeNet_LSTM_MotionInput,LeNet_LSTM_MotionInput + LS0.05 + WD3e-4,0.9349479166666667,0.012971434070751417,0.9343053988452235,0.013558973346904524,28.166482550085835,0.46820729738101363,0.8039479999999999,1,1,93.49479166666667,93.43053988452235
ResNet18,ResNet18,0.9209635416666666,0.017738625540953762,0.9203351887073167,0.018151563329629097,17.991099276194966,0.2507189899915829,11.42414,2,2,92.09635416666666,92.03351887073167
EfficientNet_B0,EfficientNet_B0,0.9191927083333333,0.013735069448833329,0.9184894137280875,0.014343578953319783,21.034752501829836,0.2998954817303456,4.045096,3,3,91.91927083333333,91.84894137280875
MobileNet_V2,MobileNet_V2,0.9158072916666666,0.0141250804464141,0.9149506366839206,0.014706352570524064,26.154082854744047,0.4261607793159783,2.26142,4,4,91.58072916666666,91.49506366839206
LeNet_LSTM,LeNet-LSTM baseline,0.8995052083333335,0.009732641056704914,0.8995333881043484,0.009596130837867882,10.960496818957228,0.17581690161023283,0.331708,5,5,89.95052083333334,89.95333881043483
CNN_LSTM,CNN-LSTM baseline,0.896796875,0.016263502114019935,0.8961995888790579,0.01682008980083069,24.33458127897543,0.5674813006771728,11.500492,6,6,89.6796875,89.6199588879058
LeNet,LeNet-style CNN,0.8621874999999999,0.022367822707401664,0.861170977141799,0.0228954676544954,11.967465816065669,0.01365671691019083,0.073726,7,7,86.21874999999999,86.1170977141799
GRU,GRU baseline,0.8418229166666666,0.018317905703635545,0.8414275874719472,0.018796402384290783,10.282150542813664,0.01976544968783851,0.513292,8,8,84.18229166666666,84.14275874719472
LSTM,LSTM baseline,0.8369270833333333,0.019461797811971895,0.8366548254624726,0.019781964620829866,10.53450134173967,0.026913201727438663,0.595724,9,9,83.69270833333333,83.66548254624726
TCN,TCN baseline,0.8324739583333333,0.017618769454342213,0.8325455311919636,0.01802761017088516,15.515263539652029,0.1059654349228367,2.083724,10,10,83.24739583333333,83.25455311919636
Transformer,Transformer baseline,0.7186197916666667,0.025764511845755515,0.7157454619089847,0.02683612926270471,15.38086950702593,0.04665171785745764,0.259052,11,11,71.86197916666667,71.57454619089847
