model,display_name,seed,training_time_min,test_macro_f1_pct
LeNet,LeNet-style CNN,42,16.854967719564833,84.38754520433109
ResNet18,ResNet18,42,23.53507484691217,89.78534483119556
MobileNet_V2,MobileNet_V2,42,31.631578681400665,88.96481495139733
EfficientNet_B0,EfficientNet_B0,42,26.65947377172609,89.8152630312966
LSTM,LSTM baseline,42,15.422637332665424,85.92553053717359
GRU,GRU baseline,42,15.325241132515174,84.27148034042018
CNN_LSTM,CNN-LSTM baseline,42,29.663432161603122,89.7008074156795
LeNet_LSTM,LeNet-LSTM baseline,42,15.92314213126277,89.82716566960724
TCN,TCN baseline,42,20.539800055262944,83.15761642682456
Transformer,Transformer baseline,42,21.050963357525568,71.83564205879625
LeNet,LeNet-style CNN,43,11.09231031887854,87.08893885617056
ResNet18,ResNet18,43,16.982306328446914,90.21678386815192
MobileNet_V2,MobileNet_V2,43,25.567213183393083,91.65119600971794
EfficientNet_B0,EfficientNet_B0,43,19.866436011809853,90.88232390908192
LSTM,LSTM baseline,43,9.568937535273532,84.62681420682486
GRU,GRU baseline,43,9.587187219566355,84.17763641235645
CNN_LSTM,CNN-LSTM baseline,43,23.7927265588815,91.60903297638863
LeNet_LSTM,LeNet-LSTM baseline,43,10.339764375146478,90.93569887720327
TCN,TCN baseline,43,16.425578606252866,85.16048316391573
Transformer,Transformer baseline,43,16.330045619700105,72.30770858301364
LeNet,LeNet-style CNN,44,12.178838270219664,83.57194541745473
ResNet18,ResNet18,44,18.865241113180915,93.0046913611429
MobileNet_V2,MobileNet_V2,44,26.8198929895026,92.30946630032815
EfficientNet_B0,EfficientNet_B0,44,21.499272812499353,92.5709137056852
LSTM,LSTM baseline,44,11.50514926093941,83.44269982835432
GRU,GRU baseline,44,9.667748272791505,84.23491665890816
CNN_LSTM,CNN-LSTM baseline,44,23.10298453348999,89.71346247762506
LeNet_LSTM,LeNet-LSTM baseline,44,10.362259106586377,90.47657306121503
TCN,TCN baseline,44,14.733610173159589,83.9535540743498
Transformer,Transformer baseline,44,14.491815931536257,70.65450507457571
LeNet,LeNet-style CNN,45,11.334960584435612,83.29702632864584
ResNet18,ResNet18,45,17.4064255200016,90.78148242696642
MobileNet_V2,MobileNet_V2,45,25.564028834955145,89.6647431245003
EfficientNet_B0,EfficientNet_B0,45,19.95772538073361,90.21658319896004
LSTM,LSTM baseline,45,9.80006999342392,84.2613906673905
GRU,GRU baseline,45,9.683763786250104,86.52105091751744
CNN_LSTM,CNN-LSTM baseline,45,23.080323453775296,88.87537423499
LeNet_LSTM,LeNet-LSTM baseline,45,10.40179301885267,89.78304265657503
TCN,TCN baseline,45,14.377772375258306,84.61094566188598
Transformer,Transformer baseline,45,14.498260389423619,74.62090818442303
LeNet,LeNet-style CNN,46,11.24143056726704,84.74749777650015
ResNet18,ResNet18,46,16.85896039474755,91.18958362224336
MobileNet_V2,MobileNet_V2,46,25.57438761315619,91.19244845355881
EfficientNet_B0,EfficientNet_B0,46,20.310403447877615,91.30199821428488
LSTM,LSTM baseline,46,9.841076812241226,82.70206429372182
GRU,GRU baseline,46,9.800158444854121,83.41190055565487
CNN_LSTM,CNN-LSTM baseline,46,23.396512291735657,87.9072883220386
LeNet_LSTM,LeNet-LSTM baseline,46,10.41534856709962,89.88833256542407
TCN,TCN baseline,46,14.78662275277699,84.01117605311282
Transformer,Transformer baseline,46,14.619975232891738,68.88603184315433
LeNet,LeNet-style CNN,47,11.445339339474836,85.63190119589768
ResNet18,ResNet18,47,17.425019448654105,95.08302296544008
MobileNet_V2,MobileNet_V2,47,24.921841464967777,94.02142118080502
EfficientNet_B0,EfficientNet_B0,47,21.936326282533507,94.42709073991388
LSTM,LSTM baseline,47,10.097535207029432,86.15318325458325
GRU,GRU baseline,47,9.904628551596154,85.67921749030218
CNN_LSTM,CNN-LSTM baseline,47,23.271112548621993,91.18650413771616
LeNet_LSTM,LeNet-LSTM baseline,47,10.49137179699416,90.7838763109162
TCN,TCN baseline,47,14.742657015348474,83.96089910348633
Transformer,Transformer baseline,47,14.4710630186523,75.95947402415528
LeNet,LeNet-style CNN,48,11.546964088579019,85.85807878087692
ResNet18,ResNet18,48,17.03562891104569,90.69691414686432
MobileNet_V2,MobileNet_V2,48,24.947923273034394,91.61021311671553
EfficientNet_B0,EfficientNet_B0,48,20.18138914993033,91.5070674986175
LSTM,LSTM baseline,48,9.75071699861437,79.12038129157425
GRU,GRU baseline,48,9.771398706454784,79.43347032654535
CNN_LSTM,CNN-LSTM baseline,48,23.165488349522153,86.42699306496523
LeNet_LSTM,LeNet-LSTM baseline,48,10.399706765078008,87.67105027448034
TCN,TCN baseline,48,14.602229504814993,79.10270670615319
Transformer,Transformer baseline,48,14.283444961253554,67.29611321108844
LeNet,LeNet-style CNN,49,11.2524723270908,89.3152645665417
ResNet18,ResNet18,49,17.129361858436216,93.74365853455924
MobileNet_V2,MobileNet_V2,49,24.481393292856712,93.04258511560369
EfficientNet_B0,EfficientNet_B0,49,19.882252149873725,93.13440332628757
LSTM,LSTM baseline,49,9.750547420978545,82.75703117666953
GRU,GRU baseline,49,9.623624866362661,84.30099684990311
CNN_LSTM,CNN-LSTM baseline,49,23.55372484968975,89.19874123687262
LeNet_LSTM,LeNet-LSTM baseline,49,10.464737658575178,89.40450533180825
TCN,TCN baseline,49,14.660866182049116,83.27495927327871
Transformer,Transformer baseline,49,14.41608219894891,70.00378615759601
LeNet,LeNet-style CNN,50,11.406426313519479,87.27412197847592
ResNet18,ResNet18,50,17.353129640749344,91.79788141560525
MobileNet_V2,MobileNet_V2,50,25.31895103721569,91.14758818263762
EfficientNet_B0,EfficientNet_B0,50,20.1258746925431,91.57285036165477
LSTM,LSTM baseline,50,9.890519490279257,83.58132546219795
GRU,GRU baseline,50,9.656846092641354,85.14565749565035
CNN_LSTM,CNN-LSTM baseline,50,23.166354496094087,89.68722241450976
