model,seed,true_label,pred_label,count
LeNet_LSTM_MotionInput,50,0,0,308
LeNet_LSTM_MotionInput,50,0,1,0
LeNet_LSTM_MotionInput,50,0,2,2
LeNet_LSTM_MotionInput,50,0,3,0
LeNet_LSTM_MotionInput,50,0,4,0
LeNet_LSTM_MotionInput,50,0,5,7
LeNet_LSTM_MotionInput,50,0,6,3
LeNet_LSTM_MotionInput,50,0,7,0
LeNet_LSTM_MotionInput,50,0,8,0
LeNet_LSTM_MotionInput,50,0,9,0
LeNet_LSTM_MotionInput,50,0,10,0
LeNet_LSTM_MotionInput,50,0,11,0
LeNet_LSTM_MotionInput,50,1,0,1
LeNet_LSTM_MotionInput,50,1,1,314
LeNet_LSTM_MotionInput,50,1,2,0
LeNet_LSTM_MotionInput,50,1,3,0
LeNet_LSTM_MotionInput,50,1,4,1
LeNet_LSTM_MotionInput,50,1,5,1
LeNet_LSTM_MotionInput,50,1,6,1
LeNet_LSTM_MotionInput,50,1,7,0
LeNet_LSTM_MotionInput,50,1,8,0
LeNet_LSTM_MotionInput,50,1,9,0
LeNet_LSTM_MotionInput,50,1,10,0
LeNet_LSTM_MotionInput,50,1,11,2
LeNet_LSTM_MotionInput,50,2,0,0
LeNet_LSTM_MotionInput,50,2,1,0
LeNet_LSTM_MotionInput,50,2,2,319
LeNet_LSTM_MotionInput,50,2,3,0
LeNet_LSTM_MotionInput,50,2,4,0
LeNet_LSTM_MotionInput,50,2,5,1
LeNet_LSTM_MotionInput,50,2,6,0
LeNet_LSTM_MotionInput,50,2,7,0
LeNet_LSTM_MotionInput,50,2,8,0
LeNet_LSTM_MotionInput,50,2,9,0
LeNet_LSTM_MotionInput,50,2,10,0
LeNet_LSTM_MotionInput,50,2,11,0
LeNet_LSTM_MotionInput,50,3,0,0
LeNet_LSTM_MotionInput,50,3,1,0
LeNet_LSTM_MotionInput,50,3,2,0
LeNet_LSTM_MotionInput,50,3,3,254
LeNet_LSTM_MotionInput,50,3,4,1
LeNet_LSTM_MotionInput,50,3,5,0
LeNet_LSTM_MotionInput,50,3,6,64
LeNet_LSTM_MotionInput,50,3,7,0
LeNet_LSTM_MotionInput,50,3,8,0
LeNet_LSTM_MotionInput,50,3,9,0
LeNet_LSTM_MotionInput,50,3,10,0
LeNet_LSTM_MotionInput,50,3,11,1
LeNet_LSTM_MotionInput,50,4,0,4
LeNet_LSTM_MotionInput,50,4,1,17
LeNet_LSTM_MotionInput,50,4,2,0
LeNet_LSTM_MotionInput,50,4,3,0
LeNet_LSTM_MotionInput,50,4,4,295
LeNet_LSTM_MotionInput,50,4,5,0
LeNet_LSTM_MotionInput,50,4,6,4
LeNet_LSTM_MotionInput,50,4,7,0
LeNet_LSTM_MotionInput,50,4,8,0
LeNet_LSTM_MotionInput,50,4,9,0
LeNet_LSTM_MotionInput,50,4,10,0
LeNet_LSTM_MotionInput,50,4,11,0
LeNet_LSTM_MotionInput,50,5,0,1
LeNet_LSTM_MotionInput,50,5,1,0
LeNet_LSTM_MotionInput,50,5,2,4
LeNet_LSTM_MotionInput,50,5,3,0
LeNet_LSTM_MotionInput,50,5,4,0
LeNet_LSTM_MotionInput,50,5,5,315
LeNet_LSTM_MotionInput,50,5,6,0
LeNet_LSTM_MotionInput,50,5,7,0
LeNet_LSTM_MotionInput,50,5,8,0
LeNet_LSTM_MotionInput,50,5,9,0
LeNet_LSTM_MotionInput,50,5,10,0
LeNet_LSTM_MotionInput,50,5,11,0
LeNet_LSTM_MotionInput,50,6,0,0
LeNet_LSTM_MotionInput,50,6,1,0
LeNet_LSTM_MotionInput,50,6,2,0
LeNet_LSTM_MotionInput,50,6,3,67
LeNet_LSTM_MotionInput,50,6,4,0
LeNet_LSTM_MotionInput,50,6,5,0
LeNet_LSTM_MotionInput,50,6,6,253
LeNet_LSTM_MotionInput,50,6,7,0
LeNet_LSTM_MotionInput,50,6,8,0
LeNet_LSTM_MotionInput,50,6,9,0
LeNet_LSTM_MotionInput,50,6,10,0
LeNet_LSTM_MotionInput,50,6,11,0
LeNet_LSTM_MotionInput,50,7,0,0
LeNet_LSTM_MotionInput,50,7,1,0
LeNet_LSTM_MotionInput,50,7,2,0
LeNet_LSTM_MotionInput,50,7,3,0
LeNet_LSTM_MotionInput,50,7,4,0
LeNet_LSTM_MotionInput,50,7,5,0
LeNet_LSTM_MotionInput,50,7,6,0
LeNet_LSTM_MotionInput,50,7,7,319
LeNet_LSTM_MotionInput,50,7,8,0
LeNet_LSTM_MotionInput,50,7,9,0
