class_id,class_name,original_mean_f1,original_std_f1,improved_mean_f1,improved_std_f1,delta_mean_f1
0,class_0,0.9459215728984205,0.019686078095107477,0.9659965892335928,0.017149317123871907,0.02007501633517228
1,class_1,0.9668062324908553,0.024492364383121856,0.97147577798759,0.02360054647217381,0.004669545496734706
2,class_2,0.9205062650838837,0.0320308592171229,0.955829423552897,0.03265300728157005,0.03532315846901335
3,class_3,0.7052035869923075,0.04327381699615578,0.7678442270693164,0.03946265436720544,0.06264064007700898
4,class_4,0.9384960813760099,0.02714961008299728,0.9632184704483808,0.027700670058207796,0.0247223890723709
5,class_5,0.980427761195077,0.015099234342010623,0.982157686516605,0.010852385475586169,0.0017299253215279364
6,class_6,0.6991994547944732,0.04548610845537094,0.7415004034923351,0.06811947395821016,0.04230094869786194
7,class_7,0.9266667561319842,0.04040863851343536,0.9423433078867722,0.03755887591520771,0.015676551754787993
8,class_8,0.8837050474833413,0.022440457894984566,0.9838241967792213,0.0063747656543471296,0.10011914929587995
9,class_9,0.9498456141558778,0.02720065908267926,0.981814152495845,0.01145603601645574,0.03196853833996727
10,class_10,0.9803070746697407,0.012326144922480967,0.9906335175472891,0.007297584605134896,0.01032644287754847
11,class_11,0.8973152099802094,0.03481886381188926,0.9650270331328368,0.017180154396336744,0.06771182315262736
