seed,original_test_accuracy,improved_test_accuracy,delta_test_accuracy,original_test_macro_f1,improved_test_macro_f1,delta_test_macro_f1,original_class_3_f1,improved_class_3_f1,delta_class_3_f1,original_class_6_f1,improved_class_6_f1,delta_class_6_f1,original_class_3_to_6_errors,improved_class_3_to_6_errors,delta_class_3_to_6_errors,original_class_6_to_3_errors,improved_class_6_to_3_errors,delta_class_6_to_3_errors,original_inference_ms,improved_inference_ms,original_params_m,improved_params_m
42,0.8989583333333333,0.9265625,0.027604166666666652,0.8982716566960723,0.9235585750435216,0.025286918347449228,0.73657289002509,0.7645569620248325,0.02798407199974251,0.655913978494132,0.6153846153841565,-0.04052936310997557,32,18,-14,135,166,31,0.1793815739802085,0.4590306780301034,0.331708,0.803948
43,0.9096354166666668,0.9322916666666666,0.022656249999999822,0.9093569887720326,0.9318793788906506,0.022522390118618008,0.7431693989066096,0.7519260400611308,0.008756641154521239,0.6678321678316725,0.7499999999994978,0.0821678321678253,34,58,24,126,84,-42,0.1728540431940928,0.4585582762956619,0.331708,0.803948
44,0.9041666666666668,0.9244791666666666,0.020312499999999845,0.9047657306121504,0.9219544405216658,0.017188709909515376,0.7422402159239335,0.7834224598925562,0.04118224396862269,0.6960950764001804,0.6575342465748717,-0.03856082982530873,43,23,-20,108,131,23,0.1746610185364261,0.4695742391049862,0.331708,0.803948
45,0.8971354166666666,0.9291666666666668,0.03203125000000018,0.8978304265657503,0.9291446880968542,0.03131426153110395,0.7338129496397886,0.7724550898198578,0.03864214018006917,0.6899841017483054,0.7483870967736915,0.05840299502538615,55,59,4,85,86,1,0.1663706454564817,0.4756688605993986,0.331708,0.803948
46,0.8989583333333333,0.9322916666666666,0.033333333333333326,0.8988833256542407,0.9320429662820026,0.03315964062776189,0.6563573883156538,0.7385620915027664,0.0822047031871126,0.7072135785002097,0.7804154302665613,0.07320185176635163,111,81,-30,65,56,-9,0.1693934493232518,0.466593389865011,0.331708,0.803948
47,0.9075520833333334,0.9598958333333332,0.0523437499999998,0.907838763109162,0.959884510847646,0.05204574773848403,0.7470238095233083,0.8404423380721672,0.0934185285488589,0.7744945567646607,0.8310077519374818,0.05651319517282105,67,53,-14,68,46,-22,0.1743749948218464,0.4579321946948766,0.331708,0.803948
48,0.8765625,0.9200520833333332,0.04348958333333319,0.8767105027448033,0.9196032663527012,0.042892763607897844,0.698835274541929,0.7395833333328369,0.040748058790907926,0.684507042253024,0.7535816618906187,0.06907461963759476,96,102,6,61,41,-20,0.1715457590762525,0.5014428053982556,0.331708,0.803948
49,0.89375,0.92734375,0.03359374999999998,0.8940450533180825,0.9273082417856096,0.03326318846752707,0.6199376947035478,0.6968749999994978,0.07693730529595,0.6276923076918057,0.6874999999994977,0.059807692307692006,114,97,-17,108,95,-13,0.1900851813843473,0.4607441718690097,0.331708,0.803948
50,0.8989583333333333,0.946875,0.04791666666666672,0.8991619799385813,0.9469572555438592,0.047795275605277965,0.6788990825683053,0.7925117004675161,0.11361261789921073,0.7272727272722255,0.7844961240305052,0.0572233967582797,90,64,-26,75,67,-8,0.182419890188612,0.4681327030993998,0.331708,0.803948
51,0.909375,0.9505208333333334,0.041145833333333326,0.9084694536326088,0.9507206650877248,0.04225121145511601,0.6951871657749085,0.7981072555200021,0.10292008974509359,0.7609890109885161,0.8066971080664689,0.04570809707795276,114,63,-51,36,54,18,0.1770824601408094,0.4643956548534333,0.331708,0.803948
