class_id,class_name,original_mean_f1,original_std_f1,improved_mean_f1,improved_std_f1,delta_mean_f1
0,class_0,0.9459215728984205,0.019686078095107477,0.9507398050053327,0.01993840277145635,0.004818232106912235
1,class_1,0.9668062324908553,0.024492364383121856,0.9626172873056413,0.02672746475641024,-0.004188945185213955
2,class_2,0.9205062650838837,0.0320308592171229,0.9425171207293147,0.030024232079038364,0.022010855645431038
3,class_3,0.7052035869923075,0.04327381699615578,0.7241554457812257,0.036753422033795065,0.018951858788918252
4,class_4,0.9384960813760099,0.02714961008299728,0.9441941517054373,0.03000579361356166,0.005698070329427374
5,class_5,0.980427761195077,0.015099234342010623,0.9794800945799365,0.013907792185513544,-0.0009476666151405633
6,class_6,0.6991994547944732,0.04548610845537094,0.6979915523348739,0.07684183160449684,-0.0012079024595993415
7,class_7,0.9266667561319842,0.04040863851343536,0.9330166184825117,0.03748130579483502,0.00634986235052748
8,class_8,0.8837050474833413,0.022440457894984566,0.9424591990093679,0.017055486203886954,0.05875415152602659
9,class_9,0.9498456141558778,0.02720065908267926,0.959325631067548,0.016533532408794814,0.00948001691167022
10,class_10,0.9803070746697407,0.012326144922480967,0.9921913383414284,0.002652289519417978,0.011884263671687711
11,class_11,0.8973152099802094,0.03481886381188926,0.9334889963196848,0.03982898666399156,0.03617378633947543
