seed,original_test_accuracy,improved_test_accuracy,delta_test_accuracy,original_test_macro_f1,improved_test_macro_f1,delta_test_macro_f1,original_class_3_f1,improved_class_3_f1,delta_class_3_f1,original_class_6_f1,improved_class_6_f1,delta_class_6_f1,original_class_3_to_6_errors,improved_class_3_to_6_errors,delta_class_3_to_6_errors,original_class_6_to_3_errors,improved_class_6_to_3_errors,delta_class_6_to_3_errors,original_inference_ms,improved_inference_ms,original_params_m,improved_params_m
42,0.8989583333333333,0.8963541666666667,-0.0026041666666666297,0.8982716566960723,0.8924378882237365,-0.005833768472335854,0.73657289002509,0.7071178529750262,-0.029455037050063804,0.655913978494132,0.516129032257633,-0.13978494623649906,32,13,-19,135,197,62,0.1793815739802085,0.4312558565288782,0.331708,0.803548
43,0.9096354166666668,0.9213541666666668,0.01171875,0.9093569887720326,0.9214683945600012,0.012111405787968543,0.7431693989066096,0.7266982622427837,-0.016471136663825936,0.6678321678316725,0.7195121951214493,0.05168002728977672,34,76,42,126,82,-44,0.1728540431940928,0.4277042229659855,0.331708,0.803548
44,0.9041666666666668,0.9205729166666666,0.016406249999999845,0.9047657306121504,0.9193433922228772,0.014577661610726822,0.7422402159239335,0.7638888888883928,0.02164867296445927,0.6960950764001804,0.6787658802172963,-0.017329196182884088,43,41,-2,108,119,11,0.1746610185364261,0.4125121980905533,0.331708,0.803548
45,0.8971354166666666,0.8997395833333334,0.0026041666666667407,0.8978304265657503,0.9002371719490087,0.0024067453832583574,0.7338129496397886,0.7268041237108535,-0.007008825928935147,0.6899841017483054,0.6666666666661759,-0.023317435082129467,55,36,-19,85,128,43,0.1663706454564817,0.4286943702027201,0.331708,0.803548
46,0.8989583333333333,0.9098958333333332,0.010937499999999933,0.8988833256542407,0.9100449009509974,0.011161575296756765,0.6563573883156538,0.7147540983601546,0.058396710044500755,0.7072135785002097,0.7174231332352244,0.010209554735014725,111,97,-14,65,67,2,0.1693934493232518,0.4231666447594762,0.331708,0.803548
47,0.9075520833333334,0.94140625,0.03385416666666663,0.907838763109162,0.9413087781734548,0.03347001506429281,0.7470238095233083,0.7935999999994976,0.04657619047618933,0.7744945567646607,0.8067484662571663,0.03225390949250562,67,68,1,68,56,-12,0.1743749948218464,0.4231883445754647,0.331708,0.803548
48,0.8765625,0.8927083333333333,0.016145833333333304,0.8767105027448033,0.8915482419322799,0.01483773918747655,0.698835274541929,0.681355932202891,-0.017479342339037918,0.684507042253024,0.7053435114498797,0.020836469196855778,96,85,-11,61,63,2,0.1715457590762525,0.4198036505840719,0.331708,0.803548
49,0.89375,0.91328125,0.01953125,0.8940450533180825,0.9132238466296542,0.019178793311571685,0.6199376947035478,0.6677067082678286,0.04776901356428087,0.6276923076918057,0.6708463949838237,0.04315408729201797,114,99,-15,108,104,-4,0.1900851813843473,0.4161122720688581,0.331708,0.803548
50,0.8989583333333333,0.9182291666666668,0.01927083333333346,0.8991619799385813,0.919287234869866,0.020125254931284697,0.6788990825683053,0.7179487179482162,0.03904963537991091,0.7272727272722255,0.7477203647411393,0.02044763746891387,90,76,-14,75,74,-1,0.182419890188612,0.4343066131696105,0.331708,0.803548
51,0.909375,0.9260416666666668,0.01666666666666672,0.9084694536326088,0.9262478510400436,0.01777839740743481,0.6951871657749085,0.7416798732166133,0.04649270744170486,0.7609890109885161,0.7507598784189509,-0.010229132569565258,114,77,-37,36,70,34,0.1770824601408094,0.4195909481495619,0.331708,0.803548
