model,seed,class_id,class_name,precision,recall,f1,support
LeNet_LSTM,43,0,class_0,0.9444444444444414,0.9562499999999969,0.9503105590057082,320
LeNet_LSTM,43,1,class_1,0.9867109634551462,0.928124999999997,0.956521739129932,320
LeNet_LSTM,43,2,class_2,0.9378698224852042,0.9906249999999969,0.9635258358657588,320
LeNet_LSTM,43,3,class_3,0.7039274924471277,0.7281249999999977,0.7158218125955039,320
LeNet_LSTM,43,4,class_4,0.9695121951219482,0.9937499999999968,0.9814814814809784,320
LeNet_LSTM,43,5,class_5,0.9221902017291039,0.9999999999999968,0.9595202398795578,320
LeNet_LSTM,43,6,class_6,0.6990595611285244,0.6968749999999978,0.6979655712045055,320
LeNet_LSTM,43,7,class_7,0.9755244755244721,0.8718749999999972,0.9207920792074191,320
LeNet_LSTM,43,8,class_8,0.94171779141104,0.959374999999997,0.9504643962843268,320
LeNet_LSTM,43,9,class_9,0.9781249999999969,0.9781249999999969,0.9781249999994969,320
LeNet_LSTM,43,10,class_10,0.9781931464174424,0.9812499999999968,0.9797191887670474,320
LeNet_LSTM,43,11,class_11,0.9765886287625385,0.9124999999999971,0.9434571890140371,320
