model,seed,class_id,class_name,precision,recall,f1,support
Transformer,42,0,class_0,,0.0,,320
Transformer,42,1,class_1,,0.0,,320
Transformer,42,2,class_2,,0.0,,320
Transformer,42,3,class_3,,0.0,,320
Transformer,42,4,class_4,0.0,0.0,,320
Transformer,42,5,class_5,,0.0,,320
Transformer,42,6,class_6,,0.0,,320
Transformer,42,7,class_7,0.0,0.0,,320
Transformer,42,8,class_8,,0.0,,320
Transformer,42,9,class_9,0.08342022940563085,0.9999999999999968,0.15399422521641218,320
Transformer,42,10,class_10,0.0,0.0,,320
Transformer,42,11,class_11,,0.0,,320
