model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
EfficientNet_B0,1,1,43,0.0003,16,0.001,10,10,9,0.91831836496481,0.91831836496481,0.9178571428571428,0.5325648739224389,0.6095399701879138,0.3957329948175521,0.5325648739224389,0.07697509626547494,0.9004943822023396,0.011496308459991847,0.8952156257220575,833.7057142481208,4045096,,,0.05,ok,,,ubuntu,7,7,253079
EfficientNet_B0,1,2,44,0.0003,8,0.0003,10,10,9,0.9107668546077551,0.9107668546077551,0.9110119047619047,0.5247423641028859,0.6485077916156679,0.36486205830460505,0.5247423641028859,0.12376542751278197,0.8971260794227416,0.007673277528165627,0.9000885353688681,1513.2598678898066,4045096,,,0.05,ok,,,ubuntu,4,4,254347
EfficientNet_B0,1,3,45,0.0003,8,0.0001,10,10,9,0.9211867062760173,0.9211867062760173,0.9211309523809523,0.5185563288983844,0.5417135804182007,0.36849775178091865,0.5185563288983844,0.02315725151981629,0.9125380720825236,0.007673339964177338,0.9198470421160119,1516.1201824005693,4045096,,,0.05,ok,,,ubuntu,6,6,255389
EfficientNet_B0,1,4,46,0.0007,32,0.001,10,10,10,0.9241749020366151,0.9241749020366151,0.9241071428571429,0.5367385489600045,0.5367385489600045,0.3371041736148653,0.5367385489600045,0.0,0.9112348583806767,0.006666177019516986,0.9241749020366151,461.31774434633553,4045096,,,0.05,ok,,,ubuntu,2,2,255850
EfficientNet_B0,1,5,47,0.0007,16,0.0001,10,10,10,0.9153405647060299,0.9153405647060299,0.9163690476190476,0.5543278430189406,0.5543278430189406,0.329869871593657,0.5543278430189406,0.0,0.8982551917522341,0.015368360702927665,0.9153405647060299,818.4921174123883,4045096,,,0.05,ok,,,ubuntu,5,5,256821
EfficientNet_B0,1,6,48,0.0001,8,0.001,10,10,8,0.9137970828954557,0.9137970828954557,0.9139880952380952,0.5599698999807948,0.6017315160660517,0.45002219722384496,0.5599698999807948,0.04176161608525686,0.9042029011823003,0.007287691422011715,0.9103343253294612,1485.6450485233217,4045096,,,0.05,ok,,,ubuntu,1,1,258687
EfficientNet_B0,1,7,49,0.0001,32,0.0003,10,10,10,0.8857524034342368,0.8857524034342368,0.8857142857142857,0.6347870395297096,0.6347870395297096,0.41028227062452405,0.6347870395297096,0.0,0.8805407086885289,0.006281791544092011,0.8857524034342368,450.4142943434417,4045096,,,0.05,ok,,,ubuntu,2,2,260533
EfficientNet_B0,1,8,50,0.0003,16,0.0001,10,10,10,0.9119013908442101,0.9119013908442101,0.9119047619047619,0.5635784431582406,0.5635784431582406,0.38162084488641645,0.5635784431582406,0.0,0.8992925137947806,0.012171656888207014,0.9119013908442101,844.1208193916827,4045096,,,0.05,ok,,,ubuntu,3,3,261301
EfficientNet_B0,1,9,51,0.0003,8,0.001,10,10,10,0.930498151153002,0.930498151153002,0.9303571428571429,0.513012379904588,0.513012379904588,0.35268996820563364,0.513012379904588,0.0,0.9082040962288985,0.014146298191553832,0.930498151153002,1435.9068524315953,4045096,,,0.05,ok,,,ubuntu,7,7,262213
EfficientNet_B0,1,10,52,0.0007,16,0.0003,10,10,7,0.9159102238599367,0.9159102238599367,0.9166666666666666,0.5666602884020124,0.5905010769764583,0.37103939249402,0.5666602884020124,0.023840788574445826,0.9089246678650319,0.006254187460888129,0.9085463276454967,809.092282615602,4045096,,,0.05,ok,,,ubuntu,0,0,263913
EfficientNet_B0,1,11,53,0.0003,32,0.0001,10,10,8,0.9059525440443323,0.9059525440443323,0.9056547619047619,0.5702527662118276,0.6306324859460195,0.35490905949047635,0.5702527662118276,0.06037971973419187,0.89537710845284,0.009421692735462577,0.8936580819311407,467.02952708117664,4045096,,,0.05,ok,,,ubuntu,5,5,265309
EfficientNet_B0,1,12,54,0.0007,8,0.0001,10,10,9,0.9351078086614496,0.9351078086614496,0.9348214285714286,0.49063606276398614,0.4789943542508852,0.36832853049039843,0.49063606276398614,-0.011641708513100923,0.9181229507353088,0.01458567964983476,0.9343745279733255,1420.2817200329155,4045096,,,0.05,ok,,,ubuntu,2,2,265881
