model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,input_proj_dim,hidden_size,num_layers,dropout,use_last_only,host,gpu_local_id,cuda_visible_devices,pid
GRU,1,1,43,0.0006,16,0.0003,10,10,10,0.841649045397778,0.841649045397778,0.8413690476190476,0.798001461937314,0.798001461937314,0.3453735223838261,0.798001461937314,0.0,0.8357696508201287,0.005854597163546899,0.841649045397778,151.36560929380357,525964,,,0.05,ok,,,256,192,1,0.3,False,ubuntu,1,1,278599
GRU,1,2,44,0.0006,32,0.001,10,10,10,0.7874943358177666,0.7874943358177666,0.7889880952380952,1.0128428575538453,1.0128428575538453,0.4195567609014965,1.0128428575538453,0.0,0.7827860766654454,0.003967272442649904,0.7874943358177666,102.1973605658859,143692,,,0.05,ok,,,64,128,1,0.5,False,ubuntu,4,4,279045
GRU,1,3,45,0.0003,64,0.0001,10,10,10,0.7133814176946771,0.7133814176946771,0.7145833333333333,1.1397339962777637,1.1397339962777637,0.4589036312166729,1.1397339962777637,0.0,0.7077138303955406,0.006303321823003193,0.7133814176946771,82.7622152660042,196236,,,0.05,ok,,,128,64,2,0.3,False,ubuntu,0,0,279489
GRU,1,4,46,0.0001,32,0.001,10,10,10,0.7607607601668773,0.7607607601668773,0.763095238095238,1.0394640919708071,1.0394640919708071,0.38614831941468375,1.0394640919708071,0.0,0.7489687933861555,0.007588296953589383,0.7607607601668773,136.53099008090794,748300,,,0.05,ok,,,256,192,2,0.3,False,ubuntu,5,5,280695
GRU,1,5,47,0.0006,32,0.0003,10,10,10,0.8469997394189633,0.8469997394189633,0.8476190476190476,0.820705124877748,0.820705124877748,0.32369620050702774,0.820705124877748,0.0,0.8331972705224301,0.013113579990737173,0.8469997394189633,109.5595047082752,513292,,,0.05,ok,,,256,128,2,0.3,False,ubuntu,3,3,280933
GRU,1,6,48,0.0001,32,0.0001,10,10,10,0.6183724092788218,0.6183724092788218,0.6348214285714285,1.2453851427350726,1.2453851427350726,0.8929240907941546,1.2453851427350726,0.0,0.5824952461295119,0.026474380281640356,0.6183724092788218,112.5250147357583,196236,,,0.05,ok,,,128,64,2,0.6,False,ubuntu,6,6,282027
GRU,1,7,49,0.0006,64,0.0001,10,10,9,0.7466569788720343,0.7466569788720343,0.7473214285714286,1.184530398391542,1.3975303269567945,0.4388643125844092,1.184530398391542,0.2129999285652524,0.7184264934210584,0.023402169300832453,0.6807041505446839,95.00041563436389,440908,,,0.05,ok,,,64,192,2,0.6,False,ubuntu,0,0,283014
GRU,1,8,50,0.0001,16,0.001,10,10,8,0.6815919397432987,0.6815919397432987,0.6818452380952381,1.179913879150436,1.229837683836619,0.5441646669592176,1.179913879150436,0.04992380468618296,0.6748356409680115,0.0037205059871389177,0.6726485303253985,129.39842210523784,327052,,,0.05,ok,,,256,64,1,0.3,False,ubuntu,4,4,283184
GRU,1,9,51,0.0006,64,0.0001,10,10,9,0.765232871776452,0.765232871776452,0.762797619047619,1.1424903869628906,1.1460454787526813,0.4101224222110705,1.1424903869628906,0.003555091789790632,0.7455154806293073,0.02831281195800694,0.7619924484838791,86.51277181133628,332940,,,0.05,ok,,,128,128,2,0.6,False,ubuntu,1,1,284501
GRU,1,10,52,0.0006,16,0.0003,10,10,9,0.7664566455710021,0.7664566455710021,0.7657738095238096,1.0367569355737596,1.1079026538701284,0.4079303638708024,1.0367569355737596,0.07114571829636884,0.7459961456760573,0.01215154507821484,0.7490077624986043,133.9698233474046,93388,,,0.05,ok,,,64,64,1,0.3,False,ubuntu,3,3,284970
GRU,1,11,53,0.0003,64,0.0003,10,10,9,0.8088602139912496,0.8088602139912496,0.8086309523809524,0.9249147097269694,0.9564892553147816,0.40438741094259256,0.9249147097269694,0.03157454558781214,0.7791743460807203,0.02421082076909225,0.8006056620476101,97.1946571059525,543372,,,0.05,ok,,,128,192,2,0.5,False,ubuntu,5,5,285696
GRU,1,12,54,0.0001,64,0.001,10,10,10,0.6828905618729277,0.6828905618729277,0.6830357142857143,1.1965736945470173,1.1965736945470173,0.5766327747147346,1.1965736945470173,0.0,0.6568989513543873,0.019108273343416044,0.6828905618729277,85.12041754834354,352012,,,0.05,ok,,,256,64,2,0.3,False,ubuntu,6,6,286194
