model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,input_proj_dim,hidden_size,num_layers,dropout,use_last_only,host,gpu_local_id,cuda_visible_devices,pid
LSTM,1,1,43,0.0006,16,0.0003,10,10,10,0.840241147095529,0.840241147095529,0.8401785714285714,0.8277796753815242,0.8277796753815242,0.3216870760066169,0.8277796753815242,0.0,0.8279588023051223,0.00921794465302323,0.840241147095529,168.14866153895855,612364,,,0.05,ok,,,256,192,1,0.3,False,ubuntu,5,5,268844
LSTM,1,2,44,0.0006,32,0.001,10,10,10,0.7943678009202754,0.7943678009202754,0.7955357142857142,0.9653066796915871,0.9653066796915871,0.4505457929202488,0.9653066796915871,0.0,0.7743676875681598,0.012502426596343433,0.7943678009202754,109.52293890714645,168524,,,0.05,ok,,,64,128,1,0.5,False,ubuntu,3,3,268997
LSTM,1,3,45,0.0003,64,0.0001,10,10,10,0.7015817969758248,0.7015817969758248,0.7023809523809523,1.1532924890518188,1.1532924890518188,0.5062555985758966,1.1532924890518188,0.0,0.6864551822750079,0.011388575676523575,0.7015817969758248,85.2207962051034,216972,,,0.05,ok,,,128,64,2,0.3,False,ubuntu,4,4,270666
LSTM,1,4,46,0.0001,32,0.001,10,10,10,0.7662711757364206,0.7662711757364206,0.7660714285714286,1.0127247804687136,1.0127247804687136,0.4061866690431322,1.0127247804687136,0.0,0.7397629120622955,0.013591065137902638,0.7662711757364206,144.2567855808884,908812,,,0.05,ok,,,256,192,2,0.3,False,ubuntu,3,3,271686
LSTM,1,5,47,0.0006,32,0.0003,10,10,9,0.819731861196316,0.819731861196316,0.8202380952380952,0.8649176364853268,0.9145736183438983,0.39629493270601546,0.8649176364853268,0.04965598185857145,0.8111663087222517,0.005557888183656503,0.8141832718758009,105.89606302790344,595724,,,0.05,ok,,,256,128,2,0.3,False,ubuntu,4,4,271852
LSTM,1,6,48,0.0001,32,0.0001,10,10,10,0.5721640092059843,0.5721640092059843,0.5928571428571429,1.351065735022227,1.351065735022227,0.9049734017962501,1.351065735022227,0.0,0.5462793117475403,0.018896264354908945,0.5721640092059843,116.52484163455665,216972,,,0.05,ok,,,128,64,2,0.6,False,ubuntu,6,6,272572
LSTM,1,7,49,0.0006,64,0.0001,10,10,9,0.8141721133391527,0.8141721133391527,0.8136904761904762,0.8651243652616228,0.9458158975555784,0.5189655390302491,0.8651243652616228,0.08069153229395554,0.8011098378374257,0.014223166179562768,0.8006470591456681,97.71969655714929,564556,,,0.05,ok,,,64,192,2,0.6,False,ubuntu,5,5,273871
LSTM,1,8,50,0.0001,16,0.001,10,10,10,0.6436261597048354,0.6436261597048354,0.6440476190476191,1.2599078213884718,1.2599078213884718,0.5031589905988603,1.2599078213884718,0.0,0.6323188500593746,0.007441831352582709,0.6436261597048354,126.65262768045068,347660,,,0.05,ok,,,256,64,1,0.3,False,ubuntu,0,0,274676
LSTM,1,9,51,0.0006,64,0.0001,10,10,8,0.8000608225392886,0.8000608225392886,0.8020833333333334,0.9590146649451483,0.9822878707022894,0.5226472110802683,0.9590146649451483,0.02327320575714109,0.784887345180058,0.02169059878058163,0.7989221290989121,83.17564745806158,398988,,,0.05,ok,,,128,128,2,0.6,False,ubuntu,4,4,275460
LSTM,1,10,52,0.0006,16,0.0003,10,10,10,0.7575833925937112,0.7575833925937112,0.7580357142857143,1.0042837365752175,1.0042837365752175,0.44840056297324954,1.0042837365752175,0.0,0.7380209409909833,0.014528146707027905,0.7575833925937112,127.63344765082002,101708,,,0.05,ok,,,64,64,1,0.3,False,ubuntu,6,6,276235
LSTM,1,11,53,0.0003,64,0.0003,10,10,10,0.7828743462906527,0.7828743462906527,0.781547619047619,0.9817533203533717,0.9817533203533717,0.44692269024286885,0.9817533203533717,0.0,0.7637095068414812,0.014085186918619604,0.7828743462906527,96.9396837707609,679308,,,0.05,ok,,,128,192,2,0.5,False,ubuntu,3,3,276321
LSTM,1,12,54,0.0001,64,0.001,10,10,10,0.6374286989794038,0.6374286989794038,0.6398809523809523,1.2587084770202637,1.2587084770202637,0.6441371644857719,1.2587084770202637,0.0,0.621426240927644,0.015481102054793945,0.6374286989794038,83.6746111176908,380940,,,0.05,ok,,,256,64,2,0.3,False,ubuntu,5,5,276673
