model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
ResNet18,1,1,43,0.0003,16,0.001,10,10,10,0.9139753658548414,0.9139753658548414,0.9139880952380952,0.5773576702390398,0.5773576702390398,0.3222326963004612,0.5773576702390398,0.0,0.9056816376398231,0.006237839412082722,0.9139753658548414,347.01472955197096,11424140,,,0.05,ok,,,ubuntu,6,6,229225
ResNet18,1,2,44,0.0003,8,0.0003,10,10,7,0.9199760505778678,0.9199760505778678,0.9202380952380952,0.5384806559199379,0.5724042709384646,0.3755631418313299,0.5384806559199379,0.0339236150185267,0.9093484977476928,0.008755502898350332,0.9162686745355297,649.77782834135,11424140,,,0.05,ok,,,ubuntu,4,4,229430
ResNet18,1,3,45,0.0003,8,0.0001,10,10,10,0.916305653237011,0.916305653237011,0.9169642857142857,0.580499148723625,0.580499148723625,0.31954354704845517,0.580499148723625,0.0,0.9126962581595139,0.0053277588542383625,0.916305653237011,648.7200816180557,11424140,,,0.05,ok,,,ubuntu,5,5,229431
ResNet18,1,4,46,0.0007,32,0.001,10,10,9,0.916620579843857,0.916620579843857,0.9166666666666666,0.5639555142039344,0.5744013113634927,0.32155213094892954,0.5639555142039344,0.01044579715955829,0.9132552127568925,0.0024390937860788923,0.9105503316432508,182.33458628877997,11424140,,,0.05,ok,,,ubuntu,7,7,229432
ResNet18,1,5,47,0.0007,16,0.0001,10,10,9,0.9209156462633666,0.9209156462633666,0.9211309523809523,0.5562594933169228,0.5638449630567006,0.3255542134103321,0.5562594933169228,0.007585469739777806,0.9142746641288289,0.006189511908906985,0.9165015183726902,345.4030584488064,11424140,,,0.05,ok,,,ubuntu,3,3,232364
ResNet18,1,6,48,0.0001,8,0.001,10,10,10,0.9111979734309745,0.9111979734309745,0.9113095238095238,0.5696371905860447,0.5696371905860447,0.31617581939413436,0.5696371905860447,0.0,0.9068335372806589,0.0032074469580412133,0.9111979734309745,698.1992694009095,11424140,,,0.05,ok,,,ubuntu,1,1,233300
ResNet18,1,7,49,0.0001,32,0.0003,10,10,7,0.902096074991404,0.902096074991404,0.9020833333333333,0.6220080895083291,0.6257871729987008,0.3138045392717634,0.6220080895083291,0.003779083490371704,0.8985247322207565,0.0027551918279735133,0.9008711122121619,197.55662668310106,11424140,,,0.05,ok,,,ubuntu,0,0,233605
ResNet18,1,8,50,0.0003,16,0.0001,10,10,9,0.9203256074206775,0.9203256074206775,0.9205357142857142,0.5493969386532194,0.5504456087237313,0.3181030624537241,0.5493969386532194,0.0010486700705119034,0.9062073610080666,0.011257453134950076,0.918598607230387,341.14600696600974,11424140,,,0.05,ok,,,ubuntu,2,2,233909
ResNet18,1,9,51,0.0003,8,0.001,10,10,8,0.919587672676827,0.919587672676827,0.9205357142857142,0.5207166627049447,0.6081595715312731,0.3570289810924303,0.5207166627049447,0.08744290882632844,0.9049721248445293,0.007901463588965952,0.9042618861838402,660.8197307866067,11424140,,,0.05,ok,,,ubuntu,7,7,236241
ResNet18,1,10,52,0.0007,16,0.0003,10,10,8,0.9312049263134133,0.9312049263134133,0.93125,0.5339123513017382,0.5756267631337756,0.3242761067833219,0.5339123513017382,0.04171441183203739,0.9136423455313605,0.011037819782892283,0.9081789848708408,357.3201076835394,11424140,,,0.05,ok,,,ubuntu,0,0,237344
ResNet18,1,11,53,0.0003,32,0.0001,10,10,10,0.9149320607344115,0.9149320607344115,0.9148809523809524,0.5780102866036552,0.5780102866036552,0.3259032918725695,0.5780102866036552,0.0,0.9043913644230435,0.00802175823750668,0.9149320607344115,211.4585794415325,11424140,,,0.05,ok,,,ubuntu,6,6,238250
ResNet18,1,12,54,0.0007,8,0.0001,10,10,10,0.914944198599038,0.914944198599038,0.9148809523809524,0.5430242737843877,0.5430242737843877,0.31945048406010584,0.5430242737843877,0.0,0.9035248940953611,0.008204898388727806,0.914944198599038,658.1954750716686,11424140,,,0.05,ok,,,ubuntu,3,3,239167
