model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,num_channels,dropout,host,gpu_local_id,cuda_visible_devices,pid
TCN,1,1,43,5e-05,32,0.001,10,10,10,0.8243942004569501,0.8243942004569501,0.8244047619047619,0.857291989667075,0.857291989667075,0.36661318245388214,0.857291989667075,0.0,0.8153857586600923,0.006784548309890239,0.8243942004569501,4038.175918340683,3899724,,,0.05,ok,,,192,0.3,ubuntu,4,4,307718
TCN,1,2,44,0.0001,16,0.001,10,10,10,0.7848879592322208,0.7848879592322208,0.7842261904761905,0.9625925306762968,0.9625925306762968,0.7036800969498498,0.9625925306762968,0.0,0.7561768738156195,0.015756886857124654,0.7848879592322208,1470.4790698848665,783820,,,0.05,ok,,,64,0.5,ubuntu,7,7,308819
TCN,1,3,45,0.0001,16,0.001,10,10,10,0.830343841760021,0.830343841760021,0.8297619047619048,0.8355003795453481,0.8355003795453481,0.36804526195639653,0.8355003795453481,0.0,0.8236829077637877,0.005233159532306581,0.830343841760021,2702.5272233188152,2083724,,,0.05,ok,,,128,0.3,ubuntu,6,6,309178
TCN,1,4,46,0.0001,32,0.003,10,10,10,0.8221560283482462,0.8221560283482462,0.8220238095238095,0.8890014242558252,0.8890014242558252,0.509959906623477,0.8890014242558252,0.0,0.7946715415292288,0.015593114025019353,0.8221560283482462,2877.7920628730208,2083724,,,0.05,ok,,,128,0.5,ubuntu,1,1,309833
TCN,1,5,47,0.0001,32,0.001,10,10,10,0.8069790268353092,0.8069790268353092,0.8065476190476191,0.8970381685665676,0.8970381685665676,0.4725218373820895,0.8970381685665676,0.0,0.7948925743586805,0.00899420676163748,0.8069790268353092,1393.2081383392215,783820,,,0.05,ok,,,64,0.3,ubuntu,5,5,310125
TCN,1,6,48,0.0001,64,0.001,10,10,10,0.744476662952021,0.744476662952021,0.7446428571428572,1.032282901377905,1.032282901377905,0.8651872263661808,1.032282901377905,0.0,0.7142611286625722,0.02074207967596875,0.744476662952021,1315.874579910189,783820,,,0.05,ok,,,64,0.5,ubuntu,3,3,310896
TCN,1,7,49,5e-05,16,0.003,10,10,10,0.7427613533334955,0.7427613533334955,0.7443452380952381,1.0142011027960551,1.0142011027960551,0.8720467363085066,1.0142011027960551,0.0,0.7251448732414888,0.016715565952517965,0.7427613533334955,1507.6591517459601,783820,,,0.05,ok,,,64,0.5,ubuntu,0,0,311912
TCN,1,8,50,0.0001,16,0.003,10,10,10,0.8405592688642401,0.8405592688642401,0.8410714285714286,0.8059251456033616,0.8059251456033616,0.34511122030871255,0.8059251456033616,0.0,0.8253550216785369,0.011147457830623736,0.8405592688642401,2821.731497662142,2083724,,,0.05,ok,,,128,0.3,ubuntu,2,2,312843
TCN,1,9,51,5e-05,32,0.003,10,10,8,0.8166989786649036,0.8166989786649036,0.8166666666666667,0.8542650055317652,0.8762414520695097,0.3987170918782552,0.8542650055317652,0.021976446537744443,0.804101192848458,0.007821418813559114,0.8097735471382298,3701.886120060459,3899724,,,0.05,ok,,,192,0.3,ubuntu,3,3,321383
TCN,1,10,52,5e-05,32,0.003,10,10,10,0.7932812311353689,0.7932812311353689,0.7934523809523809,0.9331620784032912,0.9331620784032912,0.5519819077423641,0.9331620784032912,0.0,0.7789953881024546,0.012490542049213309,0.7932812311353689,1520.720787158236,783820,,,0.05,ok,,,64,0.3,ubuntu,5,5,321862
TCN,1,11,53,5e-05,16,0.001,10,10,9,0.7946640384856356,0.7946640384856356,0.7934523809523809,0.9461476991573969,0.9489461060081209,0.5805802954662413,0.9461476991573969,0.0027984068507239668,0.7785482578818348,0.014104646736365108,0.7903000882802896,2578.731581248343,2083724,,,0.05,ok,,,128,0.5,ubuntu,7,7,322389
TCN,1,12,54,0.0001,16,0.001,10,10,10,0.8265387271997063,0.8265387271997063,0.8258928571428571,0.8563617289066314,0.8563617289066314,0.46057994828337717,0.8563617289066314,0.0,0.8037559398564273,0.012318896782449386,0.8265387271997063,2827.379949197173,2083724,,,0.05,ok,,,128,0.5,ubuntu,0,0,324165
