model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,lstm_hidden,dropout,host,gpu_local_id,cuda_visible_devices,pid
CNN_LSTM,1,1,43,0.0001,32,0.0003,10,10,7,0.8703542340945148,0.8703542340945148,0.8729166666666667,0.686549985408783,0.7314088676656996,0.38250135592051915,0.686549985408783,0.04485888225691659,0.8630058579575742,0.004621744795152094,0.8616524931407769,303.8243269491941,11500492,,,0.05,ok,,,128,0.5,ubuntu,5,5,2331
CNN_LSTM,1,2,44,0.0003,8,0.0001,10,10,9,0.9226557831272891,0.9226557831272891,0.9223214285714286,0.5181861506331534,0.6276427161125909,0.42669466347921464,0.5181861506331534,0.1094565654794375,0.8928192896071163,0.03157814769417168,0.8922710429520428,797.9336122553796,11318988,,,0.05,ok,,,64,0.3,ubuntu,1,1,14641
CNN_LSTM,1,3,45,0.0001,16,0.0001,10,10,7,0.8731491958431454,0.8731491958431454,0.8729166666666667,0.6553931403727759,0.7264334384884154,0.45922867479778473,0.6553931403727759,0.0710402981156395,0.8643341964311999,0.005346700350159351,0.8632771868033783,467.7145124990493,11318988,,,0.05,ok,,,64,0.3,ubuntu,4,4,22895
CNN_LSTM,1,4,46,0.0003,32,0.0001,10,10,8,0.918859588036475,0.918859588036475,0.919047619047619,0.5403453154223306,0.694910603761673,0.39708368414924256,0.5403453154223306,0.15456528833934247,0.9008857571042777,0.01486853523549163,0.8764400876568027,305.1254834793508,11500492,,,0.05,ok,,,128,0.5,ubuntu,1,1,31883
CNN_LSTM,1,5,47,0.0003,8,0.0003,10,10,6,0.9183783947097867,0.9183783947097867,0.91875,0.5447220171491305,0.5964262251343045,0.4463083664718128,0.5447220171491305,0.051704207985174055,0.9089729925623841,0.0065099577744264035,0.9140273991422436,815.6011488512158,11714764,,,0.05,ok,,,192,0.5,ubuntu,0,0,39437
CNN_LSTM,1,9,51,0.0003,16,0.0003,10,10,9,0.918098041146428,0.918098041146428,0.9184523809523809,0.5656232402438209,0.6052951398349944,0.3440074971460161,0.5656232402438209,0.039671899591173454,0.9045284838194203,0.010679731450693777,0.9071689382053704,493.13013868406415,11714764,,,0.05,ok,,,192,0.3,ubuntu,5,5,72672
CNN_LSTM,1,11,53,0.0003,8,0.0003,10,10,8,0.9144139808930635,0.9144139808930635,0.9148809523809524,0.5865179662903149,0.5956550362564269,0.38604241198017486,0.5865179662903149,0.009137069966111966,0.908115144623717,0.004910574754446902,0.9136107530143006,834.5395111516118,11714764,,,0.05,ok,,,192,0.3,ubuntu,0,0,89396
CNN_LSTM,1,12,54,0.0003,32,0.001,10,10,6,0.913657031191237,0.913657031191237,0.9133928571428571,0.5660892063663119,0.6252589035601843,0.4264930188655853,0.5660892063663119,0.05916969719387244,0.903856853417523,0.010051009411370352,0.9124395985143341,346.01379091106355,11714764,,,0.05,ok,,,192,0.5,ubuntu,3,3,96037
CNN_LSTM,1,13,55,0.0003,8,0.0003,10,10,9,0.9151700412059341,0.9151700412059341,0.9151785714285714,0.5462654113059953,0.5758328867810113,0.4735004396523748,0.5462654113059953,0.029567475475016036,0.8919698400057632,0.020242945564236926,0.9032559028947614,750.3164202608168,11318988,,,0.05,ok,,,64,0.5,ubuntu,5,5,104699
CNN_LSTM,1,14,56,0.0003,32,0.0003,10,10,10,0.8778803379092133,0.8778803379092133,0.8782738095238095,0.6419948597749074,0.6419948597749074,0.4524986774580819,0.6419948597749074,0.0,0.8497750835695317,0.02064093925910727,0.8778803379092133,299.92866111546755,11318988,,,0.05,ok,,,64,0.5,ubuntu,1,1,113327
CNN_LSTM,1,15,57,0.0003,32,0.0003,10,10,10,0.906202227390925,0.906202227390925,0.90625,0.6174738160201482,0.6174738160201482,0.3553026186852228,0.6174738160201482,0.0,0.8929809676531903,0.0142981519493208,0.906202227390925,295.9680123087019,11500492,,,0.05,ok,,,128,0.5,ubuntu,5,5,118995
CNN_LSTM,1,16,58,0.0001,32,0.001,10,10,8,0.8635929814534085,0.8635929814534085,0.8648809523809524,0.7394875969205584,0.7365444617612021,0.34502849964868454,0.7394875969205584,-0.0029431351593562916,0.8541468458047424,0.00885436404264046,0.8605150510894523,306.6152346841991,11500492,,,0.05,ok,,,128,0.3,ubuntu,4,4,133587
