model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
ResNet18,1,5,47,0.0007,16,0.0001,10,10,9,0.9209156462633666,0.9209156462633666,0.9211309523809523,0.5562594933169228,0.5638449630567006,0.3255542134103321,0.5562594933169228,0.007585469739777806,0.9142746641288289,0.006189511908906985,0.9165015183726902,318.0921248290688,11424140,,,0.05,ok,,,ubuntu,0,0,2326
ResNet18,1,6,48,0.0001,8,0.001,10,10,10,0.9111979734309745,0.9111979734309745,0.9113095238095238,0.5696371905860447,0.5696371905860447,0.31617581939413436,0.5696371905860447,0.0,0.9068335372806589,0.0032074469580412133,0.9111979734309745,616.2781381104141,11424140,,,0.05,ok,,,ubuntu,3,3,9375
ResNet18,1,7,49,0.0001,32,0.0003,10,10,7,0.902096074991404,0.902096074991404,0.9020833333333333,0.6220080895083291,0.6257871729987008,0.3138045392717634,0.6220080895083291,0.003779083490371704,0.8985247322207565,0.0027551918279735133,0.9008711122121619,194.2169650234282,11424140,,,0.05,ok,,,ubuntu,4,4,17117
ResNet18,1,8,50,0.0003,16,0.0001,10,10,9,0.9203256074206775,0.9203256074206775,0.9205357142857142,0.5493969386532194,0.5504456087237313,0.3181030624537241,0.5493969386532194,0.0010486700705119034,0.9062073610080666,0.011257453134950076,0.918598607230387,315.026708509773,11424140,,,0.05,ok,,,ubuntu,1,1,27148
ResNet18,1,10,52,0.0007,16,0.0003,10,10,8,0.9312049263134133,0.9312049263134133,0.93125,0.5339123513017382,0.5756267631337756,0.3242761067833219,0.5339123513017382,0.04171441183203739,0.9136423455313605,0.011037819782892283,0.9081789848708408,329.81133537739515,11424140,,,0.05,ok,,,ubuntu,1,1,43469
ResNet18,1,11,53,0.0003,32,0.0001,10,10,10,0.9149320607344115,0.9149320607344115,0.9148809523809524,0.5780102866036552,0.5780102866036552,0.3259032918725695,0.5780102866036552,0.0,0.9043913644230435,0.00802175823750668,0.9149320607344115,177.46474531292915,11424140,,,0.05,ok,,,ubuntu,0,0,52386
ResNet18,1,13,55,0.0001,16,0.0001,10,10,9,0.9057777406497785,0.9057777406497785,0.905952380952381,0.5860801867076328,0.5960895206247058,0.31815745617662156,0.5860801867076328,0.010009333917072927,0.890804641110989,0.011977865908188983,0.9029505306933392,322.1713416110724,11424140,,,0.05,ok,,,ubuntu,2,2,68068
ResNet18,1,14,56,0.0003,32,0.0003,10,10,10,0.9114517284268677,0.9114517284268677,0.9113095238095238,0.59004927277565,0.59004927277565,0.3083760138920375,0.59004927277565,0.0,0.8955172005194122,0.014584322925857216,0.9114517284268677,197.0831149891019,11424140,,,0.05,ok,,,ubuntu,4,4,75087
ResNet18,1,15,57,0.0007,8,0.001,10,10,10,0.9071687646210408,0.9071687646210408,0.9071428571428571,0.5788642853498459,0.5788642853498459,0.3219991038952555,0.5788642853498459,0.0,0.9048239289573778,0.0031575057244700704,0.9071687646210408,589.6160796545446,11424140,,,0.05,ok,,,ubuntu,5,5,84421
ResNet18,1,16,58,0.0003,16,0.0003,10,10,9,0.921175381572014,0.921175381572014,0.9214285714285714,0.5561220305306571,0.5610832943802788,0.31913400144804094,0.5561220305306571,0.0049612638496217,0.9041732437847589,0.013578399042104302,0.914581019185955,322.92019694298506,11424140,,,0.05,ok,,,ubuntu,2,2,92231
ResNet18,1,18,60,0.0003,32,0.001,10,10,7,0.9103445403741143,0.9103445403741143,0.9107142857142857,0.5793807872704098,0.6127258366062528,0.3200033795833588,0.5793807872704098,0.033345049335843036,0.9053827734328326,0.004568946859059965,0.9028835514828509,184.1860655453056,11424140,,,0.05,ok,,,ubuntu,1,1,108637
ResNet18,1,20,62,0.0001,16,0.0003,10,10,10,0.9152262257363771,0.9152262257363771,0.9154761904761904,0.5713597013836815,0.5713597013836815,0.30877692270846596,0.5713597013836815,0.0,0.898949678465937,0.010782700493019156,0.9152262257363771,322.56517045386136,11424140,,,0.05,ok,,,ubuntu,4,4,126657
