model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,norm_first,host,gpu_local_id,cuda_visible_devices,pid
Transformer,1,1,43,0.0001,64,0.001,10,10,9,0.4678201185115573,0.4678201185115573,0.47619047619047616,1.741637008530753,1.739996608098348,1.2072935063576065,1.741637008530753,-0.001640400432405098,0.4600002336079353,0.008669669605063894,0.46745297993333734,104.44426725618541,173644,,,0.05,ok,,,64,2,2,256,0.3,mean,True,ubuntu,3,3,7446
Transformer,1,4,46,0.0001,64,0.0003,10,10,10,0.37819992928802754,0.37819992928802754,0.3863095238095238,1.92097806930542,1.92097806930542,1.5851371174982745,1.92097806930542,0.0,0.3710224222126271,0.006781913292933851,0.37819992928802754,84.10349351726472,50572,,,0.05,ok,,,32,2,1,128,0.3,mean,True,ubuntu,5,5,34137
Transformer,1,6,48,0.0002,16,0.0001,10,10,9,0.5303835130133249,0.5303835130133249,0.5321428571428571,1.6286207677352995,1.6368673466500783,0.880784639148485,1.6286207677352995,0.008246578914778757,0.5243242905531631,0.006257671860974277,0.5303736074833394,192.83667031489313,50572,,,0.05,ok,,,32,4,1,128,0.3,mean,True,ubuntu,1,1,50868
Transformer,1,7,49,0.0001,64,0.0001,10,10,10,0.44502751080815167,0.44502751080815167,0.4636904761904762,1.9985102483204433,1.9985102483204433,1.2221961488288617,1.9985102483204433,0.0,0.43300080896863574,0.008583669701592933,0.44502751080815167,86.54548133164644,244876,,,0.05,ok,,,128,4,1,128,0.5,mean,True,ubuntu,4,4,59511
Transformer,1,9,51,0.0001,16,0.0001,10,10,9,0.5658620559964481,0.5658620559964481,0.5767857142857142,1.890407608520417,1.8990978561696552,0.7377549478837422,1.890407608520417,0.008690247649238314,0.5588134856829748,0.009800169962882127,0.56549339794768,258.3121088296175,311564,,,0.05,ok,,,128,4,2,64,0.5,mean,True,ubuntu,0,0,74244
Transformer,1,11,53,0.0001,32,0.001,10,10,10,0.5450718076845282,0.5450718076845282,0.5610119047619048,1.8947258648418246,1.8947258648418246,0.8893173374448504,1.8947258648418246,0.0,0.5314009982760358,0.012856161958122914,0.5450718076845282,155.60425353609025,311564,,,0.05,ok,,,128,2,2,64,0.5,mean,True,ubuntu,4,4,90760
Transformer,1,12,54,5e-05,32,0.001,10,10,10,0.4235066827673264,0.4235066827673264,0.4354166666666667,1.8369662971723648,1.8369662971723648,1.3625284436770848,1.8369662971723648,0.0,0.4145605713213028,0.00911782350461616,0.4235066827673264,160.46245428174734,173644,,,0.05,ok,,,64,2,2,256,0.3,mean,True,ubuntu,2,2,98555
Transformer,1,13,55,0.0002,16,0.0003,10,10,10,0.5955984575106001,0.5955984575106001,0.5985119047619047,1.8459400402648107,1.8459400402648107,0.6521300808304832,1.8459400402648107,0.0,0.5885410318932033,0.006349813045651329,0.5955984575106001,256.31182334013283,173644,,,0.05,ok,,,64,4,2,256,0.5,mean,True,ubuntu,0,0,106833
Transformer,1,14,56,0.0002,64,0.0001,10,10,9,0.4907037759002546,0.4907037759002546,0.49910714285714286,1.866397185552688,1.8694801364626203,1.1411997245291794,1.866397185552688,0.0030829509099323804,0.47856605100196187,0.014291364029796715,0.488979672982578,85.5962123312056,107148,,,0.05,ok,,,64,2,1,128,0.5,mean,True,ubuntu,2,2,114038
Transformer,1,15,57,0.0001,32,0.0001,10,10,10,0.373278049085936,0.373278049085936,0.3886904761904762,1.9140407130831765,1.9140407130831765,1.6844239922932216,1.9140407130831765,0.0,0.36569052979315686,0.008213388902159282,0.373278049085936,101.31907223723829,50572,,,0.05,ok,,,32,2,1,128,0.5,mean,True,ubuntu,0,0,120964
Transformer,1,16,58,0.0001,32,0.0001,10,10,10,0.4837296483326982,0.4837296483326982,0.4901785714285714,1.689902228968484,1.689902228968484,1.0781111032622201,1.689902228968484,0.0,0.4694547359595541,0.012493251840005477,0.4837296483326982,113.0263840854168,98892,,,0.05,ok,,,64,2,1,64,0.3,mean,True,ubuntu,5,5,137083
Transformer,1,17,59,0.0002,32,0.001,10,10,10,0.5432557131018293,0.5432557131018293,0.5488095238095239,1.8103640096528189,1.8103640096528189,0.8656204124859401,1.8103640096528189,0.0,0.5359708411152015,0.007647348244583187,0.5432557131018293,154.15576879121363,124108,,,0.05,ok,,,64,2,2,64,0.5,mean,True,ubuntu,4,4,144877
