model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,input_proj_dim,hidden_size,num_layers,dropout,use_last_only,host,gpu_local_id,cuda_visible_devices,pid
LSTM,1,1,43,0.0003,8,1e-05,10,10,10,0.8552594529869816,0.8550595238095238,0.7116007937860732,0.83308411086857,0.01949484798068571,0.8552594529869816,333.00280157476664,1844748,,,ok,,,512,256,2,0.3,False,ubuntu,0,0,2930816
LSTM,1,2,44,0.0006,8,0.0001,10,10,9,0.8425710712656587,0.8422619047619048,0.6533083473679739,0.8276518430225079,0.014314874227907066,0.8262364935602239,175.43363247253,595724,,,ok,,,256,128,2,0.5,False,ubuntu,1,1,2930817
LSTM,1,3,45,0.0003,8,0.0001,10,10,10,0.7989074975398088,0.7985119047619048,0.8932159374263609,0.781006923796834,0.01051104865525561,0.7989074975398088,167.89680796861649,463628,,,ok,,,256,128,1,0.3,False,ubuntu,2,2,2930818
LSTM,1,4,46,0.001,8,1e-05,10,10,10,0.8248561888296746,0.825,0.8184487960305238,0.8063958410212646,0.01901006191062435,0.8248561888296746,227.85683535411954,1318412,,,ok,,,512,256,1,0.3,False,ubuntu,3,3,2930819
LSTM,1,5,47,0.001,16,0.0001,10,10,9,0.8211642743977117,0.8211309523809524,0.7535937426027626,0.8046272277419426,0.012218035061256245,0.813536653711732,170.15145390480757,1318412,,,ok,,,512,256,1,0.5,False,ubuntu,4,4,2930820
LSTM,1,6,48,0.0003,8,1e-05,10,10,10,0.7904848608053195,0.7898809523809524,0.9162085991602951,0.7661433312141294,0.013351334488093098,0.7904848608053195,167.46039482951164,463628,,,ok,,,256,128,1,0.5,False,ubuntu,5,5,2930884
LSTM,1,7,49,0.0006,8,0.0001,10,10,9,0.8581828324151252,0.8574404761904761,0.5727342197860058,0.8467301671492304,0.014726251408863201,0.8580740345745639,284.55009032413363,1320204,,,ok,,,256,256,2,0.3,False,ubuntu,6,6,2931011
LSTM,1,8,50,0.0003,16,1e-05,10,10,10,0.7725665766183639,0.7723214285714286,0.9149760960143924,0.7516283548653578,0.013720886841445427,0.7725665766183639,166.94858979992568,463628,,,ok,,,256,128,1,0.5,False,ubuntu,7,7,2931025
LSTM,1,9,51,0.0003,8,1e-05,10,10,8,0.8251197838010164,0.8247023809523809,0.6600795932396154,0.8074241435714441,0.010473108290189609,0.8039923398831705,176.39528382383287,989196,,,ok,,,512,128,2,0.3,False,ubuntu,8,8,2931139
LSTM,1,10,52,0.001,16,1e-05,10,10,7,0.8416324857067603,0.8407738095238095,0.6234265381352522,0.8332546963947663,0.0059363702782647115,0.8337068737404817,170.19954530522227,793868,,,ok,,,256,256,1,0.5,False,ubuntu,9,9,2931140
LSTM,1,11,53,0.0003,16,0.0001,10,10,10,0.7788478423470723,0.7791666666666667,0.8889396770322319,0.7609681140610924,0.016175355511670597,0.7788478423470723,143.65855100378394,463628,,,ok,,,256,128,1,0.3,False,ubuntu,2,2,2942498
LSTM,1,12,54,0.0003,16,1e-05,10,10,10,0.8245381331502376,0.8247023809523809,0.7816494499166895,0.817967242323423,0.005400633059285625,0.8245381331502376,249.12615627609193,1844748,,,ok,,,512,256,2,0.5,False,ubuntu,5,5,2942500
