model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
LeNet,1,1,43,0.0005,32,5e-05,10,10,9,0.8444125251689028,0.8449404761904762,0.49910877746851406,0.8274247090242565,0.012481261540675167,0.8145176627068033,165.17624853365123,73726,,,ok,,,ubuntu,0,0,2854276
LeNet,1,2,44,0.0002,32,0.0001,10,10,10,0.8125705582392838,0.8139880952380952,0.5580670025510093,0.8007380911330214,0.00975553478510793,0.8125705582392838,168.22844649665058,73726,,,ok,,,ubuntu,1,1,2854277
LeNet,1,3,45,0.001,16,1e-05,10,10,8,0.8348718426086572,0.8354166666666667,0.6243819703422127,0.8250881074796588,0.010002022183555326,0.8271352361635808,162.49501504935324,73726,,,ok,,,ubuntu,2,2,2854278
LeNet,1,4,46,0.001,32,0.0001,10,10,10,0.8332120554408252,0.8336309523809524,0.6224525349459977,0.8137451412510615,0.012390843517809506,0.8332120554408252,161.7829209640622,73726,,,ok,,,ubuntu,3,3,2854279
LeNet,1,5,47,0.0005,32,1e-05,10,10,10,0.8325520545445864,0.8330357142857143,0.5503019289290976,0.8183165541836466,0.011540041394407523,0.8325520545445864,167.30425463616848,73726,,,ok,,,ubuntu,4,4,2854280
LeNet,1,6,48,0.0003,16,0.0001,10,10,9,0.8338932570445016,0.8345238095238096,0.5636446770524517,0.8225326051020531,0.008565308820719255,0.826737531692709,164.62537863105536,73726,,,ok,,,ubuntu,5,5,2854281
LeNet,1,7,49,0.0005,32,0.0001,10,10,9,0.8260704370770675,0.825297619047619,0.6070907900586635,0.8176201635850677,0.010103942977697159,0.8181477180483466,164.74044640548527,73726,,,ok,,,ubuntu,6,6,2854282
LeNet,1,8,50,0.0003,32,0.0001,10,10,10,0.829212883521977,0.8303571428571429,0.5144413809025926,0.817821278833821,0.012996788766078252,0.829212883521977,166.52675397880375,73726,,,ok,,,ubuntu,7,7,2854409
LeNet,1,9,51,0.0005,16,5e-05,10,10,9,0.8275774736012895,0.8270833333333333,0.6530497915707417,0.8141864155351071,0.010939936187906216,0.8253016596757835,166.95861412398517,73726,,,ok,,,ubuntu,8,8,2854567
LeNet,1,10,52,0.0005,16,0.0001,10,10,10,0.8349829719264571,0.8345238095238096,0.6016254032779086,0.8150709935387713,0.016107686753425127,0.8349829719264571,166.81244690343738,73726,,,ok,,,ubuntu,9,9,2854663
LeNet,1,11,53,0.0002,32,1e-05,10,10,10,0.8264901160324376,0.8264880952380952,0.5520705302112869,0.8086894870579057,0.016701035044131084,0.8264901160324376,146.88442447036505,73726,,,ok,,,ubuntu,2,2,2866904
LeNet,1,12,54,0.0005,16,1e-05,10,10,10,0.8507523682385926,0.8505952380952381,0.5548068301785472,0.839358739855116,0.009541385616643616,0.8507523682385926,143.55443530343473,73726,,,ok,,,ubuntu,3,3,2866905
