model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
MobileNet_V2,1,1,43,0.0006,16,0.001,10,10,10,0.9113625888897672,0.9110119047619047,0.3027393952300621,0.9012714379618035,0.012769727185462014,0.9113625888897672,532.0476505160332,2261420,,,ok,,,ubuntu,0,0,2885904
MobileNet_V2,1,2,44,0.0003,16,0.0005,10,10,9,0.909343454064783,0.9092261904761905,0.2815940551908993,0.8933221261023088,0.011094186229189906,0.87681362406114,544.6757096219808,2261420,,,ok,,,ubuntu,1,1,2885905
MobileNet_V2,1,3,45,0.001,8,0.0001,10,10,7,0.9012865000181532,0.9014880952380953,0.3198362098246088,0.8968866129665513,0.0053029290460290405,0.8991934892118706,1045.1930756643414,2261420,,,ok,,,ubuntu,2,2,2885906
MobileNet_V2,1,4,46,0.001,16,0.001,10,10,10,0.9170366954873169,0.9172619047619047,0.2761104152686866,0.8974410149274071,0.01087960226434863,0.9170366954873169,534.5762499924749,2261420,,,ok,,,ubuntu,3,3,2885907
MobileNet_V2,1,5,47,0.0006,16,0.0005,10,10,7,0.9092033649680761,0.9092261904761905,0.2854543987463417,0.8931760119540562,0.010163578185011637,0.8930599703141323,532.3121888209134,2261420,,,ok,,,ubuntu,4,4,2885908
MobileNet_V2,1,6,48,0.0006,8,0.0001,10,10,9,0.9160166361820341,0.9163690476190476,0.2618568875341961,0.8910634999585907,0.018926022300006885,0.898442712921662,1016.8246569037437,2261420,,,ok,,,ubuntu,5,5,2885927
MobileNet_V2,1,7,49,0.001,16,1e-05,10,10,9,0.9206876483899844,0.9211309523809523,0.2816685427713656,0.9056291642271368,0.009546149012543956,0.8958418209249714,546.6910647153854,2261420,,,ok,,,ubuntu,6,6,2885973
MobileNet_V2,1,8,50,0.0006,16,0.0001,10,10,6,0.9125558717394888,0.9133928571428571,0.26465975288188237,0.8972755420998949,0.020663935449697975,0.9092386867459344,539.7260176036507,2261420,,,ok,,,ubuntu,7,7,2886147
MobileNet_V2,1,9,51,0.0006,8,0.001,10,10,9,0.9183042297265643,0.9178571428571428,0.21970559818468938,0.9018965010164022,0.01826473180756501,0.9125859230909134,1050.79533033818,2261420,,,ok,,,ubuntu,8,8,2886227
MobileNet_V2,1,10,52,0.001,8,1e-05,10,10,8,0.9180484571682915,0.9181547619047619,0.24790623189448005,0.8922070985004498,0.020372387526598434,0.895917052260114,1040.8622874878347,2261420,,,ok,,,ubuntu,9,9,2886228
MobileNet_V2,1,11,53,0.0003,16,1e-05,10,10,10,0.8972216601668729,0.8967261904761905,0.365861799024623,0.8869841830558081,0.00898291837541231,0.8972216601668729,568.4151106104255,2261420,,,ok,,,ubuntu,0,0,2900197
MobileNet_V2,1,12,54,0.0006,8,0.0005,10,10,10,0.9147491109267,0.9154761904761904,0.28403832720966227,0.9025382195092446,0.009721232641378348,0.9147491109267,1069.5873081814498,2261420,,,ok,,,ubuntu,4,4,2900278
