model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
ResNet18,1,1,43,0.001,16,1e-05,10,10,8,0.9113117417479007,0.9116071428571428,0.3363747897801161,0.9026704921258342,0.009539544061312952,0.9097682898250726,284.25437798164785,11424140,,,ok,,,ubuntu,0,0,2869948
ResNet18,1,2,44,0.001,8,1e-05,10,10,10,0.9114576980007554,0.9116071428571428,0.40162115793340075,0.906073847938367,0.005059166222133467,0.9114576980007554,537.8876879420131,11424140,,,ok,,,ubuntu,1,1,2869949
ResNet18,1,3,45,0.0003,8,0.0003,10,10,10,0.9202593438475634,0.9199404761904761,0.33619505674845684,0.9028266405692408,0.01685239177932467,0.9202593438475634,533.3072275146842,11424140,,,ok,,,ubuntu,2,2,2869950
ResNet18,1,4,46,0.0007,16,0.0001,10,10,6,0.9161525928668648,0.9157738095238095,0.35987526566053324,0.9103991108288227,0.003998471460527616,0.9119814605388901,275.1420152634382,11424140,,,ok,,,ubuntu,3,3,2869951
ResNet18,1,5,47,0.0003,16,0.0003,10,10,10,0.9161140639829645,0.9163690476190476,0.42054711635207587,0.902684522887918,0.008754725974897447,0.9161140639829645,285.7540336679667,11424140,,,ok,,,ubuntu,4,4,2869952
ResNet18,1,6,48,0.0007,16,1e-05,10,10,10,0.9169587625108043,0.9169642857142857,0.3692360546800332,0.9088918715424745,0.005716354124217046,0.9169587625108043,282.5148663558066,11424140,,,ok,,,ubuntu,5,5,2869953
ResNet18,1,7,49,0.001,8,0.0003,10,10,6,0.9151996312621994,0.9151785714285714,0.3137756690270313,0.9048692139492303,0.013209980984531,0.9084509566136817,562.2483748607337,11424140,,,ok,,,ubuntu,6,6,2870017
ResNet18,1,8,50,0.0007,8,1e-05,10,10,10,0.9114007630382747,0.9113095238095238,0.3935705078190902,0.9031470744005106,0.006261963362139673,0.9114007630382747,565.0991849768907,11424140,,,ok,,,ubuntu,7,7,2870208
ResNet18,1,9,51,0.0007,8,0.0003,10,10,9,0.9242758008000546,0.9241071428571429,0.29637228083376743,0.903387948154266,0.01750741327843224,0.9141766100244245,563.4814515039325,11424140,,,ok,,,ubuntu,8,8,2870209
ResNet18,1,10,52,0.001,16,0.0001,10,10,6,0.9064948270813646,0.905952380952381,0.3872567599028652,0.8964735417522641,0.007946113366833346,0.9010180709971727,284.8636192306876,11424140,,,ok,,,ubuntu,9,9,2870336
ResNet18,1,11,53,0.0003,16,1e-05,10,10,6,0.9183124796781885,0.9184523809523809,0.33589856594555734,0.9033796455508888,0.01225861901427729,0.9147015174275706,330.0648554638028,11424140,,,ok,,,ubuntu,3,3,2881705
ResNet18,1,12,54,0.0007,16,0.0003,10,10,9,0.9106196011475846,0.9110119047619047,0.4406057459214437,0.9072390179998916,0.0035800445373463077,0.9052534287041571,333.43964748829603,11424140,,,ok,,,ubuntu,0,0,2881960
