model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_acc,best_val_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,status,status_reason,error,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,norm_first,host,gpu_local_id,cuda_visible_devices,pid
Transformer,1,1,43,0.0001,4,0.0001,10,10,8,0.7104181800099575,0.7136904761904762,2.423487026638198,0.6995262575622493,0.0063399306288750516,0.7023026770436855,848.8388397693634,410252,,,ok,,,128,8,2,256,0.3,mean,True,ubuntu,0,0,3028872
Transformer,1,2,44,0.0003,8,0.0001,10,10,8,0.7636014191062784,0.7619047619047619,1.9461035515754712,0.7544567549961275,0.005327273445256398,0.7548564979177824,523.2857927158475,223628,,,ok,,,64,8,3,256,0.3,mean,False,ubuntu,1,1,3028873
Transformer,1,3,45,0.0003,4,1e-05,10,10,10,0.7489748519981875,0.7491071428571429,2.670475981391215,0.7369448967082615,0.006389175682454444,0.7489748519981875,501.83898473903537,156684,,,ok,,,64,4,1,512,0.3,mean,True,ubuntu,2,2,3028874
Transformer,1,4,46,0.0003,8,0.0001,10,10,9,0.8233188750029249,0.8238095238095238,1.8135446165856441,0.809621350796608,0.010454441591464074,0.8199016452919118,419.4086660929024,1080076,,,ok,,,256,8,2,256,0.3,mean,False,ubuntu,3,3,3028875
Transformer,1,5,47,0.0003,8,0.0001,10,10,6,0.7991796442754294,0.799702380952381,1.5283085794739149,0.7904045924626251,0.00630694468273756,0.794667427900217,532.282771224156,740108,,,ok,,,128,4,3,512,0.3,mean,True,ubuntu,4,4,3028876
Transformer,1,6,48,0.0003,8,1e-05,10,10,8,0.774571665587597,0.775,1.8745361034856296,0.7667055599972533,0.005361310289049147,0.770062607962745,410.70781310647726,541836,,,ok,,,128,2,2,512,0.3,mean,True,ubuntu,5,5,3028877
Transformer,1,7,49,0.0001,8,0.0001,10,10,10,0.7085579515748605,0.7127976190476191,2.149554717964622,0.7049719015597672,0.0035398268320529953,0.7085579515748605,279.5537021756172,815628,,,ok,,,256,4,1,512,0.3,mean,True,ubuntu,6,6,3028941
Transformer,1,8,50,0.0002,8,0.0001,10,10,7,0.7138400189837811,0.7145833333333333,1.6082958636407836,0.7038795351947411,0.00563354332551827,0.7040933070795786,539.8951613660902,174092,,,ok,,,64,4,3,128,0.3,mean,True,ubuntu,7,7,3029005
Transformer,1,9,51,0.0002,8,1e-05,10,10,9,0.7686953110023876,0.768154761904762,1.8456292542214785,0.763424483430273,0.007682397539809517,0.7672969618720694,564.1961374357343,444044,,,ok,,,128,4,3,128,0.1,mean,True,ubuntu,8,8,3029132
Transformer,1,10,52,0.0001,4,0.0001,10,10,9,0.7416723414403945,0.7455357142857143,2.8772639455456166,0.7221221933217872,0.012353152961260582,0.7107464727956682,884.9724998790771,1080076,,,ok,,,256,8,2,256,0.5,mean,False,ubuntu,9,9,3029259
Transformer,1,11,53,0.0002,4,1e-05,10,10,10,0.7448376888119906,0.7452380952380953,2.4044895322740176,0.7395103767237339,0.004350621861674198,0.7448376888119906,928.0603521745652,173644,,,ok,,,64,2,2,256,0.3,mean,False,ubuntu,6,6,3039584
Transformer,1,12,54,0.0003,8,1e-05,10,10,8,0.6640539619688143,0.6657738095238095,2.257181796027007,0.6588000796425526,0.003931698017393054,0.6551501301842088,481.8787028416991,140620,,,ok,,,64,8,2,128,0.5,mean,True,ubuntu,5,5,3041200
