model,selected_trial_id,best_val_f1,best_val_acc,best_val_loss,best_epoch,lr,batch_size,weight_decay,train_time_sec
MobileNet_V2,1,0.933619410214004,0.9339285714285714,0.3686977518589484,24,0.001,16,1e-05,902.8567369356751
CNN_LSTM,2,0.9297372054985886,0.9297619047619048,0.4015893644275344,17,0.0003,8,0.0001,1972.339949477464
EfficientNet_B0,2,0.9264074503991572,0.9264880952380952,0.3940950545489545,25,0.0007,16,0.0001,1561.3752586189655
ResNet18,2,0.9228683701287648,0.9232142857142858,0.4371389597676777,22,0.0003,8,0.0003,985.0335516706108
LeNet_LSTM,2,0.9214116293588136,0.9214285714285714,0.5415955374002589,25,0.0003,8,1e-05,1142.4757008217275
GRU,2,0.877512152049944,0.8773809523809524,1.0427976127894278,22,0.0006,8,0.0001,1091.3469357676804
LSTM,1,0.863477702218912,0.8633928571428572,0.5638958214766544,9,0.0006,8,0.0001,1164.6425699759277
LeNet,3,0.8594770871346507,0.8592261904761904,0.6191606477232762,22,0.0005,16,0.0001,678.2593095880002
TCN,2,0.8576824424842654,0.8580357142857142,1.681873826405362,9,0.0002,4,0.0001,5977.099381733686
Transformer,1,0.8244745349911118,0.8238095238095238,2.1576803803387947,24,0.0003,8,0.0001,1143.980248020962
