model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,norm_first,host,gpu_local_id,cuda_visible_devices,pid
Transformer,1,1,43,0.00015,32,0.003,10,10,10,0.6542923587276062,0.6542923587276062,0.655952380952381,1.2945082925614857,1.2945082925614857,0.6013623922779446,1.2945082925614857,0.0,0.6443104423357224,0.009485606048838555,0.6542923587276062,158.12162324413657,157132,,,0.05,ok,,,64,2,2,192,0.2,mean,True,ubuntu,0,0,453698
Transformer,1,2,44,0.00015,16,0.003,10,10,10,0.6133310728095083,0.6133310728095083,0.6169642857142857,1.4782526186534337,1.4782526186534337,0.6415577483461017,1.4782526186534337,0.0,0.604987389301061,0.007668390966958416,0.6133310728095083,197.1235997285694,98892,,,0.05,ok,,,64,2,1,64,0.3,mean,True,ubuntu,1,1,453703
Transformer,1,3,45,0.0001,32,0.003,10,10,10,0.5008701727142069,0.5008701727142069,0.5098214285714285,1.7695604000772749,1.7695604000772749,0.9962558527219864,1.7695604000772749,0.0,0.4904277183599529,0.011989957085898926,0.5008701727142069,124.76955929026008,159564,,,0.05,ok,,,96,2,1,64,0.4,mean,True,ubuntu,2,2,453704
Transformer,1,4,46,0.00015,16,0.001,10,10,10,0.5282697338278177,0.5282697338278177,0.5324404761904762,1.5842257420221963,1.5842257420221963,0.8711652461403893,1.5842257420221963,0.0,0.5188028146666875,0.008575152759852258,0.5282697338278177,190.74484786391258,50572,,,0.05,ok,,,32,2,1,128,0.2,mean,True,ubuntu,3,3,453705
Transformer,1,5,47,0.0001,16,0.001,10,10,10,0.5873165714989373,0.5873165714989373,0.5901785714285714,1.4738792752935772,1.4738792752935772,0.7690455499433336,1.4738792752935772,0.0,0.5727155904340939,0.0130309705463914,0.5873165714989373,258.802269320935,140620,,,0.05,ok,,,64,4,2,128,0.3,mean,True,ubuntu,4,4,453708
Transformer,1,6,48,5e-05,16,0.0003,10,10,10,0.36902974644920444,0.36902974644920444,0.38125,1.9436344424883525,1.9436344424883525,1.6017463847569058,1.9436344424883525,0.0,0.3628031887125414,0.00510685027643426,0.36902974644920444,193.00989121198654,50572,,,0.05,ok,,,32,4,1,128,0.3,mean,True,ubuntu,5,5,453712
Transformer,1,7,49,5e-05,16,0.001,10,10,10,0.45494403851249815,0.45494403851249815,0.4660714285714286,1.8813967000870477,1.8813967000870477,1.2010220468044281,1.8813967000870477,0.0,0.44476691210803015,0.009205687565217108,0.45494403851249815,189.64155553095043,171916,,,0.05,ok,,,96,4,1,128,0.4,mean,True,ubuntu,2,2,458736
Transformer,1,8,50,0.0001,16,0.0003,10,10,10,0.6731879627300991,0.6731879627300991,0.674702380952381,1.3065088885171072,1.3065088885171072,0.5043692547082901,1.3065088885171072,0.0,0.6668176343341579,0.00598321928608159,0.6731879627300991,282.3297343440354,259052,,,0.05,ok,,,96,2,2,192,0.2,mean,True,ubuntu,0,0,459401
Transformer,1,9,51,5e-05,16,0.0003,10,10,10,0.4873239152798496,0.4873239152798496,0.4973214285714286,1.8227208252464022,1.8227208252464022,1.1640961362066724,1.8227208252464022,0.0,0.47152770795021554,0.01217142442998022,0.4873239152798496,291.16810619831085,209644,,,0.05,ok,,,96,4,2,64,0.4,mean,True,ubuntu,3,3,460196
Transformer,1,10,52,5e-05,32,0.001,10,10,10,0.5553073978804788,0.5553073978804788,0.562797619047619,1.4631744044167654,1.4631744044167654,1.00927157890229,1.4631744044167654,0.0,0.537834635362077,0.016151168497004365,0.5553073978804788,163.28797957114875,259052,,,0.05,ok,,,96,2,2,192,0.2,mean,True,ubuntu,5,5,460268
Transformer,1,11,53,0.0001,32,0.0003,10,10,10,0.5641647899628032,0.5641647899628032,0.56875,1.5868959205491202,1.5868959205491202,0.8972484133357094,1.5868959205491202,0.0,0.5528014736126432,0.010367365326944938,0.5641647899628032,164.7895655594766,209644,,,0.05,ok,,,96,2,2,64,0.4,mean,True,ubuntu,1,1,460613
Transformer,1,12,54,0.0001,32,0.0003,10,10,10,0.5727110306371846,0.5727110306371846,0.5764880952380952,1.4119085615589506,1.4119085615589506,0.8156510689145042,1.4119085615589506,0.0,0.5637560730839838,0.006244955466923765,0.5727110306371846,173.98343599960208,157132,,,0.05,ok,,,64,2,2,192,0.2,mean,True,ubuntu,4,4,462884
