model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
CNN_LSTM,CNN-LSTM baseline,42,22,0.005780855062462,0.9992857142857144,0.9997619045943078,0.4259840418455063,0.9241071428571428,0.9238653753444844,0.8981770833333333,0.8970080741567951,0.9102214974030868,0.8981770833333305,11.500492,1035.639530479908,0.562771869590506
CNN_LSTM,CNN-LSTM baseline,43,18,0.0069287042319774,0.9990476190476192,0.9997023808911416,0.4181317026943794,0.9211309523809524,0.9211615337736088,0.91640625,0.9160903297638864,0.9173285387114564,0.9164062499999972,11.500492,1059.1749121025205,0.5620921147055924
CNN_LSTM,CNN-LSTM baseline,44,11,0.0377134863180773,0.9922619047619048,0.9977383672302582,0.5119184786381776,0.9020833333333332,0.9023950690869804,0.896875,0.8971346247762506,0.8990335012444746,0.896874999999997,11.500492,1089.2984028551728,0.5642059986712411
EfficientNet_B0,EfficientNet_B0,42,29,0.001883557282743,0.9995238095238096,0.9998214285557432,0.3934384743752421,0.930952380952381,0.9308302926247384,0.8924479166666667,0.8889054353353852,0.9007191348600392,0.8924479166666638,4.045096,4578.984399190173,0.9434956009499728
EfficientNet_B0,EfficientNet_B0,43,14,0.033171526931581,0.9903571428571428,0.9972611403116768,0.2453747003593976,0.9357142857142856,0.9356165468917746,0.9013020833333332,0.9003445855561446,0.9022252107609606,0.9013020833333306,4.045096,4813.92263546586,0.932323606684804
EfficientNet_B0,EfficientNet_B0,44,26,0.0033511163578146,0.9986904761904762,0.9998214285025968,0.5134457549247838,0.9252976190476192,0.9257203469747872,0.9283854166666666,0.9272465478929944,0.929227474773159,0.9283854166666636,4.045096,4872.412934044376,0.9626389015465976
GRU,GRU baseline,42,28,0.0018077305952707,0.9998809523809524,0.9999999999994992,0.8782649940679438,0.8470238095238095,0.8467914212994313,0.84296875,0.8421260666480129,0.8452212415152124,0.8429687499999975,0.513292,317.1752455122769,0.0332758063450455
GRU,GRU baseline,43,26,0.0009962887281463,1.0,0.9999999999994992,0.7476987760555598,0.8723214285714286,0.8729086675548525,0.8419270833333333,0.841815673986329,0.8453223570323227,0.8419270833333307,0.513292,334.00818209163845,0.0130537635413929
GRU,GRU baseline,44,13,0.0036043554402533,0.9996428571428572,0.9999999999994992,0.7664591785847387,0.8767857142857143,0.8774435052209365,0.8434895833333333,0.8423491665890817,0.8486258142463962,0.8434895833333306,0.513292,347.1826783847064,0.0607554160524159
LSTM,LSTM baseline,42,29,0.0023275484854266,0.9995833333333334,0.9998809736010124,0.9039038327813614,0.8491071428571428,0.8487179294564515,0.8596354166666667,0.858745143005434,0.8615921081929668,0.8596354166666641,0.595724,336.27455249615014,0.0193013052921742
