model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.8981770833333333,0.8970080741567951,0.9102214974030868,0.8981770833333305,1035.639530479908,0.562771869590506,11500492.0,11.500492,22.0,0.4259840418455063,0.9241071428571428,0.9238653753444844,2.4013899080455303,416.42550285134286,0.5627726309467107,1776.916546772671
CNN_LSTM,temporal,0.91640625,0.9160903297638864,0.9173285387114564,0.9164062499999972,1059.1749121025205,0.5620921147055924,11500492.0,11.500492,18.0,0.4181317026943794,0.9211309523809524,0.9211615337736088,1.8243303708732128,548.1463313694392,0.5584852548781782,1790.5575684681753
CNN_LSTM,temporal,0.896875,0.8971346247762506,0.8990335012444746,0.896874999999997,1089.2984028551728,0.5642059986712411,11500492.0,11.500492,11.0,0.5119184786381776,0.9020833333333332,0.9023950690869804,1.8056692741811275,553.8112733592926,0.5623124097473919,1778.3708534002135
EfficientNet_B0,cnn,0.8924479166666667,0.8889054353353852,0.9007191348600392,0.8924479166666638,4578.984399190173,0.9434956009499728,4045096.0,4.045096,29.0,0.3934384743752421,0.930952380952381,0.9308302926247384,7.708378508687019,129.72896944189262,0.2313782763667404,4321.926914240534
EfficientNet_B0,cnn,0.9013020833333332,0.9003445855561446,0.9022252107609606,0.9013020833333306,4813.92263546586,0.932323606684804,4045096.0,4.045096,14.0,0.2453747003593976,0.9357142857142856,0.9356165468917746,4.931219834834337,202.78958016350424,0.1719108677934855,5816.967902234594
EfficientNet_B0,cnn,0.9283854166666666,0.9272465478929944,0.929227474773159,0.9283854166666636,4872.412934044376,0.9626389015465976,4045096.0,4.045096,26.0,0.5134457549247838,0.9252976190476192,0.9257203469747872,4.994944203644991,200.20243654979447,0.174477738328278,5731.390202448121
GRU,temporal,0.84296875,0.8421260666480129,0.8452212415152124,0.8429687499999975,317.1752455122769,0.0332758063450455,513292.0,0.513292,28.0,0.8782649940679438,0.8470238095238095,0.8467914212994313,0.4081070050597191,2450.337748683505,0.0118292449042201,84536.2496166808
GRU,temporal,0.8419270833333333,0.841815673986329,0.8453223570323227,0.8419270833333307,334.00818209163845,0.0130537635413929,513292.0,0.513292,26.0,0.7476987760555598,0.8723214285714286,0.8729086675548525,0.4171268083155155,2397.352507834016,0.011834084871225,84501.67553145834
GRU,temporal,0.8434895833333333,0.8423491665890817,0.8486258142463962,0.8434895833333306,347.1826783847064,0.0607554160524159,513292.0,0.513292,13.0,0.7664591785847387,0.8767857142857143,0.8774435052209365,0.639424454420805,1563.9064053404195,0.0121608161134645,82231.32318338352
LSTM,temporal,0.8596354166666667,0.858745143005434,0.8615921081929668,0.8596354166666641,336.27455249615014,0.0193013052921742,595724.0,0.595724,29.0,0.9039038327813614,0.8491071428571428,0.8487179294564515,0.6341121159493923,1577.0081896366237,0.0198532990179955,50369.46248044577
LSTM,temporal,0.8458333333333333,0.8462681420682486,0.8510128751096393,0.8458333333333306,358.366226920858,0.0271895027253776,595724.0,0.595724,17.0,0.6910144004760133,0.8607142857142858,0.8615569619143955,0.6337657757103443,1577.8699928678998,0.0198440859094262,50392.84775142937
