model,category,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,training_seconds_mean,training_seconds_std,inference_ms_mean,inference_ms_std,params_m
CNN_LSTM,temporal,0.9038194444444444,0.010919918077612082,0.903411009565644,0.010980795703499299,0.9088611791196725,0.00922306610372658,0.9038194444444416,0.010919918077612167,1061.3709484792005,26.89675775947749,0.5630233276557798,0.0010791430507584097,11.500492
EfficientNet_B0,cnn,0.9073784722222221,0.01872345729317267,0.9054988562615081,0.019683371355459944,0.9107239401313864,0.016042214991524573,0.9073784722222195,0.018723457293172513,4755.10665623347,155.3047514613441,0.9461527030604581,0.01533132151376818,4.045096
GRU,temporal,0.8427951388888889,0.0007955860581520769,0.8420969690744745,0.0002679339300785364,0.8463898042646437,0.001937101330809139,0.8427951388888862,0.0007955860581520345,332.78870199620724,15.040839593443751,0.03569499531295143,0.02394266629925383,0.513292
LSTM,temporal,0.8463541666666666,0.013028643490988565,0.8460652163967787,0.012782597554889863,0.8507793222821437,0.010931433702818027,0.846354166666664,0.013028643490988626,360.92242433999974,26.020310491442,0.03860266006086017,0.026890367327988204,0.595724
LeNet,cnn,0.8521701388888889,0.01809911445775991,0.850328542289524,0.018690681991242172,0.8576182503835491,0.016131884454236536,0.8521701388888862,0.01809911445775981,426.2275415882468,42.852694924339524,0.07763905644727244,0.050323627015254765,0.073726
LeNet_LSTM,temporal,0.9042534722222223,0.005339070942597952,0.9041314586934185,0.00556981799152786,0.910699095509291,0.003177191483733022,0.9042534722222194,0.0053390709425978995,324.6371536757797,2.7715185296535876,0.16684066552746415,0.0007143409526271323,0.331708
MobileNet_V2,cnn,0.9110243055555557,0.016055977563177556,0.909751590871478,0.017718472287374977,0.91489861486949,0.012100068638860187,0.9110243055555526,0.01605597756317748,1779.04027102453,123.05666772375832,0.3217294249528398,0.07749815424891478,2.26142
ResNet18,cnn,0.9112847222222222,0.016889648777335883,0.9100227335349679,0.01747510606165667,0.9160088671744311,0.017013502991534885,0.9112847222222192,0.0168896487773357,941.7436834617207,63.327240801610444,0.28389725872936344,0.029329684276470813,11.42414
TCN,temporal,0.8411458333333334,0.010664372515335073,0.840905512216967,0.010084368871785857,0.8459996271337377,0.007350910555412096,0.8411458333333307,0.01066437251533497,833.94108005551,103.67977257045555,0.2114256203640252,0.06729703519639842,2.083724
Transformer,attention,0.7203125,0.006644453553215158,0.7150841181120963,0.007461985238257861,0.718301144153792,0.004712875876069676,0.7203124999999977,0.006644453553215084,855.5028060283512,99.07447252146429,0.16221932213132573,0.037915787188721656,0.259052
