Model,Internal Key,Selected Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy (%),Validation Accuracy (%),Test Accuracy (%),Training Macro-F1 (%),Validation Macro-F1 (%),Test Macro-F1 (%),Test Macro-Precision (%),Test Macro-Recall (%),Parameters (M),Train Time (s),Inference Time (ms)
ResNet18,ResNet18,18.7 ± 4.5,0.0021 ± 0.0027,0.5146 ± 0.1231,0.5940 ± 0.1703,99.94 ± 0.09,93.26 ± 0.72,91.13 ± 1.69,100.00 ± 0.00,93.28 ± 0.73,91.00 ± 1.75,91.60 ± 1.70,91.13 ± 1.69,11.424,941.7 ± 63.3,0.284 ± 0.029
MobileNet_V2,MobileNet_V2,20.0 ± 6.1,0.0147 ± 0.0232,0.4755 ± 0.2109,0.4917 ± 0.0411,99.51 ± 0.80,92.92 ± 0.36,91.10 ± 1.61,99.86 ± 0.24,92.90 ± 0.36,90.98 ± 1.77,91.49 ± 1.21,91.10 ± 1.61,2.261,1779.0 ± 123.1,0.322 ± 0.077
EfficientNet_B0,EfficientNet_B0,23.0 ± 7.9,0.0128 ± 0.0177,0.3841 ± 0.1343,0.4887 ± 0.2041,99.62 ± 0.51,93.07 ± 0.52,90.74 ± 1.87,99.90 ± 0.15,93.07 ± 0.49,90.55 ± 1.97,91.07 ± 1.60,90.74 ± 1.87,4.045,4755.1 ± 155.3,0.946 ± 0.015
LeNet-LSTM baseline,LeNet_LSTM,14.7 ± 3.5,0.0525 ± 0.0301,0.3968 ± 0.0720,0.4184 ± 0.0694,98.58 ± 0.98,91.19 ± 0.48,90.43 ± 0.53,98.92 ± 0.81,91.23 ± 0.55,90.41 ± 0.56,91.07 ± 0.32,90.43 ± 0.53,0.332,324.6 ± 2.8,0.167 ± 0.001
CNN-LSTM baseline,CNN_LSTM,17.0 ± 5.6,0.0168 ± 0.0181,0.4520 ± 0.0520,0.4969 ± 0.0909,99.69 ± 0.40,91.58 ± 1.19,90.38 ± 1.09,99.91 ± 0.12,91.58 ± 1.17,90.34 ± 1.10,90.89 ± 0.92,90.38 ± 1.09,11.500,1061.4 ± 26.9,0.563 ± 0.001
LeNet-style CNN,LeNet,19.3 ± 6.1,0.0148 ± 0.0124,0.5727 ± 0.0910,0.6758 ± 0.0889,99.74 ± 0.33,86.89 ± 2.23,85.22 ± 1.81,99.84 ± 0.19,86.93 ± 2.22,85.03 ± 1.87,85.76 ± 1.61,85.22 ± 1.81,0.074,426.2 ± 42.9,0.078 ± 0.050
LSTM baseline,LSTM,25.3 ± 7.2,0.0036 ± 0.0023,0.7623 ± 0.1227,0.9149 ± 0.0476,99.94 ± 0.05,86.81 ± 2.35,84.64 ± 1.30,99.98 ± 0.02,86.87 ± 2.43,84.61 ± 1.28,85.08 ± 1.09,84.64 ± 1.30,0.596,360.9 ± 26.0,0.039 ± 0.027
GRU baseline,GRU,22.3 ± 8.1,0.0021 ± 0.0013,0.7975 ± 0.0706,0.9503 ± 0.1297,99.98 ± 0.02,86.54 ± 1.61,84.28 ± 0.08,100.00 ± 0.00,86.57 ± 1.65,84.21 ± 0.03,84.64 ± 0.19,84.28 ± 0.08,0.513,332.8 ± 15.0,0.036 ± 0.024
TCN baseline,TCN,20.7 ± 3.2,0.0033 ± 0.0014,1.2630 ± 0.2580,1.3899 ± 0.2483,99.90 ± 0.06,86.34 ± 1.04,84.11 ± 1.07,99.99 ± 0.01,86.43 ± 1.12,84.09 ± 1.01,84.60 ± 0.74,84.11 ± 1.07,2.084,833.9 ± 103.7,0.211 ± 0.067
Transformer baseline,Transformer,23.7 ± 2.5,0.0052 ± 0.0026,2.1572 ± 0.3116,2.2602 ± 0.1517,99.86 ± 0.08,73.62 ± 3.27,72.03 ± 0.66,99.95 ± 0.07,73.54 ± 3.25,71.51 ± 0.75,71.83 ± 0.47,72.03 ± 0.66,0.259,855.5 ± 99.1,0.162 ± 0.038
