Model,Seed,Selected Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy (%),Validation Accuracy (%),Test Accuracy (%),Training Macro-F1 (%),Validation Macro-F1 (%),Test Macro-F1 (%),Test Macro-Precision (%),Test Macro-Recall (%),Parameters (M),Train Time (s),Inference Time (ms)
ResNet18,seed42,23,0.0005851484835147,0.562384121975617,0.7805289721057692,99.98214285714285,92.4702380952381,90.02604166666667,99.99999999994992,92.458564125844,89.78534483119556,90.81042562287543,90.02604166666637,11.42414,874.0677982196212,0.2505578973796218
ResNet18,seed43,14,0.005280375984453,0.3747065326533608,0.5544464983014962,99.83333333333331,93.86904761904762,90.28645833333331,99.99999999994992,93.87235881632881,90.21678386815192,90.4385642852393,90.28645833333304,11.42414,951.595789739862,0.2954098454210907
ResNet18,seed44,19,0.0005117674171924,0.6065669856549687,0.4469522018790791,99.99404761904762,93.45238095238096,93.07291666666669,99.99999999994992,93.50004116826784,93.0046913611429,93.55367024421459,93.07291666666636,11.42414,999.567462425679,0.3057240333873778
MobileNet_V2,seed42,13,0.0415052486956119,0.2828145353495886,0.5244236733943344,98.58333333333333,92.73809523809524,89.296875,99.57731268758472,92.71529226406018,88.96481495139733,90.13971234868387,89.2968749999997,2.26142,1658.242269570008,0.3677630214951932
MobileNet_V2,seed43,24,0.001705916772286,0.4427196591156348,0.505165163298783,99.95833333333334,93.33333333333333,91.640625,99.99999999994992,93.3191939974718,91.65119600971794,91.85358482518188,91.6406249999997,2.26142,1774.6409260574728,0.2322547836229205
MobileNet_V2,seed44,23,0.0009213100089913,0.700843030099266,0.4455257880022988,99.97619047619048,92.67857142857144,92.36979166666669,99.99999999994992,92.67959640582728,92.30946630032815,92.47628728698125,92.36979166666636,2.26142,1904.2376174461097,0.3651704697404057
EfficientNet_B0,seed42,29,0.001883557282743,0.3934384743752421,0.724036276399958,99.95238095238096,93.0952380952381,89.24479166666667,99.98214285557432,93.08302926247384,88.89054353353852,90.07191348600392,89.24479166666637,4.045096,4578.984399190173,0.9434956009499728
EfficientNet_B0,seed43,14,0.033171526931581,0.2453747003593976,0.3806629179141889,99.03571428571428,93.57142857142856,90.13020833333331,99.72611403116768,93.56165468917746,90.03445855561446,90.22252107609606,90.13020833333306,4.045096,4813.92263546586,0.932323606684804
EfficientNet_B0,seed44,26,0.0033511163578146,0.5134457549247838,0.3612893469919683,99.86904761904762,92.52976190476193,92.83854166666666,99.98214285025968,92.57203469747873,92.72465478929945,92.92274747731591,92.83854166666636,4.045096,4872.412934044376,0.9626389015465976
LeNet-LSTM baseline,seed42,18,0.0240170930374144,0.4253678763906161,0.4960423354500866,99.5297619047619,90.71428571428572,89.89583333333333,99.6547425882754,90.63231808944543,89.82716566960724,90.77159035356472,89.89583333333306,0.331708,321.6942955646664,0.1663486429606564
LeNet-LSTM baseline,seed43,11,0.0840841252923351,0.3148896154104953,0.3970413254214994,97.57142857142857,91.66666666666666,90.96354166666669,98.04525683505032,91.70950902569216,90.93569887720327,91.40400075752612,90.9635416666664,0.331708,325.0195443648845,0.1665133371716365
LeNet-LSTM baseline,seed44,15,0.0494918243060093,0.450024272758691,0.3622209459698448,98.64285714285714,91.1904761904762,90.41666666666669,99.07159904941597,91.35892033404605,90.47657306121503,91.03413754169645,90.41666666666637,0.331708,327.1976210977882,0.1676600164500996
CNN-LSTM baseline,seed42,22,0.005780855062462,0.4259840418455063,0.5837225820644866,99.92857142857144,92.41071428571428,89.81770833333333,99.97619045943078,92.38653753444844,89.7008074156795,91.02214974030868,89.81770833333304,11.500492,1035.639530479908,0.562771869590506
CNN-LSTM baseline,seed43,18,0.0069287042319774,0.4181317026943794,0.5046282238170534,99.90476190476191,92.11309523809524,91.640625,99.97023808911416,92.11615337736087,91.60903297638863,91.73285387114564,91.64062499999972,11.500492,1059.1749121025205,0.5620921147055924
CNN-LSTM baseline,seed44,11,0.0377134863180773,0.5119184786381776,0.4023356168741884,99.22619047619048,90.20833333333333,89.6875,99.77383672302582,90.23950690869805,89.71346247762506,89.90335012444746,89.6874999999997,11.500492,1089.2984028551728,0.5642059986712411
LeNet-style CNN,seed42,18,0.0107581630207243,0.6708285158494358,0.7782953517722186,99.89880952380952,84.46428571428571,84.66145833333333,99.934519459072,84.52228222747932,84.38754520433109,85.40250029207492,84.66145833333307,0.073726,377.0022465027869,0.0199334986973553
LeNet-style CNN,seed43,26,0.0050143808481239,0.4911249863165245,0.6305350006201934,99.96428571428572,88.83928571428571,87.23958333333334,99.970238089875,88.89785712680344,87.13907206507136,87.52437757050201,87.23958333333304,0.073726,446.4805784728378,0.1124095113482326
LeNet-style CNN,seed44,14,0.0287191584990138,0.5562318963668422,0.6186833372307168,99.36309523809524,87.38095238095238,83.75,99.62500538645655,87.38323498717922,83.57194541745473,84.35859725248783,83.74999999999973,0.073726,455.1997997891158,0.1005741592962294
LSTM baseline,seed42,29,0.0023275484854266,0.9039038327813614,0.8701316225420669,99.95833333333334,84.91071428571428,85.96354166666667,99.98809736010124,84.87179294564515,85.87451430054341,86.15921081929669,85.96354166666642,0.595724,336.27455249615014,0.0193013052921742
LSTM baseline,seed43,17,0.0061984386898222,0.6910144004760133,0.9095925236647114,99.88690476190476,86.07142857142858,84.58333333333333,99.95834180708212,86.15569619143955,84.62681420682486,85.10128751096393,84.58333333333306,0.595724,358.366226920858,0.0271895027253776
LSTM baseline,seed44,30,0.0022368476291497,0.6919030340562348,0.9649053913000292,99.98214285714285,89.43452380952381,83.359375,99.9940476182383,89.57403495456492,83.31823641166535,83.9732983543825,83.35937499999973,0.595724,388.1264936029911,0.0693171721650287
