model,seed,true_label,pred_label,count
GRU,42,0,0,301
GRU,42,0,1,0
GRU,42,0,2,2
GRU,42,0,3,3
GRU,42,0,4,4
GRU,42,0,5,0
GRU,42,0,6,8
GRU,42,0,7,0
GRU,42,0,8,1
GRU,42,0,9,1
GRU,42,0,10,0
GRU,42,0,11,0
GRU,42,1,0,0
GRU,42,1,1,281
GRU,42,1,2,0
GRU,42,1,3,0
GRU,42,1,4,12
GRU,42,1,5,21
GRU,42,1,6,0
GRU,42,1,7,1
GRU,42,1,8,0
GRU,42,1,9,3
GRU,42,1,10,2
GRU,42,1,11,0
GRU,42,2,0,10
GRU,42,2,1,1
GRU,42,2,2,305
GRU,42,2,3,1
GRU,42,2,4,0
GRU,42,2,5,2
GRU,42,2,6,0
GRU,42,2,7,0
GRU,42,2,8,1
GRU,42,2,9,0
GRU,42,2,10,0
GRU,42,2,11,0
GRU,42,3,0,0
GRU,42,3,1,4
GRU,42,3,2,0
GRU,42,3,3,234
GRU,42,3,4,3
GRU,42,3,5,0
GRU,42,3,6,72
GRU,42,3,7,1
GRU,42,3,8,0
GRU,42,3,9,2
GRU,42,3,10,0
GRU,42,3,11,4
GRU,42,4,0,12
GRU,42,4,1,10
GRU,42,4,2,0
GRU,42,4,3,2
GRU,42,4,4,285
GRU,42,4,5,3
GRU,42,4,6,0
GRU,42,4,7,1
GRU,42,4,8,3
GRU,42,4,9,4
GRU,42,4,10,0
GRU,42,4,11,0
GRU,42,5,0,2
GRU,42,5,1,11
GRU,42,5,2,0
GRU,42,5,3,0
GRU,42,5,4,3
GRU,42,5,5,299
GRU,42,5,6,0
GRU,42,5,7,2
GRU,42,5,8,0
GRU,42,5,9,1
GRU,42,5,10,1
GRU,42,5,11,1
GRU,42,6,0,2
GRU,42,6,1,4
GRU,42,6,2,0
GRU,42,6,3,116
GRU,42,6,4,1
GRU,42,6,5,0
GRU,42,6,6,191
GRU,42,6,7,0
GRU,42,6,8,0
GRU,42,6,9,1
GRU,42,6,10,0
GRU,42,6,11,5
GRU,42,7,0,0
GRU,42,7,1,2
GRU,42,7,2,8
GRU,42,7,3,1
GRU,42,7,4,0
GRU,42,7,5,5
GRU,42,7,6,2
GRU,42,7,7,224
GRU,42,7,8,3
GRU,42,7,9,1
GRU,42,7,10,36
GRU,42,7,11,38
GRU,42,8,0,35
GRU,42,8,1,0
GRU,42,8,2,0
GRU,42,8,3,0
GRU,42,8,4,1
GRU,42,8,5,0
GRU,42,8,6,0
GRU,42,8,7,19
GRU,42,8,8,262
GRU,42,8,9,0
GRU,42,8,10,2
GRU,42,8,11,1
GRU,42,9,0,8
GRU,42,9,1,1
GRU,42,9,2,0
GRU,42,9,3,0
GRU,42,9,4,19
GRU,42,9,5,0
GRU,42,9,6,0
GRU,42,9,7,0
GRU,42,9,8,3
GRU,42,9,9,287
GRU,42,9,10,1
GRU,42,9,11,1
GRU,42,10,0,1
GRU,42,10,1,0
GRU,42,10,2,0
GRU,42,10,3,0
GRU,42,10,4,3
GRU,42,10,5,6
GRU,42,10,6,0
GRU,42,10,7,13
GRU,42,10,8,8
GRU,42,10,9,0
GRU,42,10,10,289
GRU,42,10,11,0
GRU,42,11,0,3
GRU,42,11,1,0
GRU,42,11,2,0
GRU,42,11,3,9
GRU,42,11,4,7
GRU,42,11,5,0
GRU,42,11,6,6
GRU,42,11,7,0
GRU,42,11,8,9
GRU,42,11,9,7
GRU,42,11,10,0
GRU,42,11,11,279
