model,seed,class_id,class_name,precision,recall,f1,support
LSTM,42,0,class_0,0.8504155124653715,0.959374999999997,0.9016152716588237,320
LSTM,42,1,class_1,0.9130434782608666,0.9187499999999971,0.9158878504667868,320
LSTM,42,2,class_2,0.9587301587301557,0.943749999999997,0.9511811023617016,320
LSTM,42,3,class_3,0.6389610389610373,0.7687499999999975,0.6978723404250341,320
LSTM,42,4,class_4,0.856287425149698,0.8937499999999972,0.8746177370025555,320
LSTM,42,5,class_5,0.9287925696594398,0.937499999999997,0.9331259720057179,320
LSTM,42,6,class_6,0.6769230769230743,0.5499999999999983,0.6068965517236411,320
LSTM,42,7,class_7,0.9298892988929854,0.7874999999999975,0.8527918781720892,320
LSTM,42,8,class_8,0.8980891719745193,0.8812499999999972,0.8895899053622731,320
LSTM,42,9,class_9,0.9272151898734147,0.915624999999997,0.9213836477982391,320
LSTM,42,10,class_10,0.9290123456790094,0.940624999999997,0.9347826086951492,320
LSTM,42,11,class_11,0.831746031746029,0.8187499999999974,0.8251968503931981,320
