model,seed,class_id,class_name,precision,recall,f1,support
ResNet18,44,0,class_0,0.9580838323353265,0.9999999999999968,0.978593272170751,320
ResNet18,44,1,class_1,0.9843749999999969,0.9843749999999969,0.9843749999994968,320
ResNet18,44,2,class_2,0.9380530973451299,0.9937499999999968,0.9650986342938828,320
ResNet18,44,3,class_3,0.7250608272506065,0.931249999999997,0.815321477427686,320
ResNet18,44,4,class_4,0.9711538461538429,0.946874999999997,0.9588607594931678,320
ResNet18,44,5,class_5,0.9907120743034025,0.9999999999999968,0.9953343701394657,320
ResNet18,44,6,class_6,0.8851063829787197,0.6499999999999979,0.7495495495490586,320
ResNet18,44,7,class_7,0.8783382789317481,0.924999999999997,0.901065449010152,320
ResNet18,44,8,class_8,0.9384615384615355,0.953124999999997,0.9457364341080241,320
ResNet18,44,9,class_9,0.9936708860759461,0.9812499999999968,0.9874213836472955,320
ResNet18,44,10,class_10,0.9929328621908091,0.8781249999999972,0.9320066334986695,320
ResNet18,44,11,class_11,0.9704918032786852,0.924999999999997,0.9471999999994971,320
