model,seed,true_label,pred_label,count
TCN,43,0,0,277
TCN,43,0,1,0
TCN,43,0,2,19
TCN,43,0,3,0
TCN,43,0,4,4
TCN,43,0,5,8
TCN,43,0,6,2
TCN,43,0,7,0
TCN,43,0,8,6
TCN,43,0,9,1
TCN,43,0,10,0
TCN,43,0,11,3
TCN,43,1,0,3
TCN,43,1,1,258
TCN,43,1,2,1
TCN,43,1,3,0
TCN,43,1,4,7
TCN,43,1,5,50
TCN,43,1,6,0
TCN,43,1,7,0
TCN,43,1,8,0
TCN,43,1,9,0
TCN,43,1,10,1
TCN,43,1,11,0
TCN,43,2,0,8
TCN,43,2,1,0
TCN,43,2,2,299
TCN,43,2,3,9
TCN,43,2,4,0
TCN,43,2,5,0
TCN,43,2,6,1
TCN,43,2,7,0
TCN,43,2,8,1
TCN,43,2,9,0
TCN,43,2,10,0
TCN,43,2,11,2
TCN,43,3,0,5
TCN,43,3,1,2
TCN,43,3,2,3
TCN,43,3,3,212
TCN,43,3,4,20
TCN,43,3,5,0
TCN,43,3,6,63
TCN,43,3,7,0
TCN,43,3,8,0
TCN,43,3,9,8
TCN,43,3,10,0
TCN,43,3,11,7
TCN,43,4,0,13
TCN,43,4,1,13
TCN,43,4,2,0
TCN,43,4,3,1
TCN,43,4,4,281
TCN,43,4,5,5
TCN,43,4,6,1
TCN,43,4,7,0
TCN,43,4,8,0
TCN,43,4,9,5
TCN,43,4,10,1
TCN,43,4,11,0
TCN,43,5,0,0
TCN,43,5,1,3
TCN,43,5,2,1
TCN,43,5,3,0
TCN,43,5,4,0
TCN,43,5,5,314
TCN,43,5,6,1
TCN,43,5,7,0
TCN,43,5,8,1
TCN,43,5,9,0
TCN,43,5,10,0
TCN,43,5,11,0
TCN,43,6,0,8
TCN,43,6,1,0
TCN,43,6,2,1
TCN,43,6,3,85
TCN,43,6,4,15
TCN,43,6,5,0
TCN,43,6,6,207
TCN,43,6,7,0
TCN,43,6,8,0
TCN,43,6,9,0
TCN,43,6,10,0
TCN,43,6,11,4
TCN,43,7,0,2
TCN,43,7,1,0
TCN,43,7,2,1
TCN,43,7,3,0
TCN,43,7,4,0
TCN,43,7,5,4
TCN,43,7,6,0
TCN,43,7,7,294
TCN,43,7,8,0
TCN,43,7,9,0
TCN,43,7,10,18
TCN,43,7,11,1
TCN,43,8,0,3
TCN,43,8,1,1
TCN,43,8,2,11
TCN,43,8,3,0
TCN,43,8,4,0
TCN,43,8,5,2
TCN,43,8,6,0
TCN,43,8,7,2
TCN,43,8,8,279
TCN,43,8,9,8
TCN,43,8,10,14
TCN,43,8,11,0
TCN,43,9,0,0
TCN,43,9,1,0
TCN,43,9,2,1
TCN,43,9,3,0
TCN,43,9,4,2
TCN,43,9,5,1
TCN,43,9,6,0
TCN,43,9,7,8
TCN,43,9,8,13
TCN,43,9,9,291
TCN,43,9,10,4
TCN,43,9,11,0
TCN,43,10,0,0
TCN,43,10,1,0
TCN,43,10,2,0
TCN,43,10,3,0
TCN,43,10,4,0
TCN,43,10,5,3
TCN,43,10,6,0
TCN,43,10,7,16
TCN,43,10,8,0
TCN,43,10,9,1
TCN,43,10,10,300
TCN,43,10,11,0
TCN,43,11,0,6
TCN,43,11,1,0
TCN,43,11,2,10
TCN,43,11,3,9
TCN,43,11,4,5
TCN,43,11,5,1
TCN,43,11,6,20
TCN,43,11,7,0
TCN,43,11,8,2
TCN,43,11,9,5
TCN,43,11,10,0
TCN,43,11,11,262
