model,seed,true_label,pred_label,count
Transformer,44,0,0,286
Transformer,44,0,1,0
Transformer,44,0,2,6
Transformer,44,0,3,2
Transformer,44,0,4,7
Transformer,44,0,5,3
Transformer,44,0,6,6
Transformer,44,0,7,0
Transformer,44,0,8,2
Transformer,44,0,9,4
Transformer,44,0,10,2
Transformer,44,0,11,2
Transformer,44,1,0,4
Transformer,44,1,1,195
Transformer,44,1,2,0
Transformer,44,1,3,4
Transformer,44,1,4,35
Transformer,44,1,5,63
Transformer,44,1,6,1
Transformer,44,1,7,1
Transformer,44,1,8,1
Transformer,44,1,9,13
Transformer,44,1,10,2
Transformer,44,1,11,1
Transformer,44,2,0,25
Transformer,44,2,1,2
Transformer,44,2,2,278
Transformer,44,2,3,3
Transformer,44,2,4,1
Transformer,44,2,5,2
Transformer,44,2,6,0
Transformer,44,2,7,1
Transformer,44,2,8,6
Transformer,44,2,9,0
Transformer,44,2,10,1
Transformer,44,2,11,1
Transformer,44,3,0,7
Transformer,44,3,1,4
Transformer,44,3,2,0
Transformer,44,3,3,240
Transformer,44,3,4,6
Transformer,44,3,5,0
Transformer,44,3,6,54
Transformer,44,3,7,0
Transformer,44,3,8,0
Transformer,44,3,9,7
Transformer,44,3,10,0
Transformer,44,3,11,2
Transformer,44,4,0,31
Transformer,44,4,1,45
Transformer,44,4,2,1
Transformer,44,4,3,12
Transformer,44,4,4,197
Transformer,44,4,5,10
Transformer,44,4,6,4
Transformer,44,4,7,3
Transformer,44,4,8,1
Transformer,44,4,9,14
Transformer,44,4,10,0
Transformer,44,4,11,2
Transformer,44,5,0,4
Transformer,44,5,1,39
Transformer,44,5,2,2
Transformer,44,5,3,0
Transformer,44,5,4,5
Transformer,44,5,5,253
Transformer,44,5,6,2
Transformer,44,5,7,5
Transformer,44,5,8,1
Transformer,44,5,9,7
Transformer,44,5,10,1
Transformer,44,5,11,1
Transformer,44,6,0,14
Transformer,44,6,1,4
Transformer,44,6,2,1
Transformer,44,6,3,85
Transformer,44,6,4,22
Transformer,44,6,5,1
Transformer,44,6,6,177
Transformer,44,6,7,2
Transformer,44,6,8,0
Transformer,44,6,9,7
Transformer,44,6,10,0
Transformer,44,6,11,7
Transformer,44,7,0,12
Transformer,44,7,1,2
Transformer,44,7,2,47
Transformer,44,7,3,8
Transformer,44,7,4,0
Transformer,44,7,5,1
Transformer,44,7,6,4
Transformer,44,7,7,134
Transformer,44,7,8,36
Transformer,44,7,9,6
Transformer,44,7,10,69
Transformer,44,7,11,1
Transformer,44,8,0,2
Transformer,44,8,1,0
Transformer,44,8,2,0
Transformer,44,8,3,0
Transformer,44,8,4,0
Transformer,44,8,5,1
Transformer,44,8,6,0
Transformer,44,8,7,2
Transformer,44,8,8,296
Transformer,44,8,9,2
Transformer,44,8,10,12
Transformer,44,8,11,5
Transformer,44,9,0,8
Transformer,44,9,1,0
Transformer,44,9,2,0
Transformer,44,9,3,20
Transformer,44,9,4,46
Transformer,44,9,5,1
Transformer,44,9,6,5
Transformer,44,9,7,2
Transformer,44,9,8,5
Transformer,44,9,9,213
Transformer,44,9,10,9
Transformer,44,9,11,11
Transformer,44,10,0,21
Transformer,44,10,1,2
Transformer,44,10,2,0
Transformer,44,10,3,4
Transformer,44,10,4,3
Transformer,44,10,5,5
Transformer,44,10,6,3
Transformer,44,10,7,41
Transformer,44,10,8,35
Transformer,44,10,9,10
Transformer,44,10,10,195
Transformer,44,10,11,1
Transformer,44,11,0,3
Transformer,44,11,1,2
Transformer,44,11,2,0
Transformer,44,11,3,10
Transformer,44,11,4,4
Transformer,44,11,5,0
Transformer,44,11,6,4
Transformer,44,11,7,3
Transformer,44,11,8,14
Transformer,44,11,9,7
Transformer,44,11,10,0
Transformer,44,11,11,273
