model,seed,class_id,class_name,precision,recall,f1,support
Transformer,44,0,class_0,0.6858513189448424,0.8937499999999972,0.776119402984581,320
Transformer,44,1,class_1,0.6610169491525401,0.609374999999998,0.6341463414629134,320
Transformer,44,2,class_2,0.8298507462686542,0.8687499999999972,0.8488549618315587,320
Transformer,44,3,class_3,0.6185567010309262,0.7499999999999976,0.6779661016944177,320
Transformer,44,4,class_4,0.6042944785276054,0.615624999999998,0.6099071207425322,320
Transformer,44,5,class_5,0.7441176470588213,0.7906249999999975,0.7666666666661648,320
Transformer,44,6,class_6,0.6807692307692281,0.5531249999999982,0.6103448275857101,320
Transformer,44,7,class_7,0.6907216494845325,0.4187499999999987,0.5214007782096447,320
Transformer,44,8,class_8,0.7455919395465975,0.924999999999997,0.8256624825657516,320
Transformer,44,9,class_9,0.734482758620687,0.6656249999999979,0.6983606557372037,320
Transformer,44,10,class_10,0.6701030927835028,0.609374999999998,0.6382978723399244,320
Transformer,44,11,class_11,0.8892508143322446,0.8531249999999972,0.870813397128684,320
