model,category,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,training_seconds_mean,training_seconds_std,inference_ms_mean,inference_ms_std,params_m
CNN_LSTM,temporal,0.8981770833333333,0.0,0.8970080741567951,0.0,0.9102214974030868,0.0,0.8981770833333305,0.0,1035.639530479908,0.0,0.562771869590506,0.0,11.500492
EfficientNet_B0,cnn,0.8924479166666667,0.0,0.8889054353353852,0.0,0.9007191348600392,0.0,0.8924479166666638,0.0,4578.984399190173,0.0,0.9434956009499728,0.0,4.045096
GRU,temporal,0.84296875,0.0,0.8421260666480129,0.0,0.8452212415152124,0.0,0.8429687499999975,0.0,317.1752455122769,0.0,0.0332758063450455,0.0,0.513292
LSTM,temporal,0.8596354166666667,0.0,0.858745143005434,0.0,0.8615921081929668,0.0,0.8596354166666641,0.0,336.27455249615014,0.0,0.0193013052921742,0.0,0.595724
LeNet_LSTM,temporal,0.8989583333333333,0.0,0.8982716566960723,0.0,0.9077159035356472,0.0,0.8989583333333305,0.0,321.6942955646664,0.0,0.1663486429606564,0.0,0.331708
LeNet,cnn,0.8466145833333333,0.0,0.8438754520433109,0.0,0.8540250029207491,0.0,0.8466145833333307,0.0,377.0022465027869,0.0,0.0199334986973553,0.0,0.073726
MobileNet_V2,cnn,0.89296875,0.0,0.8896481495139733,0.0,0.9013971234868388,0.0,0.892968749999997,0.0,1658.242269570008,0.0,0.3677630214951932,0.0,2.26142
ResNet18,cnn,0.9002604166666667,0.0,0.8978534483119556,0.0,0.9081042562287543,0.0,0.9002604166666637,0.0,874.0677982196212,0.0,0.2505578973796218,0.0,11.42414
TCN,temporal,0.8315104166666667,0.0,0.8315761642682457,0.0,0.8399183243696631,0.0,0.8315104166666641,0.0,716.7294916119426,0.0,0.1337983761914074,0.0,2.083724
Transformer,attention,0.7252604166666666,0.0,0.7183564205879626,0.0,0.721458804301141,0.0,0.7252604166666644,0.0,760.2434923648834,0.0,0.1214054063893854,0.0,0.259052
