model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.896875,0.8971346247762506,0.8990335012444746,0.896874999999997,1089.2984028551728,0.5642059986712411,11500492.0,11.500492,11.0,0.5119184786381776,0.9020833333333332,0.9023950690869804,1.8056692741811275,553.8112733592926,0.5623124097473919,1778.3708534002135
EfficientNet_B0,cnn,0.9283854166666666,0.9272465478929944,0.929227474773159,0.9283854166666636,4872.412934044376,0.9626389015465976,4045096.0,4.045096,26.0,0.5134457549247838,0.9252976190476192,0.9257203469747872,4.994944203644991,200.20243654979447,0.174477738328278,5731.390202448121
GRU,temporal,0.8434895833333333,0.8423491665890817,0.8486258142463962,0.8434895833333306,347.1826783847064,0.0607554160524159,513292.0,0.513292,13.0,0.7664591785847387,0.8767857142857143,0.8774435052209365,0.639424454420805,1563.9064053404195,0.0121608161134645,82231.32318338352
LSTM,temporal,0.83359375,0.8331823641166535,0.8397329835438249,0.8335937499999974,388.1264936029911,0.0693171721650287,595724.0,0.595724,30.0,0.6919030340562348,0.8943452380952381,0.8957403495456492,0.5545774847269058,1803.1745383468576,0.0197906862013041,50528.81895192196
LeNet_LSTM,temporal,0.9041666666666668,0.9047657306121504,0.9103413754169646,0.9041666666666638,327.1976210977882,0.1676600164500996,331708.0,0.331708,15.0,0.450024272758691,0.911904761904762,0.9135892033404605,0.939369760453701,1064.543529181752,0.1725129090482369,5796.667655290577
LeNet,cnn,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,455.1997997891158,0.1005741592962294,73726.0,0.073726,14.0,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.4841106757521629,2065.6433540662983,0.0120685732690617,82859.83584849576
MobileNet_V2,cnn,0.9236979166666668,0.9230946630032816,0.9247628728698124,0.9236979166666636,1904.2376174461097,0.3651704697404057,2261420.0,2.26142,23.0,0.700843030099266,0.9267857142857144,0.9267959640582728,3.0539596267044544,327.44375245035764,0.1029003370786085,9718.14114890674
ResNet18,cnn,0.9307291666666668,0.930046913611429,0.9355367024421458,0.9307291666666636,999.567462425679,0.3057240333873778,11424140.0,11.42414,19.0,0.6065669856549687,0.9345238095238096,0.9350004116826784,2.1001435816287994,476.1579202239279,0.0726813660003244,13758.684722512446
TCN,temporal,0.8393229166666667,0.839535540743498,0.8439120036096868,0.8393229166666639,913.6555902771652,0.2533050486817956,2083724.0,2.083724,22.0,1.4596629447536469,0.8681547619047619,0.8703927376301578,1.40003751963377,714.2665721284283,0.0539285200648009,18543.064018786183
Transformer,attention,0.7127604166666667,0.7065450507457571,0.7128839438766819,0.7127604166666645,957.9959158655256,0.1963476184755563,259052.0,0.259052,21.0,1.801233629425871,0.76875,0.7668193808224756,0.98090797662735,1019.4636233240698,0.0278900773264467,35855.04580339581
