model,seed,selected_epoch,selection_metric,best_val_f1,best_val_acc,best_val_loss,test_accuracy,test_macro_f1,checkpoint_path
CNN_LSTM,42,22,best_val_f1_max,0.9238653753444844,0.9241071428571428,0.4259840418455063,0.8981770833333333,0.8970080741567951,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/CNN_LSTM_seed42/subject_seed42/checkpoints/CNN_LSTM_seed42_best.pt
CNN_LSTM,43,18,best_val_f1_max,0.9211615337736088,0.9211309523809524,0.4181317026943794,0.91640625,0.9160903297638864,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/CNN_LSTM_seed43/subject_seed43/checkpoints/CNN_LSTM_seed43_best.pt
CNN_LSTM,44,11,best_val_f1_max,0.9023950690869804,0.9020833333333332,0.5119184786381776,0.896875,0.8971346247762506,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/CNN_LSTM_seed44/subject_seed44/checkpoints/CNN_LSTM_seed44_best.pt
EfficientNet_B0,42,29,best_val_f1_max,0.9308302926247384,0.930952380952381,0.3934384743752421,0.8924479166666667,0.8889054353353852,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/EfficientNet_B0_seed42/subject_seed42/checkpoints/EfficientNet_B0_seed42_best.pt
EfficientNet_B0,43,14,best_val_f1_max,0.9356165468917746,0.9357142857142856,0.2453747003593976,0.9013020833333332,0.9003445855561446,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/EfficientNet_B0_seed43/subject_seed43/checkpoints/EfficientNet_B0_seed43_best.pt
EfficientNet_B0,44,26,best_val_f1_max,0.9257203469747872,0.9252976190476192,0.5134457549247838,0.9283854166666666,0.9272465478929944,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/EfficientNet_B0_seed44/subject_seed44/checkpoints/EfficientNet_B0_seed44_best.pt
GRU,42,28,best_val_f1_max,0.8467914212994313,0.8470238095238095,0.8782649940679438,0.84296875,0.8421260666480129,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/GRU_seed42/subject_seed42/checkpoints/GRU_seed42_best.pt
GRU,43,26,best_val_f1_max,0.8729086675548525,0.8723214285714286,0.7476987760555598,0.8419270833333333,0.841815673986329,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/GRU_seed43/subject_seed43/checkpoints/GRU_seed43_best.pt
GRU,44,13,best_val_f1_max,0.8774435052209365,0.8767857142857143,0.7664591785847387,0.8434895833333333,0.8423491665890817,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/GRU_seed44/subject_seed44/checkpoints/GRU_seed44_best.pt
LSTM,42,29,best_val_f1_max,0.8487179294564515,0.8491071428571428,0.9039038327813614,0.8596354166666667,0.858745143005434,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LSTM_seed42/subject_seed42/checkpoints/LSTM_seed42_best.pt
LSTM,43,17,best_val_f1_max,0.8615569619143955,0.8607142857142858,0.6910144004760133,0.8458333333333333,0.8462681420682486,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LSTM_seed43/subject_seed43/checkpoints/LSTM_seed43_best.pt
LSTM,44,30,best_val_f1_max,0.8957403495456492,0.8943452380952381,0.6919030340562348,0.83359375,0.8331823641166535,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LSTM_seed44/subject_seed44/checkpoints/LSTM_seed44_best.pt
LeNet_LSTM,42,18,best_val_f1_max,0.9063231808944544,0.9071428571428573,0.4253678763906161,0.8989583333333333,0.8982716566960723,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_LSTM_seed42/subject_seed42/checkpoints/LeNet_LSTM_seed42_best.pt
LeNet_LSTM,43,11,best_val_f1_max,0.9170950902569216,0.9166666666666666,0.3148896154104953,0.9096354166666668,0.9093569887720326,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_LSTM_seed43/subject_seed43/checkpoints/LeNet_LSTM_seed43_best.pt
LeNet_LSTM,44,15,best_val_f1_max,0.9135892033404605,0.911904761904762,0.450024272758691,0.9041666666666668,0.9047657306121504,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_LSTM_seed44/subject_seed44/checkpoints/LeNet_LSTM_seed44_best.pt
LeNet,42,18,best_val_f1_max,0.8452228222747932,0.8446428571428571,0.6708285158494358,0.8466145833333333,0.8438754520433109,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_seed42/subject_seed42/checkpoints/LeNet_seed42_best.pt
LeNet,43,26,best_val_f1_max,0.8889785712680345,0.8883928571428571,0.4911249863165245,0.8723958333333334,0.8713907206507137,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_seed43/subject_seed43/checkpoints/LeNet_seed43_best.pt
LeNet,44,14,best_val_f1_max,0.8738323498717923,0.8738095238095238,0.5562318963668422,0.8375,0.8357194541745473,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/LeNet_seed44/subject_seed44/checkpoints/LeNet_seed44_best.pt
MobileNet_V2,42,13,best_val_f1_max,0.9271529226406018,0.9273809523809524,0.2828145353495886,0.89296875,0.8896481495139733,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/MobileNet_V2_seed42/subject_seed42/checkpoints/MobileNet_V2_seed42_best.pt
MobileNet_V2,43,24,best_val_f1_max,0.933191939974718,0.9333333333333332,0.4427196591156348,0.91640625,0.9165119600971794,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/MobileNet_V2_seed43/subject_seed43/checkpoints/MobileNet_V2_seed43_best.pt
MobileNet_V2,44,23,best_val_f1_max,0.9267959640582728,0.9267857142857144,0.700843030099266,0.9236979166666668,0.9230946630032816,/home/yaxin/tacact/outputs_main_10gpu_final_20260501_023752/parallel_workers/MobileNet_V2_seed44/subject_seed44/checkpoints/MobileNet_V2_seed44_best.pt
