model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
LeNet,LeNet-style CNN,42,18,0.0107581630207243,0.9989880952380952,0.99934519459072,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,0.073726,1011.29806317389,0.014006724813953
ResNet18,ResNet18,42,23,0.0005851484835147,0.9998214285714284,0.9999999999994992,0.562384121975617,0.924702380952381,0.92458564125844,0.9002604166666667,0.8978534483119556,0.9081042562287543,0.9002604166666637,11.42414,1412.1044908147303,0.1582489814609289
MobileNet_V2,MobileNet_V2,42,13,0.0415052486956119,0.9858333333333332,0.9957731268758472,0.2828145353495886,0.9273809523809524,0.9271529226406018,0.89296875,0.8896481495139733,0.9013971234868388,0.892968749999997,2.26142,1897.89472088404,0.6426766864024103
EfficientNet_B0,EfficientNet_B0,42,17,0.0045073107168788,0.9986309523809525,0.9997619045488187,0.3697225163091562,0.925,0.9250871570809668,0.9013020833333332,0.898152630312966,0.9097282695107572,0.9013020833333304,4.045096,1599.5684263035655,0.2805494121275842
LSTM,LSTM baseline,42,25,0.0026661581226757,0.9996428571428572,0.9998809736010124,0.8957372441490103,0.8467261904761905,0.8459842444337401,0.86015625,0.8592553053717359,0.8618756491633097,0.8601562499999972,0.595724,925.3582399599254,0.0278399820672348
GRU,GRU baseline,42,20,0.0023415052181198,0.9996428571428572,0.9998809523652668,0.8536027722809064,0.8464285714285714,0.8462094413193535,0.84375,0.8427148034042018,0.847312433074388,0.8437499999999973,0.513292,919.5144679509104,0.0119117874419316
CNN_LSTM,CNN-LSTM baseline,42,22,0.005780855062462,0.9992857142857144,0.9997619045943078,0.4259840418455063,0.9241071428571428,0.9238653753444844,0.8981770833333333,0.8970080741567951,0.9102214974030868,0.8981770833333305,11.500492,1779.8059296961874,0.5695784115232527
LeNet_LSTM,LeNet-LSTM baseline,42,18,0.0240170930374144,0.995297619047619,0.996547425882754,0.4253678763906161,0.9071428571428573,0.9063231808944544,0.8989583333333333,0.8982716566960723,0.9077159035356472,0.8989583333333305,0.331708,955.3885278757662,0.1793815739802085
TCN,TCN baseline,42,23,0.0018529432089555,0.9995833333333334,0.9999999999994992,1.3583889990800382,0.8514880952380952,0.8514074060699279,0.8315104166666667,0.8315761642682457,0.8399183243696631,0.8315104166666641,2.083724,1232.3880033157766,0.1070077007170766
Transformer,Transformer baseline,42,24,0.0050289392471313,0.99875,0.999940476182383,2.38078789712423,0.7032738095238096,0.7019784873751228,0.7252604166666666,0.7183564205879626,0.721458804301141,0.7252604166666644,0.259052,1263.057801451534,0.0593204458709806
LeNet,LeNet-style CNN,43,25,0.0052141758515721,0.9996428571428572,0.999761904708274,0.4924218962143684,0.8872023809523809,0.8877379221660111,0.871875,0.8708893885617055,0.874303066996311,0.8718749999999972,0.073726,665.5386191327125,0.0134864589199423
ResNet18,ResNet18,43,14,0.005280375984453,0.9983333333333332,0.9999999999994992,0.3747065326533608,0.9386904761904762,0.9387235881632882,0.9028645833333332,0.9021678386815192,0.904385642852393,0.9028645833333304,11.42414,1018.9383797068148,0.1800142403226345
MobileNet_V2,MobileNet_V2,43,24,0.001705916772286,0.9995833333333334,0.9999999999994992,0.4427196591156348,0.9333333333333332,0.933191939974718,0.91640625,0.9165119600971794,0.9185358482518188,0.916406249999997,2.26142,1534.0327910035849,0.3604613651987165
EfficientNet_B0,EfficientNet_B0,43,22,0.0027865910884879,0.9994642857142856,0.9999999999994992,0.3090950083761131,0.9455357142857144,0.945163401218661,0.909375,0.9088232390908192,0.91007608935393,0.909374999999997,4.045096,1191.9861607085911,0.3285636426880955
LSTM,LSTM baseline,43,17,0.0061984386898222,0.9988690476190476,0.9995834180708212,0.6910144004760133,0.8607142857142858,0.8615569619143955,0.8458333333333333,0.8462681420682486,0.8510128751096393,0.8458333333333306,0.595724,574.1362521164119,0.0347793451510369
GRU,GRU baseline,43,16,0.002850876911765,0.9997619047619049,0.999940476182383,0.7054653304446089,0.8723214285714286,0.872710548344881,0.8419270833333333,0.8417763641235645,0.8452079037819221,0.8419270833333307,0.513292,575.2312331739813,0.0118835683679208
CNN_LSTM,CNN-LSTM baseline,43,18,0.0069287042319774,0.9990476190476192,0.9997023808911416,0.4181317026943794,0.9211309523809524,0.9211615337736088,0.91640625,0.9160903297638864,0.9173285387114564,0.9164062499999972,11.500492,1427.56359353289,0.55871490330901
LeNet_LSTM,LeNet-LSTM baseline,43,11,0.0840841252923351,0.9757142857142858,0.9804525683505032,0.3148896154104953,0.9166666666666666,0.9170950902569216,0.9096354166666668,0.9093569887720326,0.9140400075752612,0.909635416666664,0.331708,620.3858625087887,0.1728540431940928
TCN,TCN baseline,43,17,0.0045500881473223,0.998452380952381,0.9998214285481508,0.9709273541786484,0.8705357142857143,0.8711534532032402,0.8526041666666667,0.8516048316391572,0.854168553421863,0.8526041666666639,2.083724,985.534716375172,0.0925578293390572
Transformer,Transformer baseline,43,20,0.0121568746297132,0.9963690476190477,0.9977969951516537,2.0543456173369217,0.7366071428571429,0.7353941376209591,0.7268229166666667,0.7230770858301364,0.7244407960970595,0.7268229166666643,0.259052,979.8027371820062,0.0482088245917111
LeNet,LeNet-style CNN,44,14,0.0287191584990138,0.9936309523809524,0.9962500538645654,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,0.073726,730.7302962131798,0.013756362022832
ResNet18,ResNet18,44,19,0.0005117674171924,0.9999404761904762,0.9999999999994992,0.6065669856549687,0.9345238095238096,0.9350004116826784,0.9307291666666668,0.930046913611429,0.9355367024421458,0.9307291666666636,11.42414,1131.914466790855,0.2451608073897659
MobileNet_V2,MobileNet_V2,44,23,0.0009213100089913,0.9997619047619049,0.9999999999994992,0.700843030099266,0.9267857142857144,0.9267959640582728,0.9236979166666668,0.9230946630032816,0.9247628728698124,0.9236979166666636,2.26142,1609.193579370156,0.3423684218432754
EfficientNet_B0,EfficientNet_B0,44,24,0.0019319024469171,0.9994642857142856,0.9998809523652672,0.6092660699905883,0.9294642857142856,0.930114856675389,0.92578125,0.925709137056852,0.9261572578313604,0.9257812499999972,4.045096,1289.9563687499613,0.2792239043628797
LSTM,LSTM baseline,44,20,0.0036411810276054,0.9996428571428572,0.999940476182383,0.6755049736151705,0.8925595238095239,0.8940990582447309,0.834375,0.8344269982835432,0.8399340015391492,0.8343749999999973,0.595724,690.3089556563646,0.0189938116818666
GRU,GRU baseline,44,13,0.0036043554402533,0.9996428571428572,0.9999999999994992,0.7664591785847387,0.8767857142857143,0.8774435052209365,0.8434895833333333,0.8423491665890817,0.8486258142463962,0.8434895833333306,0.513292,580.0648963674903,0.0167650257935747
CNN_LSTM,CNN-LSTM baseline,44,11,0.0377134863180773,0.9922619047619048,0.9977383672302582,0.5119184786381776,0.9020833333333332,0.9023950690869804,0.896875,0.8971346247762506,0.8990335012444746,0.896874999999997,11.500492,1386.1790720093995,0.5858021031599492
LeNet_LSTM,LeNet-LSTM baseline,44,15,0.0494918243060093,0.9864285714285714,0.9907159904941596,0.450024272758691,0.911904761904762,0.9135892033404605,0.9041666666666668,0.9047657306121504,0.9103413754169646,0.9041666666666638,0.331708,621.7355463951826,0.1746610185364261
