model,display_name,train_loss_mean,train_loss_std,train_acc_mean,train_acc_std,train_f1_mean,train_f1_std,val_loss_mean,val_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,test_acc_mean,test_acc_std,test_macro_f1_mean,test_macro_f1_std,test_macro_precision_mean,test_macro_precision_std,test_macro_recall_mean,test_macro_recall_std,params_m,train_time_sec_mean,train_time_sec_std,inference_ms_mean,inference_ms_std
ResNet18,ResNet18,0.0029661817266827,0.003206263232622432,0.9991488095238095,0.0010011685349500903,0.9997440311847704,0.0006551613276632917,0.5186534914494729,0.11652483015732003,0.924672619047619,0.012628816287318724,0.9242661849307913,0.013191758937873579,0.9209635416666666,0.017738625540953762,0.9203351887073167,0.018151563329629097,0.9247230251995842,0.015670869892656272,0.9209635416666637,0.01773862554095368,11.42414,1079.4659565716981,121.61345890727483,0.2507189899915829,0.1321633845045311
EfficientNet_B0,EfficientNet_B0,0.00841335209423583,0.008027272303799847,0.997529761904762,0.002488675851851884,0.9995833609424206,0.0006734116871042774,0.42277137297981426,0.11176570441218589,0.9283035714285715,0.015405088244705408,0.9283760469308573,0.015390734319201824,0.9191927083333333,0.013735069448833329,0.9184894137280875,0.014343578953319783,0.9216995349478593,0.011836945541190311,0.9191927083333304,0.013735069448833275,4.045096,1262.0851501097902,126.20992104197724,0.2998954817303456,0.07290551808217988
MobileNet_V2,MobileNet_V2,0.01976651647757911,0.03506834269330302,0.9935,0.011699648337749688,0.9981369721036526,0.00433804365376968,0.4604966586000945,0.150289837938177,0.9230059523809524,0.012751045745800197,0.9227014968621565,0.012886452188594546,0.9158072916666666,0.0141250804464141,0.9149506366839206,0.014706352570524064,0.9192930988245596,0.011939978854483734,0.9158072916666636,0.014125080446414058,2.26142,1569.2449712846428,123.70375107692773,0.4261607793159783,0.11701496949655202
LeNet_LSTM,LeNet-LSTM baseline,0.06499535666828256,0.05683348781667911,0.981077380952381,0.019198075787577745,0.9869235277836342,0.013780941889926502,0.4328959119795555,0.13896125993514888,0.9036607142857143,0.01704216667596404,0.9037807394751669,0.017187261700034873,0.8995052083333335,0.009732641056704914,0.8995333881043484,0.009596130837867882,0.9044071202375565,0.009984810483939047,0.8995052083333304,0.009732641056704868,0.331708,657.6298091374338,104.66422462421293,0.17581690161023283,0.0068509580626846195
CNN_LSTM,CNN-LSTM baseline,0.02617694007711746,0.026677403050728153,0.9938154761904763,0.0078114376324795705,0.9972340748448382,0.004297674821099922,0.47196657142190296,0.14919305443458275,0.9053571428571429,0.029341944447422975,0.9050068683117267,0.02936260487689219,0.896796875,0.016263502114019935,0.8961995888790579,0.01682008980083069,0.9001228558044498,0.01678429322294364,0.896796874999997,0.01626350211401995,11.500492,1460.074876738526,134.27853015468014,0.5674813006771728,0.010825561012496394
LeNet,LeNet-style CNN,0.01572955937825493,0.009225955257584038,0.9977797619047619,0.0020834372612021264,0.9985177237171422,0.0012778214554443389,0.5944807489559307,0.10599632868906954,0.8633035714285715,0.018071928081781874,0.8627695016663897,0.018270087021020315,0.8621874999999999,0.022367822707401664,0.861170977141799,0.0228954676544954,0.8650043147669066,0.021242240685056077,0.8621874999999972,0.022367822707401577,0.073726,718.0479489639401,104.53486233543758,0.01365671691019083,0.0001780716709101484
GRU,GRU baseline,0.00384244719005762,0.003236740464637224,0.999559523809524,0.0005806411257446909,0.9999166666335189,0.0001322090567102725,0.8624438131735259,0.22007024786189844,0.850297619047619,0.03307903280307174,0.8502236147896568,0.03348829137143323,0.8418229166666666,0.018317905703635545,0.8414275874719472,0.018796402384290783,0.8458260974493752,0.018827341999701735,0.841822916666664,0.01831790570363546,0.513292,616.9290325688198,106.47676932797663,0.01976544968783851,0.010277455391829093
LSTM,LSTM baseline,0.00692392433044451,0.007290199471071133,0.9988333333333334,0.001795651363600951,0.9995000222762126,0.0007071435409630014,0.8642085072694525,0.18489005006090495,0.8440773809523809,0.034538188599263824,0.8436594693035065,0.035062114170427865,0.8369270833333333,0.019461797811971895,0.8366548254624726,0.019781964620829866,0.8405489272818217,0.020393570950814274,0.8369270833333307,0.01946179781197179,0.595724,632.0700805043801,108.24063541410557,0.026913201727438663,0.008623145181135324
TCN,TCN baseline,0.00512315607922412,0.00272828176042232,0.9986607142857142,0.0007741909926637512,0.9999047618936319,5.7505469041588554e-05,1.3328819089084318,0.21469420346604495,0.842470238095238,0.03032958924360936,0.8423454640413842,0.030950856437594758,0.8324739583333333,0.017618769454342213,0.8325455311919636,0.01802761017088516,0.8375756888890736,0.017899324600720884,0.8324739583333306,0.01761876945434215,2.083724,930.9158123791218,112.65041250735447,0.1059654349228367,0.022710183008685925
Transformer,Transformer baseline,0.01193818998478703,0.006469986934631398,0.9964880952380953,0.002220804536449744,0.9988029342777951,0.0007583991151573247,2.0574267576925145,0.3872716766177539,0.7325297619047619,0.033243172779837724,0.7311673402664166,0.03242064112280113,0.7186197916666667,0.025764511845755515,0.7157454619089847,0.02683612926270471,0.719363404069119,0.02648119091319599,0.7186197916666643,0.025764511845755435,0.259052,922.8521704215557,125.00414425508644,0.04665171785745764,0.010300521182072917
